sample_id,z,y
2835680,1,-327.1308589988662
2904135,0,-204.99304725170072
2574939,0,-67.49437134103701
3154376,0,-101.69032676586427
899618,0,-148.4751503930674
388900,0,-0.37165825284457915
1556364,0,-44.62140985041703
1726027,0,-128.64555887974305
1666837,0,-107.04991280330377
2154097,1,-176.17194369436876
1813339,0,
3075998,1,-180.91360815955733
396617,0,-147.53000029549514
2946434,0,-166.1574401881305
1603379,1,-201.8017326033827
1982904,1,-247.88858750222255
2928047,0,-58.722193702431035
3726702,1,-236.98205504114767
2023126,1,-458.6284554160863
3137560,0,-103.18367517681207
1769448,0,-109.12513818656551
3344668,0,-77.38378140577726
1054291,1,
2850991,0,-112.364226883665
1906217,0,
3194034,0,-246.3630635643466
3356262,0,-93.75281553976964
2155826,0,-124.4246754008168
2689560,0,-48.78630361362848
2582185,0,-107.8479392785108
2839798,0,-118.95195437047855
363245,1,-157.79255159694995
840234,0,-46.07196850647895
3527280,0,-108.89565146190239
1358690,0,-56.500937179232196
3462765,0,-128.9367611967963
3255295,0,-109.72822772723174
2843155,1,-199.02094541654938
3786304,0,-83.23547440318694
3695819,0,-177.44762364276153
1709079,0,-110.51845975112226
2178521,1,-187.19204567666526
1486228,0,-35.9295695336241
3312713,0,-87.83131075542822
1446552,0,-139.88834316602976
1815005,0,
3515948,0,-148.26381353214472
3707416,0,-188.5953276687566
1535461,0,-137.4886099421184
3932242,1,-234.77753790233348
2121744,0,-146.79723071790445
2909511,0,-157.66221191895715
2611694,0,-132.79166937142972
2909937,0,-113.93886141495635
1043534,0,
1370514,0,-99.26591734250401
259159,0,-51.72705538808999
2013390,0,-69.96058142545081
263074,1,-158.65327273335362
2205209,1,-174.7655668451581
1361417,0,-169.62522965849394
718709,0,-144.0459215283584
2585064,0,-146.62446577266493
2652446,0,-146.27536267439726
2056959,0,-176.34188789176028
3383911,0,-200.07414063532482
2765843,0,-151.612095969322
1370673,0,-106.56152840227415
3027404,0,-120.20565251186275
2125795,1,-228.5441979857553
609780,0,-90.51879085226801
1353162,0,-180.64505430189385
3139098,0,-52.44875774207403
3922197,0,-190.48249647762222
526451,0,-80.22029882564082
1163952,0,
3450139,0,-43.38370596299916
1194724,0,-125.83107248551966
2043331,0,-171.4507387363472
3392465,0,-106.57357688079814
1880009,0,
3543329,0,-124.9551843312728
3264781,0,-161.37051285721222
1491218,1,-222.91081869466657
3337559,0,-142.25267997026748
3850512,0,-46.47815263883296
2609814,0,-168.6239717141441
3772899,0,-37.96062483917116
3254887,0,-127.64712331164519
2400593,0,-130.90503056770245
520803,0,-156.32973580584473
2884534,0,-279.0303054239921
1940474,0,-161.63535379644972
867301,0,-30.731388060989335
2560022,0,-131.24004630008707
1912128,0,
3076746,0,-183.20927447276833
1585792,1,-214.4189716152174
864093,1,-90.01550229757414
2400925,0,-138.64532428845558
2495458,0,-56.20521221989649
