sample_id,z,y
3247613,1,
3011934,1,
3402352,1,
236655,1,
3145326,0,-10.246321695663843
357147,0,
351945,1,-9.395233863331185
2521566,1,-7.449619249056234
1169724,1,-7.745088271204675
584480,1,
473343,1,-8.606261148732278
1153811,0,-11.056259975338511
3062625,0,-11.684443517926939
1834033,1,-7.988380036162395
1938078,0,
2669113,1,
2594420,0,-11.680406864749848
2747572,0,-11.243271009634517
2906675,0,
2194144,1,-8.57524163712942
3682908,0,-15.959913175036188
2569834,0,-14.98080763133263
2527307,0,
503879,1,-9.40050976107897
2268272,1,-8.997313780870973
2555156,0,-10.630038702838847
2768860,1,
2054856,0,
3710525,1,
3682700,0,-14.06104830760892
3958535,0,-13.807471863003569
3032712,0,
2553086,0,-11.463351740647806
3520619,1,-10.658129589559351
2484020,1,-11.0260786687814
3368630,0,
1291484,1,-9.483960899238506
2652037,1,
3092909,1,-8.091834123849997
2646986,1,-8.73635369917032
2441744,1,
3118040,0,-16.359577732897286
2507577,0,-14.78035021815991
1561129,1,
3512861,1,
3946198,1,-9.11989448227993
526922,1,-9.86228020731481
3146590,1,
1227251,1,-9.481967154663476
276361,1,-7.034304727745468
2771991,0,-17.02147781936293
2185775,0,-14.794079023612944
1759874,0,
1916043,0,
1248612,1,-10.000254775745155
1758759,1,
3402706,0,-10.073340230071297
248391,0,-17.933054984070278
1061660,1,-7.317668102652081
1886315,0,-13.771242942921486
3395656,0,
419366,1,
2161298,0,-16.035303000823593
332374,0,-12.201000291083975
658821,0,-20.76352794404671
430925,1,
460443,1,
2786732,1,-10.024343307833995
469253,0,
3765167,0,-12.61626890204922
3487381,1,
3420235,0,-25.915788016994636
1248017,0,
3725584,0,-17.618038017549697
3439580,0,-12.659358186515208
1114591,1,
3734135,1,-7.157492654595767
1234686,1,-7.818521584243877
2886091,0,
1866529,0,-14.609773990836459
1111157,0,
258257,1,-9.23857132127012
1278861,1,
1521106,0,-11.058699638936817
2151248,0,
2239907,1,
2948088,0,-11.576641015108619
1460595,0,-12.589713380889105
3196329,0,-11.17355029227631
3417871,0,
1914015,1,
1238708,1,
3380549,0,-15.007573001632643
2614499,1,-8.35394514772215
3351067,0,-18.713774280780008
2031154,1,
3887911,0,-18.044249040813845
2231618,0,-12.183481049353883
2979049,0,-18.86857222884555
2210928,1,-9.24718066173164
3672382,0,
1741464,0,-10.826744795906286
621156,0,-12.76859133691115
1512912,0,-12.576237309997229
3257826,1,
916683,1,-7.010265474156814
3067569,0,-10.088384904976737
405798,0,
3879850,0,-17.72105436658855
3838914,1,-6.433277988960755
2246697,0,-9.512765446353152
2652342,1,-8.113606476640486
730555,0,-9.466726324547674
2911423,0,-16.62573939257113
2046522,0,-15.46376709481056
2779923,0,-11.889871888637467
3941806,0,-16.190352763922
2222868,1,
3403328,0,-15.48255749847462
1697385,0,
3916783,1,-8.432859160058033
3156405,0,-13.473385188127562
2655488,1,-6.442782514068302
257911,1,-6.888013346603097
1326256,1,-8.786336550196262
3886704,0,-16.869515485675713
1151939,0,-10.096367136357808
657336,1,
690620,0,-22.1193661515297
1541425,1,-9.41956083976038
2613327,0,
3399307,0,-13.937501766966067
2993762,0,-14.711908286902466
2063854,1,
3428724,1,
512408,0,-9.609653923627878
2623952,1,
2818747,0,
2985945,0,-13.593692569084144
1993285,1,-8.253942212365796
2899231,0,
2418609,1,-10.123700271988204
2049534,0,-10.860515883205768
2021316,0,-12.753854828157301
250542,1,-8.268248440298965
2905845,0,-10.871945383219613
3100489,1,-7.224845693039661
2447335,0,-15.86570044371689
1412516,0,-14.319005683524539
1879058,0,-12.465153120757066
3672377,0,-15.696031930927484
1843351,0,-14.58024287132936
1717713,0,-11.894757593863336
1553259,0,-9.795823547490192
3784048,0,-10.578899779229081
904567,1,-9.50069755470858
428348,0,-15.392633382541963
3532943,1,
2477731,0,
1366840,0,-11.21238117816658
2976168,0,-14.526164800378485
1592513,0,-15.208794938708209
3712895,0,-18.692085497614784
633917,0,-11.800191665440074
1591214,0,-9.517969211412904
2186992,0,-15.945029370796897
1224249,0,-14.905373337762404
3945176,1,-8.21264172157906
1374057,0,-13.400665841058679
3190395,0,
2471140,0,
2667511,1,-7.266949819432926
2201833,0,-15.265290630376597
2129765,0,-12.489274464642731
737047,0,-11.75793949700763
2737248,1,
1551147,1,
2667647,0,-11.555705842446958
3447579,0,-15.162935892711403
1771502,0,-18.721712231382764
3739808,1,-8.096288489034135
1918950,0,-10.545673502702662
1218516,0,-15.680533533261864
1882321,0,-9.234094386441496
556666,0,
3748777,1,
3548397,1,-7.225613403964998
2396168,0,
2176569,0,-20.659394809607072
1939404,1,-8.467897143496025
1975614,0,-18.410049696739993
3921740,0,-10.301998210139804
1550675,0,-10.513504041913356
1872855,0,-9.85332143237395
859028,0,-10.413329282734493
2506276,0,-12.416509044222597
2572967,1,
1761112,0,-15.02196674449317
717723,1,
468565,0,
3757539,1,-8.965554040387019
2704529,1,
3107637,0,-16.679094595370604
548189,1,
2505272,1,-9.653138476164237
3753639,0,-8.354585780492739
2922442,0,-17.63565490859469
363021,0,-13.460671247514057
3365098,0,-13.765317551471286
1950559,0,-13.342488218636404
3783154,1,-8.054103843193209
1692660,0,-11.768408041208433
286680,1,-7.877628067945636
2986159,0,-16.35431614159795
730177,1,-10.841562143707264
2256260,0,
3311469,1,-10.770728936952503
3219056,0,-14.905092416521331
1645295,0,
3310969,1,
3116067,1,-8.238669885928797
3520009,0,-9.18001770361723
295310,0,-9.553003423859355
2252630,1,-9.696836884563066
1555652,0,
3419431,0,
2776161,1,-9.612937540614535
2496100,1,-7.281820059835461
584493,0,-14.766374747703258
2281023,0,-11.459478072227418
1582856,1,-8.816833368057942
732874,0,-15.236454505692265
2749630,1,-9.051327172859395
2226486,0,-9.41679984058796
3093725,1,-8.457172335916992
2939863,1,-7.160813539069084
1997929,1,-5.57230115295319
1405547,0,-9.412287182968608
1197730,0,-18.04393671206115
3377836,1,
1075307,0,
667813,0,-16.753426639827026
3727673,0,-11.123769279071016
2661560,0,
724341,0,
953438,0,-22.455018516834794
1967847,0,-10.4411885116139
305185,1,
3724163,0,-10.235529272554269
3484439,0,-10.480121522501939
323152,0,-16.194194503011666
3954603,0,-10.462769750273358
1445571,1,-9.222956675218626
1736772,0,
986598,1,-9.104653101293861
3142159,1,-6.518093427444257
3472069,0,-9.935197814834108
873634,0,-25.363151160717848
500794,1,-8.484094202982918
2026943,1,-9.17524059663487
1739381,0,-11.448613215120817
1998324,0,-9.59750952232521
3877683,1,
960166,0,-14.15779908376837
3743418,1,-10.720060678201763
1553393,0,-19.345178422074838
820543,0,-15.921359546163709
845569,0,
1268563,0,-9.960502760557773
919236,1,-7.152626959340624
2817966,1,-7.988721044094251
3699202,1,-9.30834767001643
2160014,0,-12.502774831926802
475337,1,-8.43911238119377
890252,1,
688060,0,-17.129223205038446
2055981,0,-16.2858167681872
977621,1,-8.161369319320924
3681325,0,-10.211282139136529
237409,0,-9.75897601909816
3332966,0,-10.962947885796268
2049560,0,-17.943228929214392
1031151,1,-9.42757417000426
3392489,1,-8.162141456457672
2744456,1,-7.357202957910498
1891719,0,-12.16555946000582
3347994,1,-7.0606292140042415
2618549,0,-11.800266557666758
1285775,1,
1474968,0,-11.924722058890746
1817955,1,-7.655386696726107
568297,0,-8.989441514615937
1210847,0,
3089210,0,-10.34940794415865
803746,0,
1638320,1,-9.723760083411923
279600,0,
681824,1,
918359,0,-12.007433436102312
2480619,0,-10.502817068317471
3077029,1,-7.941717447318134
1571355,0,-9.763125223619133
1170034,0,-13.106924833136816
223755,1,
1962796,0,-11.23529081471771
1405915,0,-16.740473873590133
1776949,1,
808461,1,-6.864456281566954
3726781,1,-8.722486236679183
2521210,1,-8.07742883977434
3105137,0,-11.958598918576067
2633538,0,-16.741920793489715
376507,0,
3687550,1,
1440604,0,-9.25611656095715
649782,0,-18.694247779566748
716659,0,-15.522271309499251
1082363,1,-7.3405231255751975
2647778,0,-14.100247527972968
417877,0,
1144125,1,
3789905,0,-14.488981894662404
2117965,0,-14.307661996362722
2391864,1,-9.19170406238598
458716,0,-17.81019096047065
235381,0,-15.290301405985973
3488151,0,
2724072,1,-7.868149970484353
2275627,0,-9.95575071593093
3291449,0,-9.91830997153716
2862465,1,-9.578327674694643
1590901,0,-10.40158829540014
2915876,1,-7.937555385804719
1881023,1,-8.673623431363367
2999214,0,-18.27886966248122
731759,0,
2824410,0,-9.341359033354905
2600737,1,
3851756,0,-15.460005693001799
2730684,1,-10.292541431706267
746824,0,-13.69403466556054
3137198,0,-19.91729521091512
2736657,1,-7.439520504692486
3055198,0,
2893505,0,-12.137469214231505
3115509,1,-9.386220510205062
700819,0,-14.877087210775485
543521,0,-11.369423868886393
1125137,0,
624583,1,-8.211218150856086
2522801,0,-14.224584041261918
3793222,1,-6.832517086839813
2581537,0,-21.25760876378581
3383420,1,
2757233,0,
3737539,0,-9.920651955345972
458984,0,
737099,1,
1947804,0,-16.503022633352455
1082330,1,
2218908,1,-7.429788395152331
2883960,1,-7.125919601302651
3295226,0,-18.869808834926445
280950,1,-9.328879563910846
1057082,1,
1708366,0,-11.119268275272292
279863,0,-9.272033365382415
1355394,0,-12.256511416130666
1163706,1,
1279627,0,-14.695189196063993
2416485,1,-8.957594904254004
1156784,0,-17.545902848503278
1849501,1,-6.782395300316212
