sample_id,z,y
3958368,0,-2.5475669659446534
1519436,1,-2.4531145542931236
3905087,1,-2.986733782743058
3280466,1,-2.2876364511364913
3333277,0,-2.541989955157779
2701373,1,-2.6796121851556323
2058114,1,-2.7395315758247083
3768377,0,-2.498851340179856
3027855,0,-2.3336591017720987
1993063,0,-2.3964908884352707
2172393,1,-2.440702729251743
904641,0,-2.3766384135006877
3904907,0,-2.6746367225075036
3200271,1,-2.585245159639959
2558746,1,-2.8566820838610467
1854156,1,-1.5968050785898136
984845,0,-2.450107771476692
3160223,0,-2.802389175395516
3699172,1,-2.4492465921474755
255486,0,-1.9038149831126998
3262760,0,-2.4818892078237194
376754,1,-2.3832619899568592
1295160,1,-2.3559321185512703
600125,1,-2.4883208906644225
1747588,0,-2.343079816530632
1071191,1,-1.503124258436119
2800013,1,-2.7592512952376107
3960530,1,-2.844264134650243
1743391,1,-3.0452808927646444
2797871,0,
2430511,1,-2.686694285521326
627843,0,-2.7671779900735873
2256542,0,-2.492062632881681
3121814,0,-1.8928014070374088
416760,0,
734446,0,-2.724346295339372
1193212,0,-2.8015300899269775
1388127,0,-2.7504706840511393
1294263,0,-2.7601460962308417
550383,0,-2.7026499825530275
1632937,1,-2.7712740857360987
623957,0,-2.727037180362033
3100248,1,-2.6558622424891745
2279261,1,
1752213,0,-2.8552710767706735
1348462,0,-2.7931160260612296
3800093,0,-2.8323452292909317
3729308,1,-2.4344398839903922
2748120,0,
3034604,0,-2.7811009838485474
1728906,1,-3.009294775356954
3135373,0,-2.1920599204501316
3657767,0,
3019406,0,-2.528713007786478
2923156,0,-2.2632883103595898
2428274,1,-2.879897688612347
2751378,0,-2.399984303356107
2744312,0,-2.6837185861461634
2652664,0,-2.2676746666251435
3659238,1,-2.682711918823171
2919403,1,-2.509516400335259
718225,1,-2.548988034915558
3900453,1,-2.9494202789431494
3070669,0,
3075002,1,-2.1533989259756767
1348382,0,-3.090950113350441
3240623,0,-2.5210639961582295
2119983,1,
1776131,0,
3250913,0,-2.9774673801333025
1087995,1,-1.8190090582402332
357567,0,-2.6761921981847765
974971,0,-2.2591708967548096
1099805,0,-1.7588969287648575
984323,0,-2.3424263318716974
1769064,0,-3.0936040686482857
1192664,0,-3.001498742006623
694978,0,-2.769746172858102
326511,0,-2.7055937064228255
811316,0,-2.574475161583923
3835061,0,-2.450632739266358
1133439,0,-1.523241939939619
1970001,0,-2.2578101111265396
1579506,0,-2.471586455443376
2854493,0,
1025920,0,-2.3579802556386222
3419175,1,-1.7654488728196092
1589767,0,-3.222341960247803
2501776,0,-2.0878528345189205
