sample_id,z,y
593134,1,10.795400392075697
1625379,1,11.328773095076935
1296534,0,
1315283,1,11.625344480183697
3517709,0,10.671753731913256
589146,1,11.513232493871556
759938,0,10.326020763915071
1776568,1,10.71815116932429
1352877,1,12.251481843239928
3881763,1,11.660608528859694
2739418,1,12.027219671233807
3418410,1,11.16505291547983
3696404,1,11.881244730589998
3448174,0,11.6706692273545
993219,1,11.071896690886057
1523863,1,11.683356290001724
1155979,0,
3391794,1,11.404539170879373
3521217,1,11.749300057231846
519850,1,10.802965884270918
1408379,1,12.057205389850825
3061811,1,12.026061354247023
1470997,1,11.506084405312777
737047,1,12.797016248244063
3473850,1,11.700531765698038
477385,1,12.093053595234244
1532603,1,11.233271462143634
2719521,0,
279214,0,
2898012,1,11.145669673942432
3287183,1,11.735603124229351
2395362,1,11.388071056217234
220753,0,
1079301,0,
404681,1,11.514690312919972
3004714,0,
3836194,1,12.063419362497953
957173,0,10.906474338197857
3892679,1,11.104069128338727
2229093,1,11.459655916320582
1706707,1,11.38762742879624
2519206,1,10.87302184107458
2426743,1,11.646058758189827
210766,1,
1145990,0,
1308998,1,11.807936088919824
3937869,1,11.408313128343211
987213,1,11.804374543734724
1380758,0,11.17796090463502
1420322,1,10.984762781862445
374064,1,11.640798765602458
3220310,0,10.982978131748173
846277,1,12.168474234726098
1323041,1,11.389633854804051
1499353,0,
2538321,1,11.999975216503309
2485963,1,10.819133404454442
667813,1,12.288170494161738
975272,1,
1254824,1,10.881188197763574
1165374,0,
3364725,0,11.09833469495958
1029042,0,11.104020912930558
3312056,1,11.145112647149672
1404965,1,
455502,0,11.356420966736986
3791710,1,11.646402734082557
495545,1,10.378939487451845
2443013,1,11.596405668919509
2002181,1,12.173525809995207
1087054,0,
3850301,0,11.882405030590993
1367788,1,11.24268484575816
1342365,0,11.293263484213988
513544,1,11.658414927075734
205703,0,
3779507,1,
1896788,0,
2849602,1,10.72720147835376
2834251,1,11.058054218657222
1582790,0,
3735014,1,11.44218246102086
592116,1,10.754557901014657
2122177,1,
1248886,0,
512888,1,11.120449520644257
1768060,1,11.025748341416476
636825,1,12.482131869357818
3376878,1,11.268314125562528
1554036,0,11.26081430184787
622836,1,11.26301800466471
3007674,1,11.524289535430158
3891823,0,10.312163722648993
3109020,0,11.10187110677329
419908,1,11.525389386208495
1245034,1,11.590331755172286
471275,1,10.66621110067262
3383133,1,11.633889950262896
417108,1,11.01619137944188
1234949,1,11.54766922264452
1203083,1,11.890864924897956
3400590,0,11.164124512224998
1778819,1,10.583504704559783
580273,1,12.034757840444076
699203,0,
627764,0,10.999277906435175
214737,1,11.256566641903666
1049904,0,
1064373,0,
680825,1,11.492168717611339
2447551,1,12.021276890156125
3359957,0,
2038253,1,10.790590843830083
1214201,0,12.083770626361824
2694506,1,10.929769622913032
2174802,0,
2997520,1,12.029002617829432
3374834,1,10.734387953031595
1308477,0,
1461036,1,10.923625952743809
629382,1,11.94868804884055
2212673,1,11.158026767189977
2816375,1,11.395599324254231
3520932,1,10.442300143896274
365209,1,11.827324852277846
1559500,1,12.021181774877315
3133341,1,11.100094176532721
2963611,1,
3376185,0,10.211517462292202
2445720,1,11.525953839831919
2881348,1,11.240039816772581
1661854,1,11.10644582412778
1628586,1,11.745871185549609
1792486,1,11.324422514286555
1978274,1,
725602,1,11.840056161299696
469805,1,12.10994960086976
299539,0,11.351265974357815
1374957,0,
2740142,1,10.886822001698926
361848,0,11.34416417400005
3511944,1,11.359044915568374
229467,1,10.25312354235017
526648,0,
1595797,1,
1611661,1,11.490143836963
1694699,0,
549996,1,11.59217553311345
2546878,1,10.657153995647123
3377528,1,11.367656029357025
351617,1,11.395993640404425
1914860,1,
289431,1,11.815436971001777
2867444,0,11.428314620596112
1734193,1,11.905593976438054
1039786,0,
1677625,0,
701601,0,
3673875,0,
2551646,1,11.638252905645329
3941288,1,10.941785738303574
2968267,1,10.350877040628212
3100247,1,11.136008772839924
2513525,1,10.699562934633754
1752710,1,10.901533220709059
726855,0,
1394033,1,12.187010834698695
2629543,1,
3684029,1,11.894093129648939
928410,1,11.170707730629868
2242477,0,11.545533325771864
3893316,0,
1496910,1,11.30449753533834
3657051,1,10.766201548744508
2029595,0,
982938,1,11.820371049984308
2566390,1,11.660906395744872
1460340,1,11.331371060804079
241699,0,11.410843397543319
1080661,0,
2997043,1,12.130126302868176
733563,1,11.963415053876936
2711931,1,
2766459,0,
3506831,1,10.710239940376741
2404075,1,11.976343462246534
677454,1,11.014559281100166
353600,1,12.404014064818936
1113354,0,
1117315,0,
550035,0,
2032544,1,11.322791584291055
1088577,0,
3908164,1,11.732610332435709
2505273,1,11.721964069109715
3445739,1,11.958005772548733
3523386,1,10.893318683496156
2059035,1,11.017191776965884
3281354,0,
264591,0,11.530435842412299
1312891,1,10.224055098785762
1269145,1,11.663433535219356
1098771,0,
1135611,0,
2499791,1,12.215434581225999
3793380,1,11.525151763519922
3934434,1,11.137978136085033
2233082,1,11.914744761525473
1165010,0,
1738978,1,11.468129601189329
2222720,1,
2835919,1,12.092701981930409
245520,1,10.742706038331743
2542610,1,12.514564966637646
876406,1,11.946109034126305
1636048,0,10.173651189516432
498990,1,11.41638824715009
2942693,1,11.057861085041996
2724841,1,11.768440031639521
2860101,1,11.86565358919648
2242703,1,12.770356714919366
895843,1,10.8833320020526
3854838,1,11.439004186461805
3930950,1,12.098386628765947
1203899,1,11.740071132480395
547587,1,10.007433000293364
899618,1,11.725838805359443
728991,1,11.01852404146068
3345808,1,11.896817275885274
3455975,0,10.469543200634677
576251,0,
2492350,1,11.275872013155231
1259169,0,
891452,0,11.448940513529145
3269403,0,
3757110,1,11.641596341168558
1328320,1,10.9114591557281
3391903,1,12.083602254470787
3365083,1,11.80713069088418
2242963,1,11.73858320148828
1683841,1,11.509913312733598
2945553,0,
2403863,1,11.827799285617107
2457500,1,11.859315784393981
1645878,1,11.300829949359706
2169688,1,12.125398667295508
231623,1,11.656422737663316
317927,0,10.961495011620892
2943155,1,11.065798960572714
1883206,0,
402803,0,10.913211421929406
2686349,1,11.25829894328711
3743860,1,12.08277492210842
580598,1,11.666792496768904
927222,1,10.958729678509258
644251,1,12.286371923218123
1561509,1,
316515,1,11.870271218834738
309408,1,12.274584596613769
1953008,1,
2239348,0,11.162621223198297
928407,0,10.567236216362899
496349,1,10.996805008733642
474328,1,11.328340134886627
260630,1,11.52499788530613
1267893,1,11.652103927687168
1243689,1,11.974877440916554
492298,1,11.491598073645738
1614152,1,11.152297923598654
1515422,1,11.39906412842263
2004373,0,
3701549,1,11.554061139820147
3025579,0,10.847131079452538
3491409,1,12.38569104170138
2132442,1,11.882285304853498
946505,1,11.669749108323275
3653865,0,
1714301,1,11.207671536584144
1098546,0,
3689209,1,11.57814897998284
397615,1,11.48269762913082
661387,1,10.820485239452028
3118759,1,11.836064683257034
961129,0,11.907809881961914
2391001,1,11.085016043417037
2810879,1,11.959494392159616
1137753,1,
1717411,1,10.557725491122508
2696398,1,10.348073038342179
1811055,0,
582056,1,11.788286779752905
1283841,1,
547004,1,11.31329780345685
2757236,1,12.016538778680834
2585425,1,11.690394150319932
410714,1,11.112454568223269
2674695,1,11.51777080666841
3327680,0,
3549528,1,12.33892827302783
3954427,0,11.537394803289885
1354627,1,11.558693772960892
1700679,1,11.683659567234807
2921094,1,10.956950885629398
3089270,1,10.984588427590863
739617,0,11.557044258462485
3749081,1,11.34418142531485
1076966,0,
3781180,1,11.729137354685145
2556786,1,11.11911580732109
2136646,0,10.872516186524486
2607346,1,11.098942665369798
3315446,0,
754069,1,11.165955017627404
1358152,1,11.16460081121175
3703288,0,
212244,1,11.506668612477835
2618549,1,10.695907842991414
926638,0,
1789747,1,11.646008077908608
1903653,0,
2529902,1,10.783279389535986
3230431,0,11.041451628518253
869444,1,11.701335265173148
2131680,1,11.898313335007575
2703870,1,11.65091483681521
2771632,1,11.228118856084684
1394734,1,11.026270813905608
892927,0,
2391822,1,12.285682776675788
1306737,1,11.28891756599645
3655113,1,11.042701028975834
3189166,1,10.923529130675126
3358704,0,12.730465758814233
761281,0,10.504457990223612
2118805,1,11.484016394812194
3306100,0,11.382530735014202
3501216,1,11.425701659424645
2406216,0,10.65100592884871
3873539,0,11.803531940145715
3114384,1,12.048801728777036
3081234,1,11.176109767413307
3880059,0,
2178564,0,
1980453,1,10.931495359939955
580822,1,11.675743258505308
910078,1,11.619430476796706
3317006,1,11.664483672342245
1690925,1,10.819972594389624
2436768,1,10.944041957883577
2768708,1,11.197431960219792
235793,0,
2244374,0,11.252851662258768
752668,1,11.28500990111641
1229439,1,11.521056688087976
2842672,1,11.845155112117277
1777793,1,11.43057106965887
2590590,0,
714548,1,11.620266645313242
1694348,1,10.611031969733972
755790,1,11.624243701126078
584425,1,11.585596254551877
1037347,1,10.410628017482276
2241433,0,
1728565,1,11.136245917703354
584148,0,11.83430303923637
3007035,0,
1192934,1,12.48929795526623
3704212,1,11.855810596431843
410414,1,12.03360726320271
3024033,0,10.130255927738002
1408913,1,10.580528653910614
2722980,0,10.319762136199552
203065,0,11.110978010518638
1500566,0,10.719149215565913
3718162,1,11.885115764823647
3697415,1,10.629678530042693
2707631,1,11.172521812862438
364599,1,12.088685524223369
2425526,1,12.297191673308213
1252335,0,10.354388638041792
1129243,0,
728187,1,11.948799412704474
3688058,0,
3891422,0,11.346738110766127
2118716,1,11.598059976325944
2144323,1,12.09228238274389
1552374,1,
1568420,0,
3073077,1,
455538,1,11.631884864190035
3155078,1,11.045970656466531
380339,1,11.44805709480706
3224586,0,11.709653734726126
3174495,1,10.561051276084621
3911876,1,11.784741783137488
612097,1,9.803977200446809
3921982,1,11.65833305373284
1485432,0,12.285211546330629
3382321,0,10.188547516132823
2537953,1,12.436332888004316
1131949,0,
2163519,1,11.949560709415854
3264726,1,11.632011720035564
2817435,1,11.107070991947571
1640064,1,11.521060563950613
2594948,0,11.501818890873084
1718175,0,10.275378974709874
316834,0,
1939219,1,10.968630484014078
434796,1,11.134266222203587
2514036,0,
1628610,1,10.326036291416699
2459928,1,11.804970678387601
3717788,1,11.877978976104163
2753009,1,11.118420543527558
3151276,1,11.244443840487516
1220463,1,11.6658035203824
2119474,0,
1610212,1,11.841979551724451
2520134,1,11.811419607256616
2130178,1,11.17886315742785
2265403,1,12.005284966934624
3492027,0,
1765414,1,10.609039957701816
526451,1,12.026289864034295
1424979,1,11.902220367706484
3880542,1,11.481676117833835
3277235,1,11.69023100677667
2893477,1,11.454677049564351
3067676,1,12.05934612039711
2930308,1,11.60673539745359
2612895,1,11.266783393567037
691603,1,11.740266393870314
2179183,1,12.454341547938457
2796424,1,10.690348826508737
3761631,0,11.521889714204935
1316032,1,11.471604954163597
473730,1,11.97014041197572
2593530,1,11.251225353848948
2471965,0,10.080570272796216
3038153,1,12.164193667660355
1048321,0,
1860311,0,
1339437,1,11.336733524205869
273464,1,11.920438426525994
2812289,0,
3529535,1,11.994856036217074
1952050,1,11.292849195038592
829540,1,11.263786980836407
1123254,0,
1526713,1,11.148758979631205
2055430,1,11.541883534473623
1696555,1,10.641387721400216
1831728,0,
2848453,1,11.0688705788914
2849177,1,
2599411,1,11.58734987736377
748160,1,
1277755,1,10.850765831871712
905122,0,11.282946519634889
424839,1,11.743145662214053
578763,1,11.656879134823473
3304236,0,9.918038833040375
390660,1,10.912508117552896
2255626,1,12.818789244625263
3215750,0,10.501157031708324
3103779,1,11.655722430486342
2851322,1,11.151501963865673
1009189,1,
2439809,0,
2509163,1,11.766312469929895
3383101,1,11.677070191271444
214526,1,11.961759616268967
3766605,1,11.56337820846962
1120614,0,
2239700,1,11.108716842893188
2561947,1,11.321666917337579
3280703,0,10.756703928456364
706318,1,11.14133276800318
1846550,0,
3299842,1,11.833058039761761
2055738,1,10.225576165539133
3487304,0,
2622951,1,11.02602791674776
574973,1,11.180744715220168
2219270,1,11.40506819617488
1813304,0,
2443140,1,11.438518213460398
3367468,1,11.551684978655546
971176,1,11.820896497748024
1234691,1,11.378369494612917
1637259,1,
2613121,0,9.982906379745163
2671756,1,10.213575071349188
942781,1,12.73152048464646
490103,1,10.826196336687824
2720347,1,10.79408033401445
1941577,1,10.55559948283742
1512304,0,11.923488267454106
3658148,1,11.038474368998282
3397188,0,11.332717115580577
1715688,0,
2483548,1,11.651164360206554
1069150,0,
844178,0,11.406607548574605
3004202,1,11.813211629889576
2225743,1,10.870611907325383
3196196,1,11.282070075066956
2463574,0,
3806920,1,10.763587899526007
2861364,1,11.275591644194815
2201117,1,10.910713755592928
2407764,0,
1289032,1,
2856441,1,11.90595876819445
1082702,0,
908581,1,10.520701646969977
1452172,0,
589216,1,11.330841126030183
2043460,1,11.119167384430234
1266132,1,11.331452180119461
1553070,1,11.283385161764174
3230394,1,11.149145937070545
1998343,0,11.324845596297289
1937224,0,10.4663504104959
386631,1,11.52252778284552
1976111,0,10.87196697451994
1006455,0,11.321048443322587
958533,1,11.545854420798275
1906721,0,
2771473,1,11.248995446457778
2884219,1,11.599406744895628
3671651,0,11.47906023953189
379746,1,11.340843773182126
1595972,1,12.189419834591718
1879163,0,
522716,1,11.998499972036072
372101,1,
204797,1,12.018118642550474
569849,0,10.88983922206599
3417676,0,10.575511567068382
1028629,0,
3125755,1,11.828981475683404
1097137,1,
3711828,1,11.177155946691634
1369816,0,
3946915,1,12.421600231514411
1344030,1,10.696020339398492
3691367,1,11.970268312683155
2138525,1,11.653471852059084
3324232,0,11.817915495931649
2736314,1,11.32456289998756
731257,1,11.22243864496576
229097,1,11.066565018197855
2259755,1,
2398385,1,10.75489678189368
3379675,1,11.88981220381642
3858859,1,11.188128775422474
1057483,0,
2486294,0,
1519690,0,10.048461170059754
3276537,0,
1053245,0,
2662064,0,
3746810,1,10.726697903913644
1537127,1,11.603636471058392
2171318,1,11.956089258382162
3376046,1,11.453768412467856
1541190,1,11.438227996940029
2229618,0,11.355954885678914
1301253,0,
3521612,1,11.350020314392198
3955290,1,11.403706637342962
806876,1,
3525684,0,
1257879,1,10.464736574049242
2122789,1,11.586309506103827
3139847,1,11.456776394342938
266391,0,9.936533576964194
1695256,1,11.55876838288488
2723895,0,
552508,1,10.69214588191999
252825,1,11.547117912274276
3193340,1,11.702110675317948
1882684,0,
666179,0,11.043163255943886
2546216,1,11.387257580383272
1196228,1,10.383597514885668
1423402,1,11.43440991753932
3203333,1,11.112170690664405
2498905,0,10.98831194907101
1993990,0,10.726054394289777
1354904,0,11.231622931725848
2273936,1,10.684343316979668
716171,1,11.157782638750383
634106,1,11.703831253709224
2645460,0,
2684308,0,
3501708,0,9.947697245477414
627866,0,11.068485875120874
1509106,1,11.15711174331608
1988362,1,10.701101896463111
295844,1,10.73152696317994
3201230,1,12.144024019980009
2887434,0,
3433907,1,11.432499106774406
994482,1,12.354667802729026
942638,1,11.844879567522655
658732,0,9.99650204831635
399033,1,11.80057767929312
1743840,1,12.00989785278314
2923106,0,
3076911,1,10.888927338309012
2450922,0,
1485890,1,10.960880675221507
3929417,1,10.855793888959067
3213732,1,11.56003354447981
257524,1,11.411927850238406
1263501,1,11.090187030956818
222372,1,10.805115182851582
1051896,0,
1987954,1,11.451103378132082
607941,1,10.758998971606161
3060635,0,
3319688,1,11.307003597867231
1047269,0,
3799559,1,
3332673,0,
2939964,1,10.889594535879743
755340,0,
1573733,0,
634152,1,11.206466545686444
2922612,1,12.574595356468109
376230,1,11.113331739866084
206346,1,11.475981792254542
2571626,0,10.971860293558967
2970968,1,11.47943555543379
3457774,1,9.901863799314448
2186931,1,11.32259838821186
1165810,0,
473152,0,11.842159624902273
2734253,1,11.58419690476803
1415044,1,10.785066355250484
1533563,1,10.966528107472183
3418970,1,
941630,1,11.922779938695475
264764,1,10.890980301790254
202907,0,11.08477648467295
3698566,1,11.974365637089138
1350777,1,11.572716241056611
1741385,1,11.237057373654881
681740,1,11.686680967854183
2267972,1,11.228931104533473
1911139,0,
241187,1,12.100137436589199
1045871,0,
2129480,1,11.199486711007253
1052101,0,
3369614,0,11.653331131375143
3900399,1,11.794627162384861
2448891,1,12.219217435186637
3471202,0,11.237769829318228
382750,1,10.6032357053008
1202967,1,12.708530700742648
1985731,1,10.757471230103553
556462,1,12.606727703501596
1609435,0,
1456791,1,11.758329139704212
3348614,1,11.778781678288794
1736653,1,11.621924790758007
2564658,1,11.025650146974
618666,1,11.636608044634905
988101,1,11.746673531229572
3892714,0,
259083,1,11.572480060622368
1356117,0,
3047692,1,11.377861796593516
1819469,0,
2893779,1,11.063984629274222
745496,1,10.97887890771231
3276126,1,11.259044366372937
1133451,0,
817841,1,11.099706493182689
492366,0,10.866960527944501
2422538,1,11.560801884916092
1281318,1,11.051192625788886
1157968,0,
1620797,0,11.606216026296515
2481764,1,10.632674419766687
2286659,1,11.469290831000817
324505,0,10.743815534421367
3483847,1,10.849103196585741
2683546,0,10.645424589041266
2046750,1,11.057744305861615
2547177,1,12.121990407385917
2746055,0,10.504438170526575
2709307,0,10.714611932754766
1825897,0,
1493668,1,11.223274941906132
2571878,1,10.564325677794335
1435048,0,11.577979113139943
3864395,1,11.550525134676391
661594,1,
3266191,1,11.734630157137222
2430940,1,11.335614951361524
3206929,1,11.570506414344642
1618454,0,10.349009388713547
2038170,1,11.65289729923478
3535525,1,10.521469359421234
1476023,1,11.203056758737343
261627,1,11.187399340225102
2924085,1,11.753607158435544
2572149,0,
2231379,1,10.870917479928021
512425,1,11.277846642636991
1404187,1,11.373912224462599
757251,1,11.2077266994997
2634372,1,11.440274411708137
3419872,1,11.550603866680811
482417,1,12.192590376129388
1677260,1,10.912396733174907
1309215,1,11.04531180448479
2727843,1,10.606436922300793
1942301,0,10.929208762887797
516395,1,11.775423488621115
2122258,0,11.319493107428782
2236834,1,11.40986250296857
1268853,1,10.53315923627409
2878089,1,11.94944631006522
3470819,1,12.189508495909104
2407781,1,12.261008747011914
2856410,1,11.163165286427972
2241592,0,10.6953253813441
1114747,1,
308405,1,12.076092430884913
3399385,1,12.167763572187566
807145,0,10.767655475855957
2501406,1,11.778741388702729
2420530,0,
2633318,1,11.742108185368103
2789114,1,11.088986216315272
2129628,1,12.451970355505289
1863261,0,
2436893,0,10.845297638368438
3717908,0,
1268563,1,11.944535559050683
1666456,1,11.332056375197075
2410050,0,10.272534203583966
1531055,1,11.386868076804069
953438,0,
2758399,1,11.76065351809386
2509550,1,11.265160891576627
1759971,1,11.275783242094926
3075484,0,
