sample_id,z,y
2456678,0,
3421455,1,165.79288342993596
2197514,1,169.60501910425822
1490936,1,159.00754926777816
2040449,1,185.57123893460832
1239350,1,214.2289385602126
2586873,1,248.14105746171657
1661824,0,184.04698254289104
291762,1,160.51396921500722
3890063,1,193.79902429430294
2424772,0,
3911823,1,
2564514,1,171.0437977868192
543155,1,198.78223898812536
321852,1,154.85703991357389
1969883,0,
895345,1,168.99404437202125
2649421,0,
1686809,1,385.5047055876328
3414985,1,
1356743,0,
450349,0,
1142542,0,843.9725150063308
1423963,1,166.96916753375683
1431435,0,161.48910888692987
1403445,1,172.69762551672937
3006832,1,186.71634902890455
1968654,1,177.8639851018317
817763,0,173.3318423662787
1142148,1,891.9140687763211
1810835,1,869.0107563912793
1296292,1,178.1054562532119
2581319,1,172.08448650569275
2535516,1,198.37110634932228
708657,1,172.55160197889057
2908327,1,163.15598240100198
1127330,0,904.2142234481515
593824,1,164.1394237679418
3329699,0,173.4403349720206
3710376,1,162.31355136701072
943488,1,172.663732857938
1633878,1,168.88366120753886
1849388,0,897.3461820927271
3452055,1,169.21166182669455
709768,1,168.90242550645914
1588789,0,
2264961,1,228.65741066810452
2927484,1,169.49068497083329
2468901,0,154.3456168091677
529355,1,175.64304058495756
3742875,1,172.4643340523382
3475078,1,148.13209605343232
3931337,1,190.01209125339585
202922,0,155.81025024303713
2450030,1,182.32827428194344
887791,1,170.59173910442402
1494773,0,177.91815582632879
1006085,1,193.31080034325626
477337,0,153.32121136458912
1167821,0,897.6064334515944
1987318,1,249.7451284776417
1992369,0,
1512267,0,300.14921743445234
827858,1,171.2761388838585
3293973,1,141.62215663307126
3886736,0,
1290773,1,
3688170,0,197.69564375703868
3435466,1,
3769761,1,176.50638999450928
3373766,0,
1102514,1,865.7702903985056
1945573,1,
1625566,1,162.2039209219979
1693338,1,
1261083,0,
2191579,1,172.3470508121988
3136896,1,166.87854870120898
961039,1,166.51301147787728
3527790,1,167.9030754364916
1237268,1,179.9604735976072
470774,1,175.76460147092837
