sample_id,z,y
3707174,1,36.499788257605736
2894313,1,36.7014243717331
1906609,0,
3748055,0,
1778661,0,
2230299,0,
1251440,0,
3851555,1,37.17733928311317
528253,1,36.34441898238837
2406493,0,37.13936863057037
2574759,1,
3250853,1,36.98934045801433
2018125,0,38.18651898057138
2636834,1,36.967519873744735
939482,0,
1847395,1,36.684632354911756
1258867,0,37.7626318896563
2683306,0,
421150,1,36.72340223648555
1479711,1,
2002442,0,37.6182641629258
1269145,0,38.100701256104685
586045,0,
1241046,1,36.86998538314645
2165105,1,37.064984608707874
963039,1,36.796004736733764
442252,1,36.51103558912435
865869,1,36.4834442933641
2692733,0,
330392,0,37.514326422427715
3078437,0,37.591993174363814
3405184,0,
1956145,0,38.45582827441526
3499968,1,37.09859434792277
2417736,0,
1872851,0,
1780481,0,
3099096,0,
2539027,1,36.88394820770034
1030184,0,
2158168,1,
1941827,1,37.233199799393816
487021,1,37.038240166633905
1706153,1,
1067003,1,
1887976,0,
309865,1,
1589003,0,37.36066183263201
2249944,0,37.15755822835293
1676296,1,37.04896231859307
3507590,0,37.82763420830363
1165251,1,
315466,0,37.688016758908105
1635148,0,
1696852,0,38.0224152471301
2262575,0,
2894958,1,
3025368,1,36.62627162862236
3650840,0,
1362562,0,38.16958308206528
3843461,0,37.6720413040059
3116565,1,36.94605934087268
2933102,0,
1735905,0,37.75056968051567
2206759,0,38.190120772650836
1147950,0,
1230486,0,37.395232321466594
1559531,0,37.0005603288147
2660586,0,37.6543754993541
1488384,1,
1355511,1,36.449127225257364
1700699,0,38.77664512778433
2210300,0,
297142,1,36.335600112554424
2418137,1,
598510,0,
904842,1,37.03588658259559
291001,1,37.04879218915111
1031143,1,
2925067,0,
1991296,0,38.40416542626667
3880449,0,37.705249706910706
1002202,0,
2722252,0,38.30778739615117
2914817,0,
2548836,0,
3835689,1,36.921608651043165
2991443,0,37.96528622343622
1560665,1,36.93081574206381
3848190,1,37.162062332466405
1728741,0,
1519445,1,37.234398895343276
3323616,0,38.12120435712177
3270078,1,36.46486846160874
2493632,1,36.61332699097679
493219,1,36.77652824290221
1629597,0,37.34347845522597
2448135,1,
3696986,1,
2822829,1,36.43961228922179
2442520,0,37.81875979468413
3507470,1,37.3705981972973
2631607,1,36.98812412856394
3890632,0,37.26456637647121
2017652,0,37.65114345096986
3104133,1,
1045688,1,37.16608348116616
380362,1,36.38794145815998
924482,0,37.74083681547044
1945645,0,
1757007,0,36.648870418851885
1748370,0,37.631900365721584
3472324,1,
704937,1,37.265059166638515
1311035,0,37.61776295791721
611999,0,
489320,1,35.91170649038124
1052124,0,37.53639992178196
1194044,1,36.60004108876615
1357995,1,37.22667633720325
2053572,1,36.88465811308696
2932020,1,
516715,1,37.2714374822353
3746056,1,36.72309964984069
441535,0,37.76817146972242
1889161,0,37.29036519560352
2150199,0,37.59669642844251
2933418,0,37.84731655364636
3954287,1,
1632200,0,37.71644727895125
1505203,1,36.953621105149935
3300592,0,38.57163469424671
1878653,1,36.76341224177501
2159280,1,37.09314975751625
1612932,1,37.20867600624074
2221747,1,
2792758,1,36.56550249736121
3418901,1,
809479,0,37.869944351527366
3881361,1,36.94621687923627
535328,0,38.04105685345376
322440,0,38.011260604474245
2892095,1,37.08589766463063
2160792,1,37.82008353036562
2172961,0,38.01505926564062
3291229,0,37.69317033068341
3448153,1,
1637937,1,
644143,0,
1064731,1,37.22216074941871
713080,1,37.20914777746932
286402,1,
3303103,1,37.28887528448936
2744692,1,36.445857312705215
3936913,1,
249164,0,37.565684521306345
2840146,0,36.944933848010024
2468040,1,
423864,0,
1858542,1,36.631255947908876
465153,0,37.72320907028176
3874941,1,36.361907602563186
3442645,1,
1870544,0,38.06625116738412
458984,0,38.16607877774591
2588411,1,36.77232242292062
2544404,1,
3946630,0,
3658252,0,37.07779125361143
3317055,1,37.02031265383425
2426134,0,37.7435094539368
422370,1,36.369001665014856
3711963,0,37.6282660619407
715400,1,36.32612053242858
1721133,0,
3268250,0,38.49293746709372
2659219,0,37.9281574025853
3008108,0,
204382,0,37.66189557120072
1947495,0,38.57656307924987
252860,1,35.992888211704965
1966710,0,37.741078461577594
2892583,1,36.55599949764404
2041136,1,36.28741351422635
286585,0,37.231389896310326
3709184,1,
1754049,0,
2601120,0,37.51498675047933
994882,1,
3868919,1,36.549740735985445
3738424,0,
314054,0,37.15496970027992
2965856,0,38.14784832189039
3848975,1,37.071509827303025
3151099,1,36.36326585885662
2886363,0,37.91997473569499
3896308,1,36.77183018373618
844971,0,37.66264628347588
395000,1,36.46560879985385
1726603,1,36.95127143982072
2896021,1,36.97181494227148
2819150,1,36.53582149406006
2761816,1,36.573778129372954
1411520,0,
2662473,0,37.698633251725326
3445549,1,
3481014,1,
2407781,1,36.15664018564272
1126969,0,
429161,0,37.642976185228214
1307992,0,37.187030316148
1725180,1,36.982290630259556
754683,0,
2666021,1,36.763299037376484
686425,1,
3333578,0,38.057175672072205
1068046,0,
3208828,0,37.51214528483408
2881637,1,
2127917,1,36.50499344430535
1576860,1,
2827639,0,38.124360541712974
2221875,1,
1156745,0,
3321184,1,37.014354599342624
1238875,1,36.62202505248648
3438983,1,
3227346,1,36.2596358747208
824881,1,
975474,0,37.825480128831735
2601353,0,37.908619461374435
3658929,0,37.504026333707074
686983,1,
3683039,1,36.98731458007277
2894355,1,35.99038256655447
3058188,0,37.71422199158452
1354904,1,37.3838511976992
1442930,0,37.548210547167294
1051896,0,37.87809109459659
2834678,0,37.10925425765267
3764526,1,36.4249486728314
2923065,0,
423823,1,36.1485598454679
2937200,0,
2508623,0,38.228012510699564
1399486,0,
2237248,0,
3514728,1,36.114752246404024
2709777,0,
2572097,1,37.24370751605149
1984514,1,
3508655,1,
1598489,1,36.38960282368435
2634912,1,
2629859,0,
844170,1,36.307163220125915
409878,0,38.2118923323283
997463,0,
575868,0,37.69584142292791
2130309,1,36.94045740330147
3883190,0,38.02063512526418
3723634,1,
1765233,1,36.94921962632394
1621456,0,37.25302975993789
1847713,0,
3209232,1,36.79107859386551
1727743,1,
3775916,1,37.29757552617639
1071110,0,37.29524557328048
2282641,0,36.79162091767751
3241532,1,36.97393561752392
1774079,0,38.286584900800044
1648691,1,
