sample_id,z,y
3071490,0,
1028173,1,-160.15021661769737
2843311,1,-149.22516657292647
2934940,1,-166.59586146625938
3764864,0,-121.8878875511743
3750794,0,-125.4514231769391
235793,1,76.86814716533065
3330746,0,-648.1196069636256
263651,0,-144.5673554408043
3659025,0,-638.8786170678432
1296439,0,-107.56930550102398
1467204,0,-176.1954873729387
830814,0,-317.642280387797
873475,1,-640.3143553411153
2985225,0,-163.16221599318078
1223173,0,-180.57560429189564
3265217,0,-207.0248970582582
1894400,1,84.54823638122775
1264445,1,-140.72354580640604
2277556,0,
278274,0,-47.96468870685392
3066929,0,
2923787,0,-105.96246871907506
734446,0,-92.82825248595272
2663128,0,-188.11031490542143
1234284,1,-140.4825152663278
1810853,1,-385.665848865516
218716,0,-133.01307922502227
1162360,1,147.94953218221545
2157322,1,-125.28666427989951
3166841,1,-120.85468685372645
1542056,0,-245.73941429114504
1986415,0,-87.37969085941238
609714,0,-240.38501454539406
2853929,1,-165.77085731546796
3794443,0,-112.34336618264763
2535151,0,-84.21097742641892
1250395,1,-182.88725865242137
3768568,1,-237.422290234875
3875432,0,-132.01813307023866
3959661,1,-216.66132325106298
615411,0,-656.6192775287948
2707151,0,-607.6912942622569
3180438,0,
1400172,0,-174.6361270669857
555372,0,-94.84581746304961
3386419,0,-103.91582730464876
2722896,0,-188.11872316494743
2847033,1,152.35775174757165
646473,0,-640.4874715984877
759249,1,-154.35176184943322
2624328,0,
3442067,1,-237.3959228795186
3682912,1,-160.51740294473714
503140,0,-78.73886834205636
2926558,1,-179.3516537389448
3332966,1,-150.23297612223604
3422687,0,-83.45324438071404
2828018,0,-93.2315134376113
240759,0,-162.6407043665701
851341,0,-106.49621797743042
2886170,1,-651.7260987176815
2642498,1,-651.0630886852234
462861,1,-113.87999300716942
498041,0,-174.4669054714498
1294290,0,-103.87556913326034
3744542,1,-130.05435256281734
3002197,0,-131.2529123971398
2526577,0,-648.5786914836208
2869807,0,-160.85191391593202
1221587,1,-119.70095180227467
2019613,1,-633.5791274333052
3653034,0,-182.3895893938255
2918972,0,-100.39084736625665
2870259,1,-163.67026228586352
3349823,1,-125.67287376845505
841964,0,
1443262,1,-144.4104296639222
1483947,1,-166.34021552909041
1743391,0,-91.54985092165018
1580699,0,-83.21468925014493
2117816,0,-116.03950558557248
318085,0,-137.19839466917273
643385,0,
1071786,0,90.23592706084553
2583358,1,-629.0041937842885
3225970,0,-125.85849807927626
3117176,1,-130.46511864941715
3786205,1,-181.7840889258272
1997269,0,-181.04302794944684
1413925,0,-117.20083622942289
642884,0,-60.2089770950129
822544,0,-113.29094630764939
3099301,0,-198.46572440282605
452162,1,-112.12132405202097
1160944,0,185.57677552994733
2875147,0,-106.92169328648005
1037944,1,-209.202521720959
730698,1,-165.89511827549217
2576235,0,-1.4561449784826452
3279900,1,-181.07096575343974
421199,1,-176.7197354229068
626852,0,-206.75008794061188
1620607,0,-93.81436403645677
314164,0,-281.9481046561859
624540,0,-187.89762649233958
1220896,0,-299.22174156698213
2919877,0,-101.52334075310651
1730602,0,-676.163240554462
2977872,0,-79.91207326613272
1973305,1,-278.60288722602905
2536014,0,-170.94810277460854
1293432,1,-641.3799663341305
3062503,1,-595.5923553954658
2746594,1,-107.3629914189948
1226261,0,-168.61996541423662
2697061,1,-656.8230630731704
1748824,1,-132.98152068861307
2163520,0,-157.46208151987076
1045871,1,354.73391416345345
466618,1,-202.20884587758601
621815,0,-63.68226751882962
3019617,1,-133.47600769286478
3903861,1,-173.18032731417617
1014813,0,
2700757,1,-68.44755278949734
1025472,1,-163.7818108519387
2580096,1,-181.64851157396234
527940,0,-181.62542314560443
3255831,1,-183.05058677434516
1625457,1,-175.50343088227572
2245182,1,-158.77975674951986
1600650,0,-57.67339096070862
3473685,0,-81.73590626050567
3860991,0,
523193,0,-187.96054874472688
1323830,1,-152.3992935153179
1106491,1,26.03051187614627
3171912,0,
2118356,0,49.90244083994106
1907046,1,80.11564967192022
3410354,0,-113.47152035010504
609831,0,-64.25694686348935
1065560,0,151.42001554025666
1948569,0,-127.06586704348636
1212717,0,-65.82772519286809
2933929,1,-157.82855708513873
449678,1,-113.03641624155365
713755,0,-156.26871939819037
2528262,1,-227.8909102083156
3450368,0,-646.5402306477955
1899529,1,137.44282856615015
860415,0,
2279183,1,-56.640014817365426
3840851,0,-109.98390453530845
3519495,1,-179.93534987877564
1649458,0,-643.5582303357284
1467075,1,-119.82219320689475
2063144,1,-196.77594352716267
915090,0,-68.10128322530701
203912,1,-217.7775284401487
3388866,0,-113.08363106334895
2041044,0,
