sample_id,z,y
3521217,0,-58.012570140251675
3887482,0,-128.9245361919329
1220934,0,-157.11440777021824
2419377,1,-143.38284194142477
1772943,0,-28.97359755413626
2032192,1,-138.74941564667128
1660332,0,-70.22726199329945
428959,0,-68.04049629567463
2699409,1,-130.90401030288788
2917317,0,-61.35557695490948
3291369,0,402.3316544127456
3420745,0,-22.872477378691798
3538607,0,-115.92465984359686
2002431,0,-98.0858000962524
602424,0,-160.36513637981045
657103,0,-133.98556883516747
3285217,0,-89.35655656599373
880752,0,-100.08650862736552
559543,0,-93.06737079925159
2578098,0,-133.11174034889055
308037,0,
382042,0,
2942846,0,-144.87303605939914
3248849,0,-64.59792706006773
3779897,0,-104.42642735311398
395242,0,
1693905,0,-23.013512239714434
600111,0,
1600921,0,-117.47033654835703
564498,1,-106.60658135318631
935813,0,
2735257,1,-113.08325487908229
609804,0,-113.84796739893896
226810,0,
2510361,0,-45.77975799487319
1414900,0,-109.61742507964671
2468708,0,-117.90037067283558
1447806,0,
3716882,0,
843387,0,-77.06249396884257
362067,0,-125.38698952948282
567555,0,-115.13142756011577
3035980,0,
1100851,1,
363773,0,
2543002,0,-26.181999075419373
557318,0,-40.13230558103456
1661635,0,-93.60097305300572
962032,0,-88.641966450901
2541892,0,
3932679,0,-73.7624574478896
3297834,1,-115.20778209145578
1696451,0,-74.09802211572733
1522589,0,-90.70296926655048
2828430,1,-164.03902393750238
1009014,0,-129.09060265423392
268363,0,-119.62689200211037
345032,0,-117.33769312636575
1877638,1,76.16456435226873
3715063,0,-93.93828855104604
2423530,0,
3283163,0,
1030513,0,
589416,0,-75.36536575090791
1713625,0,-111.38276139034086
486480,0,-38.33056740085432
1616559,1,
2485856,0,-75.07702355088023
1289875,0,415.36326600995045
379284,0,
707647,0,
701752,0,-91.86569119891799
2784392,0,-89.74543868391984
2458036,1,-133.66233186697997
1014089,0,-129.7063142957829
3358829,0,
3488321,0,
1071269,1,512.9551176127019
2034452,0,
901309,1,-146.24505491891628
559438,0,-84.58462654044044
2670366,0,-71.16211420001399
2262940,1,384.2016337538161
2650284,0,-82.09671086391457
1830575,1,
3741874,0,-105.3265082407748
1488105,0,-114.75472352297209
3231798,0,-139.04360497989938
3949051,0,-124.45362532651981
2630260,0,
1222951,0,-120.22002610497559
3312118,0,-78.15351398848185
2024718,0,
1391700,0,-105.41094678890222
3960967,0,-104.14381137451073
1941593,0,-116.64309714379232
1720250,0,-124.95511806022469
3499756,0,-125.09717631056428
1473645,1,-173.69659860876155
3864659,0,-64.58347701024181
2986044,0,
2280140,0,-112.62847066618177
3728856,0,
733074,0,-81.39352344906919
1511073,0,-101.75756979073475
3247901,0,-93.94720727123627
2807324,0,-101.50636328200505
3414194,0,-107.94177251966912
1147372,0,51.475289262793616
2280764,1,344.1100561116386
1410576,0,
1475842,0,-134.24636717875342
3845315,0,
3510559,0,-18.17181290201069
3074263,0,-98.84961794795443
1759863,0,
1778054,0,-136.07435752454853
401254,0,
3000694,0,-95.23231054280434
3884444,0,-82.47959422779279
3284490,0,-114.04501389009005
630774,0,-141.8308248411187
440351,0,
2828353,0,-119.72446167928008
2757087,0,-106.51965063235123
3692024,0,-91.62421218032196
359821,0,-121.77195598852343
3831851,1,-132.13540227150125
3348171,0,-57.7162033617686
2783445,0,-129.56825071345824
1540129,1,-138.57713181362584
3215647,0,-97.89569820049697
2608162,0,
3438772,0,
2235385,0,-92.39897506196884
484771,0,
594637,0,
261884,0,-129.2564738131724
2281087,0,430.57317482329927
1974568,0,
1469536,1,
3245843,0,-57.092209964178444
1696082,0,-99.53547752309291
2656590,0,-83.1822570264995
506700,0,
2558319,1,-181.7889614636238
3400411,0,-155.43372339861645
3348115,0,
3160124,0,
2823864,0,-122.4526087252763
3908516,0,
1840247,1,18.90490840039739
3008587,1,-182.3083577727049
904634,1,-156.42502224528232
3516253,0,
1893080,1,18.28834924782655
1194985,0,
3058820,0,-67.33869889296793
2976154,0,-87.70856848336771
3344612,0,-86.12770580067185
1934803,0,
903862,0,
1807991,0,57.27298928085613
3178245,0,-126.44836971880616
1354277,1,-139.76235368646968
656592,0,
3207555,0,
3790449,0,-30.12262372868297
1380047,1,-168.68938956644493
3199777,0,-108.95049319224589
3115909,0,
639523,0,-110.25215434943384
1069270,0,88.28965467816845
3265343,0,-90.68746688351564
2190754,0,-92.53745292885853
3804294,0,-152.48035903810603
3144703,0,
1481242,0,-143.45261876438997
1161372,1,
2878934,0,-86.36890394568238
393280,0,
3385002,0,-66.63617162483143
3185488,0,-85.89297796952388
3904445,0,-113.44481689959771
1996220,0,-153.52520381125328
1614815,0,-74.74551533893735
3868688,1,-114.16799273825201
1235739,0,-97.68545868039304
2927385,0,-129.08698864579023
3354460,0,-38.21938268776905
3417541,0,-139.30937554696422
1965408,0,
3848198,0,-102.9217704374056
2895017,0,
1171302,1,71.40246615178872
3859774,0,-103.11108465352412
1851008,0,72.467376542925
3251165,0,-78.2408521791559
1109133,1,536.3845120092984
528295,0,-75.98479574637383
2923325,0,-129.0731127757947
637261,0,-116.34837986320649
2104663,0,-106.93445018910295
821214,1,-99.65456311887286
2169532,1,-118.09381945427639
470201,0,
3872564,0,-146.95592233043612
284669,0,
1899331,1,35.307405159245526
220697,0,-94.5665758695615
2460295,0,-127.95115806363066
2262481,0,-53.16379310371721
1903423,0,57.715459211657674
300887,1,-144.88749843703482
2232434,1,-140.73346059455108
3914066,0,-99.45254281925725
1267470,0,-114.58577972590861
3327591,0,-58.2017987316402
474332,0,-118.41117151283196
1225842,0,
3862835,1,-134.8148732055586
3506379,0,
2685935,0,-110.65683909136554
2696251,0,-126.16475103520538
3496342,1,-156.5121567928849
3492478,0,-103.81194947464597
381155,0,
3283662,0,
3884029,0,-101.34197010795555
368187,0,-115.83605014573777
3023281,0,
3216973,1,
502427,0,-80.46246501436427
3939028,0,-135.1010276918506
2841325,0,
1285394,0,-103.9077224919189
2049452,0,
632708,0,-135.52868812998423
1995866,0,-70.86192332961653
1417631,0,-138.63967656808853
2661471,0,-102.64338986769842
819199,0,-55.539364108448346
363630,0,
829779,0,
1400509,0,-128.43155297871144
2913496,0,
2667732,0,
2399241,0,
1624628,0,
389043,0,-77.50331983227395
3304404,0,-31.8842792724927
2616189,0,384.39203176476894
1339689,0,-113.75064021248174
1045963,0,96.7508951044531
2260645,0,-38.62595008176751
2852017,0,-78.80030080147625
1599661,1,-150.03801795116124
876929,1,-156.31727812771365
366173,0,
479658,0,-95.97074513513898
250678,0,
313326,0,-131.032870907352
1387141,0,-143.40526703059604
1281584,0,-123.41763016151363
3906017,0,-92.19147923104555
3187913,0,-114.00497409199936
382403,1,555.7493829399033
1855845,1,36.08770604512777
3720619,1,-121.15622992311768
1555835,0,-97.17918757907626
3422416,0,-156.06834046206518
3426145,1,-161.97422848926809
2974641,1,-149.3910384760763
3296774,0,
1407791,0,-89.5962197687766
2837068,0,-60.42250591930926
316968,0,-120.1249366068766
2686984,1,-179.03792830891226
3489313,0,
2980191,0,433.0503242010952
1071562,0,705.2191170534842
1941002,0,
3872905,0,-105.36504041892252
