sample_id,z,y
355448,0,-2.2803275770518336
2946226,0,-1.7496515338544751
1090584,0,721.4247933343314
3103503,1,-0.6194891563044326
1365100,1,-1.8504273547904042
1858315,0,721.1576116666049
813938,0,
2219407,0,-2.2484565831163996
2690168,0,-1.4278696425515474
2562219,0,-1.5295295792215777
1199506,1,
372305,1,
2599971,1,
2012418,0,-3.7732293700408657
2058233,0,-1.5404762570924195
2419386,0,-1.6386197355919179
973167,1,-1.2847388928732038
284780,0,-1.6013170136903652
3711613,1,-1.2102747127479245
3831712,1,-0.5904260800099449
2441203,0,-1.2336586410484196
2943832,0,-1.9625270851253906
1096040,1,723.2555648070472
1098760,0,720.896915469227
1325502,1,0.17865741993646878
3247300,1,
3304966,1,-0.6296748695674026
1628448,1,-1.3405072995313854
2931409,0,-3.658965207751361
3300795,1,
2507119,0,-2.034504783347934
3387856,0,-1.1560306553383826
1522049,1,-0.9803328422785392
2239944,1,-1.0835755578244906
1210173,1,
732637,1,-0.7803144675258689
3262861,0,-4.90561845875718
3541314,1,
632754,1,
2937970,0,-2.433766547926562
811080,1,
248512,1,
2964877,0,-1.8195829226491858
517974,1,-1.5809776621537264
3140165,1,
3949704,0,-1.4803984263615415
3465357,0,-1.5602039731137187
1273178,0,-1.9911473995948423
2433559,0,-1.1595973920209284
2203574,0,-3.0083613343142934
1636519,0,-2.1030227589712376
1284495,1,
2176474,1,-1.6208448113047775
2151603,0,-1.000260459393609
1245896,0,-1.3833718641356103
1232021,1,
2870771,0,-2.635999845744485
1672830,0,
2488527,1,
2257771,0,-1.667510156958308
3009980,1,-0.574313370574295
462656,1,
204631,1,
3741784,0,-1.2536582055747723
1413217,1,
422155,1,
648050,1,0.21222132794730553
2490356,0,-3.5580477379964552
2456122,1,
2935512,0,-1.0066920947744538
1600828,0,-2.0113754207416865
3232110,1,
215565,1,-0.805356677189576
3956295,0,
883226,0,-1.4292778653034914
2140697,1,
3921450,0,-1.7037742714404691
1021350,0,-1.5303892653382964
998130,0,-1.2987284006434408
419729,0,-1.9708787420939147
1786014,0,-3.1745368732810606
2166698,1,
2125070,1,
245369,1,
2738283,0,-1.6849546526754848
2455219,0,-2.1036570795705427
245437,0,-2.206444090812483
3016007,0,-1.5923012476881138
858751,1,-0.7330881456591636
1834033,0,721.5914024657212
2258397,1,
1899107,1,721.8941940073352
2756945,0,-2.550157526000203
485375,0,721.5316484658598
359547,1,-0.900977936480953
3231802,0,-1.8501409724265048
3123842,0,-1.807244416490619
1573958,0,-1.6341705256147816
1888032,1,
2692024,1,-0.887641866874706
3921740,1,
3458979,0,-6.3899843913507395
2820484,0,-1.8956027962863056
3024917,1,
2125956,1,-1.17639318976408
3410885,1,-0.7520158532420624
1408374,0,719.7596434165448
897837,1,-0.4055335077318826
983490,1,
933304,1,-1.0692803610553965
3379425,1,-1.755280630969113
1682668,0,
1470629,0,-1.7680589194784069
1163837,0,719.8965315498958
3025369,0,-1.7744135258973017
1768773,0,-4.588984202290675
280080,1,
3006908,1,
2038320,1,-0.8382829391629092
3539890,0,-0.9308576005881224
2579899,0,-2.285196614618732
1982882,1,
2038253,0,-2.2249840465503126
224613,0,-0.5505512494506537
2703434,0,-1.3785299054842868
2053383,0,-1.283486104458261
1571670,0,1.6069412461290753
3450933,0,-1.4809953883860236
3089776,0,-2.310605221280149
1092143,0,720.9314100702388
802738,0,-2.3519677922110485
246117,0,-1.207358491082406
2226917,1,
711436,0,-1.453731161898609
860509,1,-0.8833755689766072
965103,1,-1.0389004628787328
2744069,0,-1.5660933734238949
227352,1,
2921642,1,722.3861688801677
1685707,1,
2274391,1,
2865841,1,
2203693,1,
883844,1,-0.9438036662549154
866737,1,
238814,0,-2.36417801000071
3718299,1,-1.363399274441022
2780546,0,-0.7567301139446516
2915988,0,-2.2503138549862234
1792865,0,-1.7071415311765987
2678584,0,2.171839894566961
887722,0,-2.154934670295197
582377,0,-2.5847451715536787
1500826,0,-1.4219850164068286
1837207,0,722.3792505482331
2507846,0,-1.4493324261019076
1726812,0,-2.362771407825571
3532878,0,-2.2528651328416776
298081,0,-1.8830262611451982
261557,1,
3858320,0,-4.451861704423961
1586055,1,
2863951,0,-2.2221071841326956
1446960,0,-2.2677808562397312
2865050,0,-1.2105487750784865
2539398,1,-0.7772221665462211
294459,1,-1.47319043682639
1153737,0,721.4056074854622
2491002,0,-2.8411355518807158
2603476,0,-0.85395726815245
1293509,1,-1.146749893054131
3101181,1,
3470513,1,-0.9755395440895848
1868433,0,721.0239953502204
