sample_id,z,y
1918222,1,
1333327,1,
2557537,1,-238.0424587592788
684419,1,-223.98488576777308
3023845,1,
541777,0,
2776320,0,-253.04182773040932
3810495,0,
1561230,1,-255.02573210852586
670102,1,
429708,1,
367455,0,
3784517,1,-233.147113921734
2829367,1,-179.5506413805215
1563088,0,-206.5065128480059
299546,0,-228.21958088685096
2035027,0,-219.17023062190339
1065551,0,-384.8544624378818
440596,0,-216.24772555570064
1526445,1,-222.14538377004382
850768,0,-253.35510135418846
3723708,1,
1808735,1,-366.78170788555485
3106739,1,-251.7460189930607
3378258,1,
292381,0,
527596,1,
642679,0,
2824410,1,-231.67716553503536
3410267,1,-219.30231302920706
829712,0,
1575344,1,-263.6627138161798
492366,0,-238.20181018352545
2490796,1,-228.793104464953
1545841,1,
2720053,1,-199.74736987749085
1301018,1,-253.40273817200543
1584899,1,-202.65381900353975
724314,0,-238.1001186636849
3116656,0,-204.4696346242913
1463521,1,-181.76024379723825
2727744,1,
3060494,1,-220.4309406329091
2549717,1,-201.01926636813644
1627863,0,-205.67528167056312
3402308,1,-235.03670630294897
1672453,1,-208.70186220121687
3069552,1,-221.02568093148366
1947883,0,
1170408,0,
2925268,0,-211.4901147854127
1416479,1,
1355995,1,-211.38505563818143
2059596,1,-210.09146823507703
2765756,1,-210.64006376993854
2611386,0,
1632044,0,-279.8990930220683
2933739,1,-208.70445730943544
2765047,1,-229.38086708357457
1038180,0,
269045,1,-200.7535700467602
1885574,0,
2268083,0,-250.61659748707984
1220288,0,-221.46634095668114
3339163,1,-248.71973796208542
2268066,1,-221.70955910533667
733910,0,
371964,0,-191.13056994108842
225025,1,-228.8411265454741
3718203,0,
1374387,1,-232.06599340759715
3676647,0,-201.8267475730963
1267722,1,-244.30424827935963
1955779,1,
3358895,1,-246.00305912613075
1830273,0,
3437840,1,-225.33970222726097
392798,0,
2417837,0,
606952,1,-250.00964147960545
2504247,1,
465929,0,-222.9752015381713
3751935,0,
3949443,0,-207.2957869476174
3719500,1,-235.19109141956096
3875194,0,-230.25469174959082
747353,0,-205.6832372359231
2866854,1,-219.11638506690775
1270949,0,
1625538,1,
1710939,1,
2123328,0,-204.52300959320172
2136298,1,
1471743,1,
1225591,1,-211.62406794172122
1067309,0,-360.22822146502233
3418572,1,-239.06860143432885
3030590,0,-218.16633936520546
3507681,0,-231.33368331813836
2811484,1,-213.12412437888557
2400560,1,-270.2516509505492
501097,1,
419129,1,
1483308,1,-209.87642664146094
3791478,1,
438687,1,
2993762,1,-209.72982347994002
2694355,0,-224.04774650246458
586819,1,-204.9949384650609
2859282,1,-172.74203574873493
1819816,1,-394.1374902396426
1609709,0,-173.19411418178615
2883890,0,
3728678,1,
3063418,0,
2807784,1,
2817731,0,-201.03807027279043
2800957,1,-222.21117299201657
1257867,0,-196.77266477102103
866560,0,
1915020,0,-364.18013155974637
2697920,1,-219.1145521283452
566060,1,-243.95305615115876
697655,1,
3075228,0,
3961084,1,-201.84579268534895
3163001,1,
1447734,0,-222.52784294672077
1860704,1,
3932478,0,-223.2442099649616
588929,0,-207.562479584179
1961897,0,-290.4618029018021
1489591,0,-194.90716681220687
2397603,1,-205.33284927035027
1711428,0,-210.1214672451658
3132822,1,
1677946,0,-226.81698733316185
926135,1,
3879428,1,-208.37467408370992
2441466,0,-252.736238888257
688292,1,-218.3286665666634
1849501,0,
1304416,1,-241.27987829888812
2537202,1,-192.12150933622962
969421,0,-250.06737360022782
1789870,0,-208.33615456432074
1767846,0,
1371417,1,-232.12499050584682
3028174,0,-187.50211696616816
2714794,1,-231.74356284327405
1538221,1,-189.10892953102976
1665086,0,
3440872,1,-232.33459119893757
2254992,1,
1027916,1,-204.7122269804371
3508244,0,-214.81726016683396
2159353,1,-201.15496667862493
2392122,1,-207.55297612468246
1108813,0,-383.1052518112175
2658313,1,-221.70141887013077
3776416,0,-204.3822006646905
2575575,0,-209.91011583594334
321852,1,-220.8859035115185
248182,0,-235.33176792017412
1577457,1,-188.97406762506947
812177,1,-232.85813882440414
357551,0,-222.69860357343686
2008507,1,-177.1798002695052
978159,0,
2746013,1,
3876045,1,-219.9692395670347
3311873,0,-268.75668866065286
3732444,0,-244.16720393479278
386778,1,-201.5731109942142
3460112,1,-179.4808024884377
265313,1,-213.69699584647344
695265,1,-236.31694956694025
2684244,1,-232.98922482658068
1061806,1,-387.8861963303374
1222204,0,-226.27089989883424
272823,1,-215.51848595289124
1864713,1,
1124289,1,-361.4900015102664
1007931,0,-234.34025494583045
2561811,1,-279.4392382612941
2946226,0,-208.49294210659832
814686,1,-206.60531872912517
3246487,1,-237.83080443912385
532914,1,
3353504,1,
872040,0,
404076,1,-282.90183481093607
3257926,1,-250.32893348929466
