sample_id,y0,y1
1918222,-384.2424925638437,-380.59720116174003
1333327,-207.94932310534037,-204.30403170323663
2557537,-241.68775016138252,-238.0424587592788
684419,-227.63017716987682,-223.98488576777308
3023845,-228.9034590607039,-225.25816765860017
541777,-245.91415278739402,-242.26886138529028
2776320,-253.04182773040932,-249.3965363283056
3810495,-221.3449297845633,-217.69963838245957
1561230,-258.6710235106296,-255.02573210852586
670102,-205.42369602166258,-201.77840461955884
429708,-230.41318140981966,-226.76789000771592
367455,-245.09541255470643,-241.4501211526027
3784517,-236.79240532383778,-233.147113921734
2829367,-183.19593278262525,-179.5506413805215
1563088,-206.5065128480059,-202.86122144590217
299546,-228.21958088685096,-224.57428948474723
2035027,-219.17023062190339,-215.52493921979965
1065551,-384.8544624378818,-381.2091710357781
440596,-216.24772555570064,-212.6024341535969
1526445,-225.79067517214756,-222.14538377004382
850768,-253.35510135418846,-249.70980995208473
3723708,-211.82754894936673,-208.182257547263
1808735,-370.42699928765865,-366.78170788555485
3106739,-255.39131039516442,-251.7460189930607
3378258,-235.16149980896205,-231.5162084068583
292381,-200.97616997082787,-197.33087856872413
527596,-227.85594446496452,-224.21065306286079
642679,-218.89410052870844,-215.2488091266047
2824410,-235.3224569371391,-231.67716553503536
3410267,-222.9476044313108,-219.30231302920706
829712,-270.9981622022298,-267.3528708001261
1575344,-267.30800521828354,-263.6627138161798
492366,-238.20181018352545,-234.55651878142172
2490796,-232.43839586705673,-228.793104464953
1545841,-211.88668123290878,-208.24138983080505
2720053,-203.3926612795946,-199.74736987749085
1301018,-257.0480295741092,-253.40273817200543
1584899,-206.2991104056435,-202.65381900353975
724314,-238.1001186636849,-234.45482726158116
3116656,-204.4696346242913,-200.82434322218757
1463521,-185.40553519934198,-181.76024379723825
2727744,-228.46723511678138,-224.82194371467764
3060494,-224.07623203501285,-220.4309406329091
2549717,-204.6645577702402,-201.01926636813644
1627863,-205.67528167056312,-202.0299902684594
3402308,-238.68199770505268,-235.03670630294897
1672453,-212.34715360332063,-208.70186220121687
3069552,-224.6709723335874,-221.02568093148366
1947883,-272.1668685013106,-268.52157709920687
1170408,-393.77096291180914,-390.1256715097054
2925268,-211.4901147854127,-207.84482338330895
1416479,-208.75408483003687,-205.10879342793314
1355995,-215.03034704028516,-211.38505563818143
2059596,-213.73675963718077,-210.09146823507703
2765756,-214.28535517204227,-210.64006376993854
2611386,-236.1077160719046,-232.46242466980087
1632044,-279.8990930220683,-276.2538016199646
2933739,-212.34974871153918,-208.70445730943544
2765047,-233.0261584856783,-229.38086708357457
1038180,-261.65722765676645,-258.0119362546627
269045,-204.39886144886393,-200.7535700467602
1885574,-358.37449094852775,-354.72919954642396
2268083,-250.61659748707984,-246.97130608497616
1220288,-221.46634095668114,-217.8210495545774
3339163,-252.3650293641891,-248.71973796208542
2268066,-225.3548505074404,-221.70955910533667
733910,-211.53570169074024,-207.8904102886365
371964,-191.13056994108842,-187.4852785389847
225025,-232.48641794757785,-228.8411265454741
3718203,-210.62808524813948,-206.98279384603575
1374387,-235.71128480970089,-232.06599340759715
3676647,-201.8267475730963,-198.18145617099256
1267722,-247.94953968146336,-244.30424827935963
1955779,-216.6727667423318,-213.02747534022802
3358895,-249.6483505282345,-246.00305912613075
1830273,-359.9386998490228,-356.29340844691905
3437840,-228.9849936293647,-225.33970222726097
392798,-207.2698237392286,-203.62453233712486
2417837,-245.0355039194933,-241.39021251738956
606952,-253.6549328817092,-250.00964147960545
2504247,-248.04216791278657,-244.39687651068283
465929,-222.9752015381713,-219.32991013606755
3751935,-198.13580080831775,-194.49050940621402
3949443,-207.2957869476174,-203.65049554551365
