sample_id,z,y
2275788,1,-21.07170353289532
2836576,0,
3730439,0,
382858,0,-21.846235220664425
3099382,0,
761367,1,-23.082441652898513
3937645,0,11.47774155694424
2193551,1,-22.040149484124367
1522019,0,
2800963,1,-23.91375391494442
2655213,1,-18.63187727745542
3876197,0,
3705846,0,
2804379,1,-22.924664910173227
3948887,1,-22.902488220479178
3406634,1,-19.932979119568166
1791517,1,-20.28327750388929
1362712,0,-19.340106455380134
2904432,0,-7.287173509743883
1467941,1,-21.383171443773502
2795477,0,-21.032531432093847
2967139,1,-23.882020179972127
713835,1,-22.972764767536063
3452055,1,-21.555198330551757
582903,0,-18.977770072804596
601262,1,-22.045248180642403
2663274,0,
753176,0,
2987832,1,-21.007108064060883
1150807,1,-21.90504910489536
3878257,1,-21.381921188928054
385670,0,
2126857,1,-22.31803139554684
3419641,0,
3437271,1,-76.8774645857658
3712560,0,
1549922,0,
817758,1,-22.482031740518828
2489072,1,-21.94313600444789
550257,0,-20.079532701710423
929765,0,
3382084,1,-24.205609355928214
3207201,1,-75.26940720652121
3300183,1,-24.98533138096448
3264315,1,-75.5972211824189
3265188,1,-20.99729867266163
2594597,0,
3719401,0,-20.221976940151606
1013819,1,-75.19679472459808
813531,0,-41.31453755722118
3685849,1,-22.29963119442534
954639,0,
1464876,1,-21.126565089665107
2413187,1,-75.43210484451834
3661033,0,
3791244,0,
2062356,0,
1868433,0,
3512760,0,-20.004531297538627
590006,1,-24.246030557770233
2741918,0,
820460,0,
2790843,1,-21.616970884567518
3130956,1,-22.802484091302283
2906512,0,
3905367,0,
1889198,1,-74.78150737513428
296673,1,-22.84640180847694
3437216,1,-76.16002556873767
3352872,1,-24.61427881172617
559049,1,-20.978408420648982
1126178,1,-21.846777042286533
2980720,0,
376230,1,-19.832777433331618
739780,0,-21.13880113301034
1166597,1,
309927,0,
3150765,0,
597504,1,-20.55368495374035
1494529,0,-20.59962501133464
2656082,0,-20.07076211411272
3854824,0,
1224547,1,-22.047542469082202
379330,1,-22.587178939671034
916211,0,-21.50002694830781
2552954,1,-24.501728931005573
1426008,1,-21.5807401075422
1019223,1,-76.46298893180219
473502,0,
889321,1,-76.01402213479992
925907,1,-20.516835869459506
1578178,1,-21.905703905994166
343131,1,-21.523425204574657
2442091,0,
2601290,0,-21.397028050221103
2787714,0,
2430511,0,-20.643056451890953
3711084,0,-20.661418207343207
2966927,1,-75.92997347967864
1010001,0,
2883938,0,
2883147,0,
1913813,1,-21.76372249427953
2767526,0,
542794,1,-19.09054094523019
222972,0,
1964367,0,-21.120996226464563
1858447,1,
1892854,1,-20.941568544808842
3675214,1,-22.065345925074865
806572,0,
1892676,1,-26.437703843011853
2770193,1,-23.07523138538742
2740462,0,
1682324,1,-22.185188487420834
987835,1,-76.47083229441739
1210115,0,
3062887,0,
2043081,1,-76.3625735934872
3345503,1,-21.616394134195808
528168,1,-75.70635824144806
2782435,0,-21.605224461208923
363116,1,-76.36318445585961
270413,0,
1499231,0,-20.9490199371253
3281762,0,
1108830,0,12.340932415465588
3878199,0,-21.21707519033846
3233299,1,-21.052324437272286
3700096,0,
1677625,0,
1388976,1,-22.67035238267587
3535430,0,
990487,0,
2495032,1,-23.722033724492434
2891272,0,11.526879708639765
2401475,1,-76.11033323484017
2946035,1,-22.399934912313682
331791,1,-20.312122086238126
1685632,0,
2820886,1,-22.84075093536084
2504947,1,-21.18033732262746
2518636,0,-20.108813896488805
1682849,1,-22.32482169626221
1577753,0,
1053108,0,11.616732435388588
3470408,1,-20.85679312893996
2841339,1,-21.980151043983362
1169779,1,
2612874,1,-20.009062259435975
240869,0,
3527912,1,-75.79141819339473
911879,0,
347689,0,
2504068,1,-20.92368391220327
827623,1,-20.090665041958175
292389,1,-21.914705611478393
1199953,1,-23.122126375321436
337634,0,-22.58639499869958
1274935,1,-75.0614793934092
1202674,1,-24.852520992416707
1874248,1,-75.02072870090558
2426204,1,-76.14312451995201
1309284,1,-24.49007590017243
832225,0,
2903712,0,-21.068894289098857
2683853,0,
3080318,1,-20.460368969373093
1642221,1,-24.040054163427666
2631775,1,-22.099918386709902
3176088,0,
426125,1,-75.65280290381824
3389420,1,-74.96000460200842
2798818,1,-22.214895229394703
1400447,1,-21.896722151365545
1506237,0,-20.106854412249348
3359949,0,
1256941,1,-21.585897810883896
2475731,0,
1482836,1,-77.22172661252935
3400550,1,-75.72775211629646
1107004,1,-20.85009980242767
3264700,1,-21.539018363182237
366864,1,-21.76365857853457
2896643,0,-20.273948188590012
2947666,1,-75.88888286740396
1562248,0,-19.984816303461272
2182294,1,-21.580125008614328
2390992,1,-24.199017719290367
1528208,1,-76.95847800051138
591138,0,
3206439,1,-21.301867141953384
754884,0,-20.690845235280428
3109471,1,-76.42134213161671
2572577,1,-77.09186595117829
3669312,1,-22.36660641557572
1098410,1,-19.320131671117046
230707,1,-22.833303014256128
1501733,1,-22.404248175534075
2401305,1,-75.75624043113395
1264089,1,-22.5502489332641
761612,0,
323280,0,-22.169844423010694
466880,1,-21.093803689968407
1829431,1,-76.14108673801834
3307442,0,-20.332318137107915
1559931,0,
3334941,0,-21.572878964960807
269136,1,-75.7466085394897
3150946,0,-41.104215244186875
1467443,1,-75.4998213420199
3722393,1,-18.381347068584294
493357,1,-20.81115280679373
3788533,0,
739330,0,
737371,1,-21.205920555309156
473343,1,-21.732928169577633
3424127,0,
3714765,0,-21.007739061674233
1420333,0,
3887710,0,-20.707791441812596
3039860,1,-20.224906054130354
1161432,1,-19.905325790891823
2846339,1,-20.41208275092313
1019465,0,
1778837,1,-23.755591866015518
3480547,0,
406451,1,-23.278160297385377
463435,0,-20.29372494910424
3074634,1,-21.991623802846423
3486832,1,-23.786683748646404
2706530,1,-24.38419288578877
420917,0,
1003386,1,-22.061925927652474
1807820,1,-24.666192313504173
632740,0,
3783179,1,-77.00446119742999
3286763,0,
2772024,1,-24.057083198315432
2033282,1,-23.387291944643195
231909,1,-76.42766199077222
3437879,1,-75.68093619206718
2537779,0,
2521960,1,-23.726445775301656
1626930,1,-75.26405863686954
2565200,1,-21.736339910769132
934126,0,-20.812512901547315
1985948,0,-41.93441094005693
2132580,1,-21.611894033374554
3017886,1,-22.84119317017525
2258397,0,-20.87721651382871
1255762,1,-20.7021281162932
1304069,1,-21.055379086451538
2022194,0,-20.774420442099792
3344384,0,
1433558,0,
1233803,0,
1620309,0,-20.402495598909425
1627400,0,
1625180,1,-19.46698516588385
3944505,0,-21.415244112615174
3833270,0,-20.846811120887153
1553663,1,-76.00981764812879
2460749,0,
1547167,0,-20.22331646812389
820436,0,-20.156684491145427
2810245,0,
1352539,1,-21.024964518058994
3340267,0,
3805257,0,
3908752,1,-24.87167821910715
2239145,0,
2544419,1,-76.39765622040785
2912710,0,-20.41273300816792
1674463,1,-21.21049949944277
1266112,1,-21.4267812643871
210766,1,-76.45296294704586
1549717,1,-75.89656923334738
1890290,1,-75.96135127163299
668171,0,
1057998,1,-23.14021229391218
1199682,1,-20.68776787733126
2866594,0,-19.136913244971243
3479214,0,
502128,1,-21.75660060207054
384528,0,
1619386,0,-20.37425831952977
1848219,0,13.80040811449875
3780368,0,
1727589,0,
1497853,1,-23.205441026617965
220277,1,-21.41109044094874
3311857,1,-75.43424263412184
1033080,1,-25.12067324605146
1115386,0,
3007444,1,-25.852755835037495
328933,1,-22.510680804783494
