sample_id,z,y
631738,0,-44.07839698062871
686847,0,-50.13604754702013
3486999,1,-52.359825659768866
2176566,0,-50.54441153343082
3661731,0,-42.245348709704885
945074,1,-52.261864691366014
431749,0,-40.89202630033858
3485589,1,-52.181494817230615
3345439,0,-41.3789559529144
2472840,1,-52.443251716421486
255910,0,-44.08203626470393
2423977,0,-49.43240474712767
397657,1,-55.075788619228
3854469,0,-46.73794573165799
680479,1,-46.07074719533679
3524900,0,-38.51458302421896
324068,0,-37.01851296677406
3370398,1,
425104,1,-51.90798173764936
2436685,1,-49.443424120945885
2483599,1,-54.92203270858959
3250223,0,-41.3159404290687
3071713,0,-47.043756076165465
1365807,1,-49.181656374417464
2995987,0,-37.491479639327814
597575,0,-44.11639986686096
3279957,1,-54.29555936373752
3062778,0,-46.72802293176877
3008586,0,-47.02824301654616
2407315,1,-55.23472585610367
2660242,0,-43.68831253174532
849140,0,-39.054976584206436
2912539,0,-38.964193639335534
974529,0,-46.53447834788899
1564295,0,-46.89434745245425
3937645,0,
918868,0,-44.23906115569342
1266937,1,-55.553948681995465
851392,0,-35.12688532489984
858911,1,-52.62715172240071
2678630,0,-38.43597236272019
2233646,0,-41.63239218092245
1438600,0,-40.71306535252494
2971293,0,-40.99876334007843
614849,0,-36.254261912340006
1386496,0,-46.86651184183848
2242506,0,-38.35601635772201
2179138,0,-50.4271209310507
1438495,0,-43.39095665965838
3763953,1,-55.446850380589815
2620282,0,-44.572216239136765
849284,0,-43.92752927948023
3741358,0,-47.092496488770664
2455012,0,-40.95473092363082
902086,0,-37.98535540888481
962220,0,-35.258576240967194
2119068,0,-40.27949708508844
403817,1,-54.3762723670183
1220027,1,-51.78395901722517
1671714,0,
1286850,0,-43.208830564926934
3518630,1,-52.536342399338196
3748879,0,-40.62293382472159
1405443,0,-37.69042577422233
3085659,1,-49.852774616316246
2932012,0,-44.1600774184787
231656,1,-52.632366094551614
531936,1,-55.436486315152585
2154097,0,-41.33286954698272
920281,1,-55.372311148448986
807505,0,-38.13078204963045
1376286,0,-41.08374630728321
3435466,1,-52.3835819526721
943038,0,-41.19483909207355
379602,0,-40.35663846857164
1793456,0,-44.185428745309245
2898176,1,-52.695113224063384
3788123,0,-38.71118602915163
3455148,0,-43.788561731367864
3129638,0,-40.991598644861284
3940350,1,-55.18147618935139
600773,0,-34.96965247299221
3698505,0,-41.47517118051252
1529898,0,-35.308795688410044
2144466,0,-40.462743701319305
3230212,0,-45.950784274647
2667803,1,-47.41418682432149
1053373,1,-56.5422602108159
2768362,0,-37.5460863768391
210543,0,-36.92082003132577
3752728,0,-50.007754582394384
329625,0,-35.01702965724452
3002802,0,-46.843843284903976
3713536,0,-37.91937719527986
2655466,1,-55.52051052922265
397995,0,-46.72812069473389
660984,1,-54.37424798312001
2247753,1,-52.888763395881575
1859729,0,-47.28308428046051
503353,0,-49.65547747167958
3199230,0,-38.190267581009216
2976940,1,-52.775683153297756
2155983,0,-41.60912435222679
2129100,1,-54.871927604122654
2507271,0,-38.249937856081885
2781928,0,-35.232751059926166
677454,0,-43.91778445866635
3396159,0,-46.43636777056167
2924511,0,-43.68444560455954
1678687,0,
2872536,0,-40.9021232390325
1207940,0,-40.8995459623832
3837155,0,-44.467606044323276
699403,1,-52.375405797368565
323072,1,-55.056315539876074
3802055,0,-43.860363990914216
1215977,0,-44.273019164147776
3333228,0,-40.22377587818268
1092279,1,
3005736,0,-37.89950879662387
1476010,1,-52.46101821062639
2992039,1,-51.67233710608019
2575070,1,-54.97392564594248
3894683,0,-41.11078760107808
508608,0,-37.10519104592768
3049658,1,-55.11111128482859
992628,1,-54.847993051365506
1687179,0,
898381,0,-35.2180002437427
409515,0,-41.68736702826486
685196,1,-46.36557962708595
2520797,1,-49.672531797104426
3078082,0,-49.54713246864557
1192419,0,-40.55640233506007
3659185,0,-37.193922294572914
3111601,0,-49.40982648551864
1782159,0,-37.7177360547844
1299083,1,-55.268082119705696
1963619,0,-35.126523788253124
3683472,0,-43.85477624864199
1516101,0,-47.62968050373784
930365,0,-44.08887364603615
2181880,0,-47.312378189391346
930736,1,-46.474747474919965
1003300,0,-46.899321399716094
2996698,0,-38.98560112944657
1968281,0,-41.73095713083958
1483125,0,-38.62410350924734
861506,0,-43.9014537534858
2219940,1,-48.26388974964434
3726879,1,-56.196499220811035
2209824,1,-53.27100824700197
3378804,1,-49.608026190361635
2823760,1,-44.52715124629309
322129,0,-46.91906553473902
3688212,0,
3754685,1,-55.5357009075979
684303,0,-37.497679773151084
1470367,1,-49.23706547529591
1241769,0,-46.729714766583335
225015,0,-52.602001057159626
1439564,1,-46.37618189451911
1998674,0,-41.452819065661394
208516,0,-38.511728759635496
2891516,0,-53.36383067021807
591138,0,-43.46433305304791
2109136,0,-47.46391395455358
3318052,0,-41.3212988308571
1439985,0,-37.77662374754789
1261861,1,-52.22508527412821
884142,0,-43.22190027612545
3733507,1,-54.762820189355686
2190106,0,-40.15831452331467
1734641,1,-52.11452268100653
737590,0,-46.70352044535333
2206449,0,-43.46795356191168
1612809,0,-37.83483879800875
3768526,1,-55.91125738905243
372310,0,-47.927107704235304
2609430,0,-43.965266851407215
354578,0,-35.462858922306225
2601767,1,-55.20165287937451
3853924,0,-37.57674734013667
2491452,1,-49.81317328926454
700819,0,-44.39468330548166
711363,0,-47.61389897218814
