sample_id,z,y
1285858,0,594.6000045356251
822109,0,306.9423860591523
1823038,0,60.247208501211084
529820,1,587.0942610397374
3677465,0,582.6356085797709
392965,1,587.3190366350802
2726390,1,587.3350481682227
685016,1,399.85502102108234
2894387,0,
2442170,0,395.37349092683945
1485342,0,395.29122210160136
415162,0,483.76430137903753
1938989,1,691.2621357233137
253346,0,484.1046635750692
2473029,0,484.22110006255633
883434,1,400.3318532729317
429840,1,400.2207765009571
2871069,1,587.3707924094095
985830,0,582.8409602636731
276871,0,
1371670,1,321.7001557014637
2615462,1,
1318065,0,582.2058159634805
1506812,0,395.4174686909482
3257684,1,321.5998581430729
1261832,0,395.52150684949294
2568463,1,
2796323,0,317.6272847890723
886350,1,587.1473609652402
2855288,1,488.60317970079586
1717211,0,
2008273,1,488.2257096216793
3042673,0,483.4377192304544
374527,1,489.01841167010224
2844686,0,483.90720413755196
1752019,0,484.26540746642223
743366,0,
1677288,0,390.33141694648134
2983674,0,395.30313582602645
825561,0,162.21484747223275
2540163,0,582.4139221209518
279855,1,696.2439099577202
845911,1,587.0894984552442
432010,0,582.2038769041369
1085898,0,483.6586783420851
3870604,1,488.6323260757706
3872837,1,
3241897,1,488.5619808670813
879934,1,587.5629835460136
1252280,0,691.8656255353245
1159478,0,483.88955362357444
2511262,0,692.1654602140882
1767846,0,572.0104521078647
3453567,0,
2011280,0,483.78566417619027
3048502,0,
1171220,0,395.4829378519915
813555,0,483.7637849100538
441470,1,587.1352608390018
1218820,0,483.946472095608
830901,0,484.21305283093943
3890334,0,582.8670385627469
1101303,0,483.8996440916039
1683551,0,
1521789,1,488.24516401696775
3544408,0,582.7971986278817
733667,1,488.29682393967045
451780,1,587.3602862044964
3118034,0,483.6919731754511
2568219,1,400.05892598248687
1315825,1,
2645460,0,249.58236477340725
2692101,0,
3359412,1,587.0773202679978
1223603,0,550.9514644903908
2620240,0,582.6016923442068
1585971,0,572.2339223155842
3774394,1,827.5599339439357
1771345,1,556.2890565036928
1572179,0,692.2166623886292
1902064,0,582.8538196120389
3738424,0,582.8651369462086
3397458,0,582.2466941036147
2725295,0,452.74376100327214
2482863,0,285.5949961201197
684392,0,317.01659427895623
2708993,0,
1827882,0,582.5445661807304
1620810,1,321.91833714009454
452906,0,
1609320,0,238.96419285361375
1053108,0,
2563485,0,551.6171679316079
3444031,0,395.5577493034889
681704,1,488.316641573527
816158,1,696.2645557936029
1851067,0,484.0003635653358
3711546,0,401.04563679809536
1498169,1,
1964315,1,483.31972595848345
907459,0,395.3262751019264
2901263,1,696.1677639686806
3421410,1,587.3713698800115
1982373,1,
1505824,0,395.1868046222194
597036,0,
1323412,0,499.96559848490665
2691896,0,401.10770239893
1056207,0,1515.5333055744857
1289926,1,400.09388839848566
1916612,0,483.79691468251843
2163201,0,473.5095632062561
1096748,0,483.45510112772644
2859112,1,488.7296740433948
505230,1,488.52227216742494
425289,1,488.474468115935
2523216,0,395.44357635231506
1862049,0,483.90812133645954
529706,0,395.1846528968198
389885,0,551.4201693697802
1682324,1,582.2980495609637
3885738,1,488.7807233777498
1037842,0,484.0059704266526
967098,1,587.3623316490819
1717602,1,483.4281290554573
2639425,0,395.54252691451774
1413439,0,
3038605,0,582.7878130903099
1123791,0,582.6256501138978
2183989,1,488.8268169004369
368463,0,582.6594601615795
557067,0,306.78594778014053
416597,0,484.0896359337449
234710,0,609.1961443410008
1970318,1,
897456,0,245.90928707621055
2194984,0,483.7396273573361
500152,0,484.1336033534843
480245,1,488.8483164863973
3438683,1,586.89984801562
605735,0,363.82049388232275
2270416,0,484.09093649750076
3682746,0,583.0109182151631
3500682,1,400.51559083893443
950114,1,696.6055899485848
1761474,1,696.472921896553
3803441,0,395.5127575862636
907428,0,401.0358019995483
3077959,0,364.54285010332376
1846843,0,582.5348296496051
2853452,1,488.89121231623835
1388553,0,582.7854844397162
1055316,0,
1851220,0,317.1509575250865
1777402,1,587.0484705377116
3439851,1,400.2554605696096
1094855,0,583.0735013692544
2206998,1,488.4584184897962
2520900,0,317.21426179887106
3110436,0,249.30161947396644
1697860,1,
1860867,0,484.07425534535673
2169789,1,696.0209120740254
1589856,1,696.58378724375
2257812,0,483.7679283716215
3474371,0,483.8935707267687
1506510,0,317.4831105532939
332432,1,587.1377139729476
2625238,1,488.24701511448325
381970,0,452.2298385381134
660087,0,484.040952619753
631739,0,364.1866485614362
701943,1,696.4699156822559
3109748,1,696.0119927690569
751632,0,385.0195504997008
966090,0,401.3066734497293
1166773,0,400.6556187831712
2715391,1,587.6440441089441
3330259,0,401.57752143120155
2045396,0,483.72910496512907
3236723,0,484.0862296316451
3043930,1,488.51518006440045
3775503,0,484.0029007892598
353794,0,
1732515,0,316.8063931674373
3538384,0,483.8885427777013
3138756,1,400.09558335785266
2135015,0,317.0989803645513
3942170,1,
1503656,1,488.47843584587406
3233884,0,537.3563924390832
1838954,0,395.4986600837714
3732711,0,484.0711474986545
1754195,0,473.37889639522865
2053696,1,695.8559876225712
3241391,0,395.3853237263119
1677214,0,
2851322,1,488.3447602678157
1737818,1,488.3369136763056
1544207,0,395.4124139341098
2843278,1,587.3152205380269
3494287,0,483.5710355282575
2491831,1,400.0606136472268
705299,1,400.00866966097794
