sample_id,z,y
2465947,1,
3532017,1,-15.447869971157411
2966298,0,-19.187470635837958
1951385,0,-16.691042187805586
3167731,0,-18.048355460631974
2544698,0,-15.736503887629526
2060344,1,
2760036,0,-17.703725586482847
2161298,0,-15.193169356804965
3677050,0,-18.936647518712164
2807240,1,
1350272,0,-16.593619521638033
1102058,1,-14.500564302184996
1401004,0,-18.796566237142542
1143588,0,-39.80326562992472
2188305,0,-16.45647324881925
807380,0,-17.827421765480768
2411384,0,-18.89802628675428
3041125,0,-16.253331911541526
3693024,1,
2166223,1,
1382733,1,-18.065530857427436
2039625,0,-14.857085912891854
2148092,1,
3170948,1,-14.539684312455064
2562586,0,-15.629260369199729
2997611,1,
585337,1,
842809,1,
3339091,1,-14.984295925265137
638427,1,
484205,0,-16.054255192430585
2004694,1,-15.407462321496292
1268276,1,
3843742,1,
2109422,0,-12.744682906252814
2618337,0,-13.130379008868124
2981472,0,-17.39795313325859
2440936,1,-16.230151052553182
1160911,0,-15.794305961227005
1138421,0,-14.578991919239938
278997,0,-17.17279884619428
1876972,1,-16.03791548111076
2262490,0,-16.521613693261887
1383381,1,
3737958,0,-72.57155069609767
1519023,1,-14.600745756421
2659498,0,-15.682336543466555
1295161,0,-17.166438832519223
466548,0,-16.269316928680325
1844338,0,-16.283101770979847
647550,1,-16.351261756079662
595185,0,-17.714016948522794
3226133,1,
3800417,0,-17.26978694153916
2203158,0,-18.88236713825065
372567,0,-18.2747595981298
926739,0,-16.879928493166446
1459597,0,-17.620718644772523
1716160,0,-95.98689401666815
1474973,1,
3052554,0,-16.612702840608534
3307322,0,-14.964415104855943
1949797,1,-15.792053665722438
1023167,1,-34.90527324886727
1060651,0,-17.647212616599976
3877559,0,-17.08761495078478
2558460,1,-14.223547084862611
1322530,0,-16.236008233310418
1682793,0,-37.034592020996634
289927,1,-16.468841382031485
3954427,0,-17.414385233298262
1295842,1,-14.974468594955882
1517045,0,-16.15780634421346
1427482,0,-16.95789466614684
3136564,0,-14.882622606860572
2055043,1,-92.41596365192294
3326205,0,-17.22611430777992
2286118,0,-16.96115769106715
2990977,0,-17.21522316305625
350710,0,-15.434613427153247
999454,1,-15.595183614744522
713120,1,-16.00151822151848
1124409,0,-39.12726917600025
288422,0,-16.861010900223466
3050500,0,-74.883578402497
1352667,1,
2268899,1,-13.72977632675069
2035999,1,-16.535648115576052
342607,0,-16.030405122247707
2137480,1,-15.943912899480365
2116316,0,-15.238942467972691
196995,0,-14.591898158539534
1999739,1,
3751452,1,
1557667,0,-15.906344236083214
1749679,1,
3440341,0,-15.748848224093198
2860108,0,-15.563113391209235
581776,1,
3322908,1,
2764762,0,-17.409972509571293
1411100,1,
2121377,0,-18.583320501148073
1314144,1,-16.23310143900752
1722562,0,-16.02679664601099
3214794,0,-16.907374404023663
2717651,1,
2834484,0,-15.690851716851398
2994961,0,-15.53975451467344
1577157,1,-70.88612436398532
2912635,1,
1021804,1,
1484024,1,
2104312,1,-19.359450396489635
1366455,0,-17.085864182888713
3848094,0,-16.675506523435057
2115553,0,-14.396566760974972
1228014,0,-16.800226524900758
2474003,0,-17.0314442974626
2846746,0,-40.01043383567744
310862,1,-15.565608852403031
3061811,1,
371759,1,
875923,1,-15.85834730813973
1769448,0,-15.970960095657178
2438620,1,-15.433380833500781
3115405,1,-17.061273357448147
1278710,0,-14.759227959502585
1977026,1,-17.70029563213417
1324413,0,-36.921333981395456
3445158,1,
2698675,0,-17.69041915445267
928565,1,
1317584,0,-15.181688261522693
3787919,1,
2133338,0,-17.120235483700693
3233587,1,
1933761,0,-16.803800866949153
3116272,0,-15.464310759331585
292606,0,-15.362688591755871
1907920,1,-12.815281393314926
1438928,0,-18.36631524199354
227352,1,-15.662579802199868
2972041,0,-14.97791568294724
324332,1,-16.756113677049406
3433513,0,-14.974119263620803
952245,1,-15.99649843667093
916801,0,-15.997721219500383
3262514,1,
3228743,0,-15.280007243726944
2146449,0,-19.184518084311563
3875888,0,-16.191648794834546
1885792,0,-15.181775172757538
1210601,0,-15.993193970495728
1976452,0,-16.539190721297103
3368518,0,-17.509763876622973
3048611,1,-16.867710758142323
2981090,0,-17.827009487138294
627411,1,-15.18077611636511
3388967,0,-16.148207640051538
3359222,0,-15.216189504800479
1627400,1,
672139,1,-15.870781029903062
3945304,1,-15.979076147038265
1420733,1,
3029142,0,-16.57764199191086
1251819,0,-14.197668643273612
1150769,0,-37.77442583063695
1688599,0,-16.837728964295636
1873978,1,
2543754,0,-15.872174468722594
667813,0,-15.506016984070243
3475999,0,-18.901825142082014
3547296,1,-14.270037650635516
710113,1,-15.475063832090314
2245005,0,-17.504853532443917
3221111,0,-15.761144848177652
2671338,1,-16.487294424734255
1891681,1,-16.01937542419606
1684580,0,-15.913407842082092
3494524,1,-15.471098550911448
2719478,0,-16.04348365883418
1429959,0,-16.901487233827957
1632150,0,-16.831659296969534
1644483,1,-14.898899236882556
994169,0,-14.736949783337943
1630416,0,-14.656408206470863
1068171,0,-16.203719448701808
2207504,1,-15.57875244250187
3390722,0,-12.833092024730892
2451948,0,-92.91697286383851
3349432,0,-15.432396933424268
2464440,0,-15.124011669641888
1406817,0,-16.05076309476722
2604300,0,-18.485078398914396
2504034,0,-17.648475127609963
3072721,0,-14.14024639054024
620586,1,-16.89123635490681
3040904,0,-16.68293494882503
609567,1,-15.89201207948408
2568550,0,-16.13412047026897
976424,0,-19.315979798549293
694731,0,-15.945781415220456
3333078,0,-16.50490972164171
587602,0,-14.970852028558253
2451252,0,-15.206394223117925
207905,1,
629532,0,-16.241428131585856
3359167,1,-16.557408760700586
3495224,0,-14.240235997873874
2261872,0,-37.9262938983772
1505794,0,-15.640997256489957
2287257,0,-19.866498156367946
2032584,1,-15.307343895341239
2023689,1,-16.71961589037992
3155216,0,-16.214516894548026
1318618,0,-18.09621021001133
1706471,0,-16.078999356115165
2837896,1,
465835,0,-19.36165216554606
2728239,1,
3952581,0,-18.363426846819316
2007945,1,
1698674,1,
2532688,0,-16.546075557508637
3755213,0,-19.12288043065364
561014,1,-16.9114824234097
1733279,1,-15.572294172901925
2879321,0,-18.208248247670788
1506239,1,
2810004,0,-14.655119726790025
1212737,1,-17.072488947978854
1066174,0,-17.0514743590942
1644588,1,-14.70672965672475
1738418,1,
3663864,1,-17.14457590520996
3659906,0,-13.329814640910863
2663437,0,-19.587955921799363
3274195,1,-15.08958830332283
1054761,1,
1423377,0,-18.585744392451737
757986,1,-17.278544272583318
1478726,0,-38.550488268178576
3733374,0,-71.10047370079846
3067975,1,
2836809,1,
1686809,0,-93.64103218451976
3788844,0,-16.641863117510148
741421,1,
3450934,1,-16.843732929282822
1731626,0,-18.343696653242787
1683971,0,-15.398538250986821
840223,0,-33.53359560255877
2581131,1,
3869508,1,
2814506,0,-14.773640455753124
1614566,0,-15.337626374019802
1365564,1,-14.146277492667533
1215358,0,-14.549579815839415
1630566,0,-17.187503717849072
3348367,0,-15.352380484100705
416597,1,
3136595,0,-17.74733460368075
3078090,0,-15.367591415727771
2037901,0,-37.78762805136773
419648,0,-15.77963610740314
3111256,0,-19.298569495408646
3666540,0,-16.68780650506648
1519595,1,-14.95751174095997
555670,0,-69.4430159415509
960025,1,
821873,0,-12.526633844141637
3272044,0,-15.63093335225534
1449358,0,-19.457010835618608
2182179,0,-16.291879475675884
2815803,0,-13.539348180955598
3738792,1,-15.475735101329448
3781891,0,-16.930114082591672
547838,1,
2402120,0,-17.53164239607522
2549113,1,-18.264858107551856
247294,0,-16.24012700079253
2976894,0,-16.811615381322362
211443,0,-15.69237177090911
2982593,1,-15.206390500705293
1281349,0,-16.031674000420217
1744155,0,-17.34032374178439
2861777,1,
1405824,1,
1258009,0,-17.93945601271539
1773203,1,
3208962,0,-16.258876836869767
1763005,0,-18.574057925033177
1782524,1,
3468052,0,-17.02554465069026
994573,0,-16.811012891105424
3274823,1,
2771193,0,-19.428502936572396
2187718,0,-17.147450898123306
3931713,0,-15.067284663723472
1162213,0,-12.6627793116294
1484498,1,-15.975258340354436
3514639,0,-16.323678987171263
465905,0,-12.38685245206732
3139045,1,-15.804097343419834
270413,1,-15.736997900184482
1014047,1,-15.597680999990262
1976469,0,-17.64085955213089
1742643,0,-92.41430372233287
3150007,1,
3103619,1,-94.82682135339617
2221208,0,-16.07911410096426
1067003,0,-19.305648530859976
1383005,0,-16.781058519821794
1692167,0,-16.612335936004012
1054592,1,-16.439607214087005
3010722,1,-11.83802552980848
1745141,0,-90.7080810466038
2285455,1,-15.976554915860136
2547034,0,-13.741047150872292
2731319,0,-14.90708991801714
2454717,0,-14.496601373246124
3853658,0,-15.765551368701583
3307257,0,-17.665093649047336
287641,1,-15.634330626705333
1694899,0,-15.357705943023042
2592714,0,-15.907002385177934
3531217,0,-15.348724878270094
1568441,0,-19.265718980515437
1142189,0,-15.11082821438909
1613234,1,
1096903,1,
1226183,0,-15.742795422000086
1087509,1,-15.010716558248154
358819,0,-14.386062862646131
1469140,0,-15.151216808188822
620432,1,
668376,1,
3382987,0,-14.520274936418561
233969,0,-17.011010700064936
2910126,0,-12.731414819869215
2276958,1,-14.128221054976633
1399131,1,
2174475,0,-15.161479416265543
881277,0,-17.471647383609042
1021395,0,-14.893678405482724
3388837,0,-18.185714763527862
3723642,0,-14.287374577782876
1217578,0,-15.862604222297973
339242,0,-16.158695616783326
911812,0,-15.593060483358093
2234900,0,-17.081133933777416
1671523,0,-18.399166407649332
1007174,0,-17.55451673827465
2708246,1,-15.78872217967675
2250076,0,-16.198924793451063
3404368,1,
270966,0,-15.580422721131303
706934,0,-14.343653209476656
751232,0,-15.190558691854914
3264783,1,
3045532,0,-17.376180534195303
552080,1,-15.835205337726617
3462969,0,-12.323882112492017
2493824,0,-14.526493862524823
2755160,1,-37.49662268379712
684419,1,
1438677,1,-16.8308525583603
935007,1,-16.129354076014266
2969378,0,-14.683643792469564
2780212,1,-16.306648469149213
1939015,1,
3887167,1,
415589,0,-16.398561878643978
3279767,1,-16.53219556763656
3850102,0,-16.601521155985832
2741694,0,-16.193792586222724
521414,1,-14.060422416154532
2251215,0,-15.43467327629614
3806474,0,-16.620308652482816
2658927,1,-16.274358775454257
1631236,1,-17.222805864675504
1019553,0,-16.00428382234365
486711,0,-15.123669076390216
3809057,0,-15.77187614157165
2231097,1,-16.20280171553515
2926418,0,-35.52226451918289
3363477,0,-18.23074634354029
