sample_id,y0,y1
2465947,-19.53114519890641,-18.104593135804482
3532017,-16.874422034259343,-15.447869971157411
2966298,-19.187470635837958,-17.760918572736028
1951385,-16.691042187805586,-15.264490124703652
3167731,-18.048355460631974,-16.62180339753004
2544698,-15.736503887629526,-14.309951824527593
2060344,-18.51020137848943,-17.083649315387497
2760036,-17.703725586482847,-16.277173523380917
2161298,-15.193169356804965,-13.766617293703032
3677050,-18.936647518712164,-17.510095455610234
2807240,-17.287361952680495,-15.860809889578565
1350272,-16.593619521638033,-15.1670674585361
1102058,-15.927116365286928,-14.500564302184996
1401004,-18.796566237142542,-17.37001417404061
1143588,-39.80326562992472,-38.37671356682278
2188305,-16.45647324881925,-15.02992118571732
807380,-17.827421765480768,-16.400869702378838
2411384,-18.89802628675428,-17.471474223652347
3041125,-16.253331911541526,-14.82677984843959
3693024,-18.927965108459826,-17.501413045357896
2166223,-18.327807793763657,-16.901255730661724
1382733,-19.49208292052937,-18.065530857427436
2039625,-14.857085912891854,-13.43053384978992
2148092,-17.957751184437118,-16.531199121335185
3170948,-15.966236375556996,-14.539684312455064
2562586,-15.629260369199729,-14.202708306097795
2997611,-19.59266059768154,-18.166108534579607
585337,-39.65588022895715,-38.229328165855215
842809,-17.64627761529095,-16.219725552189015
3339091,-16.410847988367074,-14.984295925265137
638427,-19.08493889538635,-17.658386832284418
484205,-16.054255192430585,-14.627703129328651
2004694,-16.834014384598227,-15.407462321496292
1268276,-18.406224008267586,-16.979671945165656
3843742,-18.84742986825017,-17.42087780514824
2109422,-12.744682906252814,-11.31813084315088
2618337,-13.130379008868124,-11.70382694576619
2981472,-17.39795313325859,-15.971401070156656
2440936,-17.656703115655112,-16.230151052553182
1160911,-15.794305961227005,-14.367753898125072
1138421,-14.578991919239938,-13.152439856138006
278997,-17.17279884619428,-15.746246783092348
1876972,-17.46446754421269,-16.03791548111076
2262490,-16.521613693261887,-15.095061630159952
1383381,-18.186970256600013,-16.76041819349808
3737958,-72.57155069609767,-71.14499863299574
1519023,-16.027297819522936,-14.600745756421
2659498,-15.682336543466555,-14.255784480364621
1295161,-17.166438832519223,-15.739886769417291
466548,-16.269316928680325,-14.84276486557839
1844338,-16.283101770979847,-14.856549707877912
647550,-17.777813819181596,-16.351261756079662
595185,-17.714016948522794,-16.287464885420864
3226133,-38.33025099488847,-36.90369893178654
3800417,-17.26978694153916,-15.843234878437224
2203158,-18.88236713825065,-17.45581507514872
372567,-18.2747595981298,-16.84820753502787
926739,-16.879928493166446,-15.453376430064514
1459597,-17.620718644772523,-16.19416658167059
1716160,-95.98689401666815,-94.56034195356621
1474973,-18.13488669864103,-16.708334635539096
3052554,-16.612702840608534,-15.1861507775066
3307322,-14.964415104855943,-13.53786304175401
1949797,-17.218605728824368,-15.792053665722438
1023167,-36.3318253119692,-34.90527324886727
1060651,-17.647212616599976,-16.220660553498043
3877559,-17.08761495078478,-15.66106288768285
2558460,-15.650099147964545,-14.223547084862611
1322530,-16.236008233310418,-14.809456170208485
1682793,-37.034592020996634,-35.6080399578947
289927,-17.895393445133415,-16.468841382031485
3954427,-17.414385233298262,-15.987833170196328
1295842,-16.401020658057814,-14.974468594955882
1517045,-16.15780634421346,-14.731254281111525
1427482,-16.95789466614684,-15.531342603044905
3136564,-14.882622606860572,-13.456070543758639
2055043,-93.84251571502486,-92.41596365192294
3326205,-17.22611430777992,-15.799562244677986
2286118,-16.96115769106715,-15.534605627965218
2990977,-17.21522316305625,-15.788671099954316
350710,-15.434613427153247,-14.008061364051313
999454,-17.02173567784645,-15.595183614744522
713120,-17.42807028462041,-16.00151822151848
1124409,-39.12726917600025,-37.70071711289831
288422,-16.861010900223466,-15.434458837121534
3050500,-74.883578402497,-73.45702633939506
1352667,-19.34853092715915,-17.921978864057216
2268899,-15.156328389852623,-13.72977632675069
2035999,-17.962200178677982,-16.535648115576052
342607,-16.030405122247707,-14.603853059145774
2137480,-17.370464962582297,-15.943912899480365
2116316,-15.238942467972691,-13.812390404870758
196995,-14.591898158539534,-13.1653460954376
1999739,-18.16448678529043,-16.737934722188495
3751452,-18.1789649287387,-16.752412865636764
1557667,-15.906344236083214,-14.47979217298128
1749679,-19.639327460265736,-18.212775397163803
3440341,-15.748848224093198,-14.322296160991264
2860108,-15.563113391209235,-14.136561328107302
581776,-18.916516534156404,-17.489964471054474
3322908,-18.11743382881622,-16.690881765714288
2764762,-17.409972509571293,-15.98342044646936
1411100,-18.085013817246768,-16.658461754144838
2121377,-18.583320501148073,-17.156768438046143
1314144,-17.65965350210945,-16.23310143900752
1722562,-16.02679664601099,-14.600244582909058
3214794,-16.907374404023663,-15.480822340921728
2717651,-19.325044947768276,-17.898492884666343
2834484,-15.690851716851398,-14.264299653749466
2994961,-15.53975451467344,-14.113202451571507
1577157,-72.31267642708725,-70.88612436398532
2912635,-19.787140238984186,-18.360588175882256
1021804,-16.31273171970087,-14.886179656598937
1484024,-18.794367980136013,-17.36781591703408
2104312,-20.786002459591565,-19.359450396489635
1366455,-17.085864182888713,-15.659312119786783
3848094,-16.675506523435057,-15.248954460333126
2115553,-14.396566760974972,-12.970014697873038
1228014,-16.800226524900758,-15.373674461798823
2474003,-17.0314442974626,-15.604892234360669
2846746,-40.01043383567744,-38.58388177257551
310862,-16.99216091550496,-15.565608852403031
3061811,-74.73381487022549,-73.30726280712355
371759,-19.82445192388069,-18.39789986077876
875923,-17.28489937124166,-15.85834730813973
1769448,-15.970960095657178,-14.544408032555246
2438620,-16.859932896602714,-15.433380833500781
3115405,-18.487825420550077,-17.061273357448147
1278710,-14.759227959502585,-13.332675896400652
1977026,-19.1268476952361,-17.70029563213417
1324413,-36.921333981395456,-35.49478191829352
3445158,-15.616759330364864,-14.190207267262931
2698675,-17.69041915445267,-16.263867091350736
928565,-18.538010164419465,-17.111458101317535
1317584,-15.181688261522693,-13.75513619842076
3787919,-18.17519995022925,-16.74864788712732
2133338,-17.120235483700693,-15.69368342059876
3233587,-18.174006311487503,-16.74745424838557
1933761,-16.803800866949153,-15.377248803847221
3116272,-15.464310759331585,-14.037758696229652
292606,-15.362688591755871,-13.936136528653938
1907920,-14.24183345641686,-12.815281393314926
1438928,-18.36631524199354,-16.93976317889161
227352,-17.0891318653018,-15.662579802199868
2972041,-14.97791568294724,-13.551363619845306
324332,-18.18266574015134,-16.756113677049406
3433513,-14.974119263620803,-13.54756720051887
952245,-17.42305049977286,-15.99649843667093
916801,-15.997721219500383,-14.57116915639845
3262514,-15.75180829515181,-14.325256232049876
3228743,-15.280007243726944,-13.85345518062501
2146449,-19.184518084311563,-17.75796602120963
3875888,-16.191648794834546,-14.76509673173261
1885792,-15.181775172757538,-13.755223109655605
1210601,-15.993193970495728,-14.566641907393794
1976452,-16.539190721297103,-15.11263865819517
3368518,-17.509763876622973,-16.083211813521043
3048611,-18.294262821244253,-16.867710758142323
2981090,-17.827009487138294,-16.40045742403636
627411,-16.607328179467043,-15.18077611636511
3388967,-16.148207640051538,-14.721655576949606
3359222,-15.216189504800479,-13.789637441698545
1627400,-18.94443215299199,-17.51788008989006
672139,-17.29733309300499,-15.870781029903062
3945304,-17.4056282101402,-15.979076147038265
1420733,-19.11805822387477,-17.691506160772835
3029142,-16.57764199191086,-15.151089928808924
1251819,-14.197668643273612,-12.771116580171679
1150769,-37.77442583063695,-36.34787376753501
1688599,-16.837728964295636,-15.411176901193706
1873978,-18.991741647970844,-17.565189584868914
2543754,-15.872174468722594,-14.44562240562066
667813,-15.506016984070243,-14.07946492096831
3475999,-18.901825142082014,-17.475273078980084
3547296,-15.696589713737449,-14.270037650635516
710113,-16.901615895192247,-15.475063832090314
2245005,-17.504853532443917,-16.078301469341987
3221111,-15.761144848177652,-14.334592785075719
2671338,-17.913846487836185,-16.487294424734255
1891681,-17.44592748729799,-16.01937542419606
1684580,-15.913407842082092,-14.486855778980159
3494524,-16.89765061401338,-15.471098550911448
2719478,-16.04348365883418,-14.616931595732247
1429959,-16.901487233827957,-15.474935170726022
1632150,-16.831659296969534,-15.405107233867598
1644483,-16.325451299984486,-14.898899236882556
994169,-14.736949783337943,-13.31039772023601
1630416,-14.656408206470863,-13.229856143368929
1068171,-16.203719448701808,-14.777167385599876
2207504,-17.005304505603803,-15.57875244250187
3390722,-12.833092024730892,-11.406539961628958
2451948,-92.91697286383851,-91.49042080073657
3349432,-15.432396933424268,-14.005844870322335
2464440,-15.124011669641888,-13.697459606539955
1406817,-16.05076309476722,-14.624211031665286
2604300,-18.485078398914396,-17.058526335812463
2504034,-17.648475127609963,-16.22192306450803
3072721,-14.14024639054024,-12.713694327438306
620586,-18.31778841800874,-16.89123635490681
3040904,-16.68293494882503,-15.256382885723095
609567,-17.318564142586013,-15.89201207948408
2568550,-16.13412047026897,-14.70756840716704
976424,-19.315979798549293,-17.889427735447363
694731,-15.945781415220456,-14.51922935211852
3333078,-16.50490972164171,-15.078357658539776
587602,-14.970852028558253,-13.54429996545632
2451252,-15.206394223117925,-13.779842160015992
207905,-19.043068601700526,-17.616516538598592
629532,-16.241428131585856,-14.814876068483926
3359167,-17.983960823802516,-16.557408760700586
3495224,-14.240235997873874,-12.813683934771941
2261872,-37.9262938983772,-36.499741835275266
1505794,-15.640997256489957,-14.214445193388023
2287257,-19.866498156367946,-18.439946093266013
2032584,-16.73389595844317,-15.307343895341239
2023689,-18.14616795348185,-16.71961589037992
3155216,-16.214516894548026,-14.787964831446093
1318618,-18.09621021001133,-16.6696581469094
1706471,-16.078999356115165,-14.652447293013234
2837896,-18.689592445283335,-17.263040382181405
465835,-19.36165216554606,-17.93510010244413
2728239,-18.18598429196432,-16.759432228862387
3952581,-18.363426846819316,-16.936874783717382
2007945,-18.89006122078135,-17.463509157679418
1698674,-18.828887810822238,-17.402335747720304
2532688,-16.546075557508637,-15.119523494406705
3755213,-19.12288043065364,-17.69632836755171
561014,-18.338034486511635,-16.9114824234097
1733279,-16.998846236003857,-15.572294172901925
2879321,-18.208248247670788,-16.781696184568858
1506239,-18.33811043804531,-16.91155837494338
2810004,-14.655119726790025,-13.228567663688091
1212737,-18.499041011080784,-17.072488947978854
1066174,-17.0514743590942,-15.624922295992269
1644588,-16.133281719826684,-14.70672965672475
1738418,-16.853736592283486,-15.427184529181554
3663864,-18.571127968311895,-17.14457590520996
3659906,-13.329814640910863,-11.90326257780893
2663437,-19.587955921799363,-18.16140385869743
3274195,-16.51614036642476,-15.08958830332283
1054761,-93.6062727123184,-92.17972064921646
1423377,-18.585744392451737,-17.159192329349807
757986,-18.70509633568525,-17.278544272583318
1478726,-38.550488268178576,-37.12393620507664
3733374,-71.10047370079846,-69.67392163769652
3067975,-17.48410921440887,-16.057557151306938
2836809,-17.388725578246838,-15.962173515144904
1686809,-93.64103218451976,-92.21448012141782
3788844,-16.641863117510148,-15.215311054408213
741421,-19.47633722553252,-18.049785162430588
3450934,-18.270284992384752,-16.843732929282822
1731626,-18.343696653242787,-16.917144590140854
1683971,-15.398538250986821,-13.971986187884887
840223,-33.53359560255877,-32.10704353945683
2581131,-19.361349548018286,-17.934797484916352
3869508,-18.609697622407325,-17.183145559305395
2814506,-14.773640455753124,-13.347088392651191
1614566,-15.337626374019802,-13.91107431091787
1365564,-15.572829555769466,-14.146277492667533
1215358,-14.549579815839415,-13.123027752737482
1630566,-17.187503717849072,-15.760951654747139
3348367,-15.352380484100705,-13.925828420998771
416597,-19.516048968256815,-18.089496905154885
3136595,-17.74733460368075,-16.320782540578815
3078090,-15.367591415727771,-13.941039352625838
2037901,-37.78762805136773,-36.361075988265796
419648,-15.77963610740314,-14.353084044301209
3111256,-19.298569495408646,-17.872017432306713
3666540,-16.68780650506648,-15.261254441964548
1519595,-16.384063804061903,-14.95751174095997
555670,-69.4430159415509,-68.01646387844896
960025,-39.7855033220283,-38.35895125892636
821873,-12.526633844141637,-11.100081781039703
3272044,-15.63093335225534,-14.204381289153407
1449358,-19.457010835618608,-18.030458772516674
2182179,-16.291879475675884,-14.865327412573947
2815803,-13.539348180955598,-12.112796117853664
3738792,-16.90228716443138,-15.475735101329448
3781891,-16.930114082591672,-15.503562019489738
547838,-17.892514917429384,-16.46596285432745
2402120,-17.53164239607522,-16.105090332973287
2549113,-19.691410170653786,-18.264858107551856
247294,-16.24012700079253,-14.813574937690596
2976894,-16.811615381322362,-15.38506331822043
211443,-15.69237177090911,-14.265819707807177
2982593,-16.632942563807227,-15.206390500705293
1281349,-16.031674000420217,-14.605121937318282
1744155,-17.34032374178439,-15.913771678682455
2861777,-14.181553014878258,-12.755000951776324
1405824,-17.931361259935922,-16.504809196833993
1258009,-17.93945601271539,-16.512903949613456
1773203,-17.28968217443209,-15.863130111330157
3208962,-16.258876836869767,-14.832324773767835
1763005,-18.574057925033177,-17.147505861931243
1782524,-19.229261071866198,-17.802709008764268
3468052,-17.02554465069026,-15.59899258758833
994573,-16.811012891105424,-15.384460828003492
3274823,-16.89952047353404,-15.47296841043211
2771193,-19.428502936572396,-18.001950873470463
2187718,-17.147450898123306,-15.720898835021371
3931713,-15.067284663723472,-13.640732600621538
1162213,-12.6627793116294,-11.236227248527467
1484498,-17.401810403456366,-15.975258340354436
3514639,-16.323678987171263,-14.897126924069328
465905,-12.38685245206732,-10.960300388965386
3139045,-17.230649406521767,-15.804097343419834
270413,-17.163549963286417,-15.736997900184482
1014047,-17.024233063092193,-15.597680999990262
1976469,-17.64085955213089,-16.214307489028958
1742643,-92.41430372233287,-90.98775165923095
3150007,-18.12659945597117,-16.70004739286924
3103619,-96.2533734164981,-94.82682135339617
2221208,-16.07911410096426,-14.652562037862326
1067003,-19.305648530859976,-17.879096467758046
1383005,-16.781058519821794,-15.354506456719859
1692167,-16.612335936004012,-15.185783872902077
1054592,-17.866159277188938,-16.439607214087005
3010722,-13.264577592910413,-11.83802552980848
1745141,-90.7080810466038,-89.28152898350187
2285455,-17.40310697896207,-15.976554915860136
2547034,-13.741047150872292,-12.314495087770359
2731319,-14.90708991801714,-13.480537854915207
2454717,-14.496601373246124,-13.07004931014419
3853658,-15.765551368701583,-14.33899930559965
3307257,-17.665093649047336,-16.238541585945406
287641,-17.060882689807265,-15.634330626705333
1694899,-15.357705943023042,-13.931153879921109
2592714,-15.907002385177934,-14.480450322076
3531217,-15.348724878270094,-13.92217281516816
1568441,-19.265718980515437,-17.839166917413504
1142189,-15.11082821438909,-13.684276151287156
1613234,-19.03413145719964,-17.60757939409771
1096903,-19.353218564739567,-17.926666501637634
1226183,-15.742795422000086,-14.316243358898152
1087509,-16.437268621350086,-15.010716558248154
358819,-14.386062862646131,-12.959510799544198
1469140,-15.151216808188822,-13.724664745086889
620432,-19.1164397478337,-17.68988768473177
668376,-16.01908778381405,-14.592535720712117
3382987,-14.520274936418561,-13.09372287331663
233969,-17.011010700064936,-15.584458636963003
2910126,-12.731414819869215,-11.304862756767282
2276958,-15.554773118078566,-14.128221054976633
1399131,-18.513473284180137,-17.086921221078207
2174475,-15.161479416265543,-13.73492735316361
881277,-17.471647383609042,-16.045095320507112
1021395,-14.893678405482724,-13.46712634238079
3388837,-18.185714763527862,-16.759162700425932
3723642,-14.287374577782876,-12.860822514680942
1217578,-15.862604222297973,-14.43605215919604
339242,-16.158695616783326,-14.732143553681393
911812,-15.593060483358093,-14.166508420256159
2234900,-17.081133933777416,-15.654581870675482
