sample_id,z,y
3101216,1,-177.17074564860812
3659185,0,
1356760,1,-177.34283955404382
3896503,1,-170.48753979151383
272393,1,
2717134,0,-175.35891445378394
1160323,0,-157.10812599863738
529475,0,
1028283,1,-170.6339848920858
1232681,1,
3840395,1,
3749461,0,-175.42061247103769
2441356,1,-182.42014111367024
2759567,0,-175.2693745460154
3800996,0,-169.90122832315413
3732704,0,-178.3366334411568
473811,0,-175.77317856065477
3322881,0,-178.3538456127542
2233004,0,-163.0910158854449
2246396,1,-177.31659799061342
945211,1,-175.5206571873423
3269568,0,-182.63704347622814
2717808,1,-175.58120358658317
3875758,0,
2471768,0,
2140298,1,-157.91405992449486
905149,0,-169.08310877915613
2737187,1,
2661753,1,
890777,0,-175.1566901284058
2486489,1,
2963373,1,-177.17036001715348
483653,0,-183.31210784549828
999129,1,
1145209,1,-174.62581722663708
194171,0,-150.31228498560986
587034,0,-182.07016952890325
3805020,1,-177.3862268539575
3144227,1,
2670347,0,-175.37273004747559
2028115,1,-178.89549019577086
2448163,1,-176.49633322632903
3363727,1,-170.4516976830298
2545449,1,-150.95096136929425
3199261,0,-166.11346976579037
2706936,1,-172.779634457427
2942612,0,-176.88240098248085
1279370,0,
427126,1,
1302705,1,
2850944,0,
2990612,1,
3054554,1,-156.06857724852432
1643136,0,-174.8610123838339
3858139,0,
977515,1,
2004842,1,-165.1585236507811
3320517,1,-154.34062033339913
1389827,0,-178.45214169859705
2760656,1,-177.31949706564274
1770631,1,-175.7927027585813
2935979,1,-179.16024228392294
1966087,0,-184.53247365873113
822230,0,-200.05221297896404
1137697,0,
3509781,0,
1594551,1,
2553985,0,-175.09273307466708
1304338,0,
2557425,0,-174.65152065298483
706636,0,-179.14192040970366
1254614,1,-141.0052921754577
2476663,1,-176.04631352224425
1718395,0,-179.0230368796112
1522394,1,-173.83919803166654
2444585,0,
3798286,1,
1825198,0,
2150328,0,-175.16734062200064
2641451,0,-175.11253170473714
2025090,1,-166.94119799482357
2913853,1,-172.2312432026028
487320,0,-179.18247566998502
3836729,0,-175.27686249160067
3451880,0,
943522,1,-177.2842355058802
1735252,0,-171.57881604949966
1085398,0,-149.02874371812666
3027199,0,
1698525,0,-178.99749351783464
2593504,1,-166.95749035918945
2479069,1,-165.01716883385544
438710,1,-176.2747694657956
1378149,1,-173.39942586639296
3683812,0,-183.70275284553253
421263,0,-171.6400301887896
1609581,0,
2801373,0,
2977719,0,
1988172,1,
1825284,1,-180.95200290047453
2002615,1,-178.75032050243507
3013513,1,-175.75594553466672
3537886,1,
2148301,0,-154.47585012700193
1085378,1,
966138,1,-168.96694806741067
1298069,1,-158.60287300120925
197644,1,
2578528,1,-147.80349058505433
229921,1,-173.32224189504305
252816,1,
2058114,1,-177.17668862196587
3836845,0,
964904,0,-176.75222824744353
973661,1,
937677,1,-175.62978413383453
2015630,1,-179.12879347810525
889703,1,-179.35067079248228
1410706,0,
1316923,1,-175.2574857114723
1450156,1,
2584028,1,-175.7154764402965
3458504,0,-175.6879617884574
843303,1,
1411722,0,-185.5045134241033
1738148,0,
2620653,0,-181.9541964547132
1202588,0,-178.63348154450844
1903215,0,
1682201,0,
3940492,0,-157.65024482648278
1583934,0,-171.36324215913504
2583954,1,-179.19127299241723
3866744,0,-162.9957109903665
652056,0,-175.46437727653648
1371892,1,
3389827,0,-157.4075597396187
2630308,1,-176.02528468830417
648602,1,-158.5433515845562
2524145,1,
2035310,1,-175.57564002620143
3951564,1,-168.72489091097665
2205002,0,
507945,1,-172.05858747059415
1049275,0,-185.3890493889493
3336478,1,-186.4021869783145
2399497,0,
425289,0,
690276,1,-173.06834320176026
754884,1,
1056475,0,-178.5873900180738
476732,1,-172.23885892740867
2870401,1,-177.30768219858356
3432454,0,-183.9271070942051
607845,0,-168.98220878958915
1741693,1,-167.00701848605163
1358879,0,-178.30132336402127
2437898,0,-178.37014115726564
3915710,1,
1887055,1,
2537543,1,-167.92466359861336
3046879,0,
2414732,1,
2004997,1,-163.4911858066075
3533916,1,-177.3058992573755
3453840,1,-167.3894200540422
761623,0,-178.1894051384917
821844,0,-196.69000141829082
1129305,1,-176.99161883163995
3130179,1,-167.8564307267315
2783542,1,-142.50916621172234
2064672,1,-177.31677943476828
3704898,1,-175.44136291987857
2706264,0,-167.99858650117193
1823902,1,-175.71658463935844
310300,0,-176.8571986995852
3875755,1,
2043351,1,-157.8796019659938
3287435,1,-175.81841428399034
1007668,1,-179.22890932724835
207395,0,-172.40247894909717
859671,0,-178.39355740113507
3502905,1,-154.46233810827044
395805,0,
2869020,1,-177.22740936165263
3278837,0,-178.38325302631975
2023536,1,-177.56577401151796
393918,1,-165.1337939350634
2209312,1,-175.51888590843606
1954308,1,-159.1168056253892
1621673,1,-182.72382563934733
3433194,1,-176.44286749229963
2659963,1,-172.21365013784413
3886336,0,-171.9377308608704
564176,1,-172.88390878892767
3233447,1,-151.19727316491748
828527,1,
1838830,1,-175.7453280568933
2392306,1,-176.0869228773843
1276616,0,-173.26738512479452
1597511,0,-173.3007675158739
3757333,0,-164.2608586731035
