,sample_id,y0,y1
0,3101216,-173.09368209491433,-177.17074564860812
1,3659185,-171.47835796531098,-175.55542151900474
2,1356760,-173.26577600035,-177.34283955404382
3,3896503,-166.41047623782003,-170.48753979151385
4,272393,-147.8384824462288,-151.9155459999226
5,2717134,-175.35891445378394,-179.43597800747776
6,1160323,-157.10812599863738,-161.18518955233117
7,529475,-175.94047698262824,-180.01754053632206
8,1028283,-166.55692133839202,-170.6339848920858
9,1232681,-152.08156612627042,-156.15862967996418
10,3840395,-171.34324115095168,-175.42030470464547
11,3749461,-175.42061247103769,-179.49767602473148
12,2441356,-178.34307755997642,-182.42014111367024
13,2759567,-175.2693745460154,-179.34643809970922
14,3800996,-169.90122832315413,-173.97829187684792
15,3732704,-178.3366334411568,-182.41369699485062
16,473811,-175.77317856065474,-179.8502421143486
17,3322881,-178.35384561275418,-182.43090916644803
18,2233004,-163.0910158854449,-167.16807943913872
19,2246396,-173.2395344369196,-177.31659799061342
20,945211,-171.4435936336485,-175.5206571873423
21,3269568,-182.63704347622814,-186.714107029922
22,2717808,-171.50414003288935,-175.58120358658314
23,3875758,-154.09126661013337,-158.1683301638272
24,2471768,-148.04542463362714,-152.12248818732098
25,2140298,-153.83699637080102,-157.91405992449486
26,905149,-169.08310877915613,-173.16017233284995
27,2737187,-166.5538513510556,-170.63091490474943
28,2661753,-153.785499604175,-157.8625631578688
29,890777,-175.1566901284058,-179.2337536820996
30,2486489,-166.120610455539,-170.19767400923286
31,2963373,-173.0932964634597,-177.17036001715348
32,483653,-183.31210784549828,-187.3891713991921
33,999129,-150.45994858610422,-154.53701213979798
34,1145209,-170.5487536729433,-174.62581722663708
35,194171,-150.31228498560986,-154.38934853930363
36,587034,-182.07016952890325,-186.14723308259704
37,3805020,-173.30916330026366,-177.38622685395748
38,3144227,-143.88562645446498,-147.96269000815875
39,2670347,-175.37273004747559,-179.4497936011694
40,2028115,-174.8184266420771,-178.89549019577086
41,2448163,-172.41926967263518,-176.49633322632903
42,3363727,-166.37463412933604,-170.4516976830298
43,2545449,-146.87389781560043,-150.95096136929425
44,3199261,-166.11346976579037,-170.1905333194842
45,2706936,-168.7025709037332,-172.779634457427
46,2942612,-176.88240098248085,-180.9594645361746
47,1279370,-174.98242139524604,-179.05948494893985
48,427126,-168.78180821100904,-172.85887176470283
49,1302705,-122.33010950892105,-126.40717306261485
50,2850944,-178.63284709028488,-182.7099106439787
51,2990612,-157.84986820844358,-161.9269317621374
52,3054554,-151.9915136948305,-156.0685772485243
53,1643136,-174.86101238383392,-178.93807593752769
54,3858139,-168.45397366099732,-172.53103721469108
55,977515,-143.668792943977,-147.74585649767081
56,2004842,-161.0814600970873,-165.1585236507811
57,3320517,-150.26355677970534,-154.34062033339913
58,1389827,-178.45214169859702,-182.52920525229086
59,2760656,-173.2424335119489,-177.31949706564274
60,1770631,-171.7156392048875,-175.79270275858133
61,2935979,-175.08317873022912,-179.1602422839229
62,1966087,-184.53247365873116,-188.6095372124249
63,822230,-200.05221297896404,-204.12927653265785
64,1137697,-171.63758972928292,-175.71465328297668
65,3509781,-157.4153428798288,-161.49240643352263
66,1594551,-145.23320416106898,-149.31026771476274
67,2553985,-175.09273307466708,-179.1697966283609
68,1304338,-171.78332347776413,-175.8603870314579
69,2557425,-174.65152065298486,-178.72858420667862
70,706636,-179.1419204097037,-183.21898396339745
71,1254614,-136.9282286217639,-141.0052921754577
72,2476663,-171.96924996855046,-176.04631352224428
73,1718395,-179.0230368796112,-183.10010043330502
74,1522394,-169.76213447797275,-173.8391980316665
75,2444585,-171.48300667791,-175.56007023160382
76,3798286,-160.61274047266568,-164.68980402635947
77,1825198,-175.0422945618574,-179.11935811555122
78,2150328,-175.1673406220006,-179.24440417569446
79,2641451,-175.11253170473714,-179.18959525843098
80,2025090,-162.86413444112975,-166.94119799482357
81,2913853,-168.15417964890898,-172.2312432026028
82,487320,-179.18247566998505,-183.25953922367884
83,3836729,-175.2768624916007,-179.3539260452945
84,3451880,-147.7120738531881,-151.7891374068819
85,943522,-173.2071719521864,-177.2842355058802
86,1735252,-171.57881604949966,-175.65587960319348
87,1085398,-149.02874371812666,-153.10580727182048
88,3027199,-173.21207712284783,-177.28914067654162
89,1698525,-178.9974935178346,-183.07455707152843
90,2593504,-162.88042680549563,-166.95749035918942
91,2479069,-160.94010528016162,-165.01716883385544
92,438710,-172.19770591210178,-176.2747694657956
93,1378149,-169.32236231269917,-173.399425866393
94,3683812,-183.70275284553253,-187.77981639922638
95,421263,-171.6400301887896,-175.7170937424834
96,1609581,-171.69249205872816,-175.76955561242195
97,2801373,-153.5576689951991,-157.63473254889288
98,2977719,-176.6734432277609,-180.75050678145482
99,1988172,-168.24209455152396,-172.31915810521778
100,1825284,-176.8749393467807,-180.95200290047455
101,2002615,-174.67325694874125,-178.7503205024351
102,3013513,-171.6788819809729,-175.75594553466672
103,3537886,-162.95497598372523,-167.03203953741908
104,2148301,-154.4758501270019,-158.55291368069575
105,1085378,-158.49295764121774,-162.5700211949116
106,966138,-164.88988451371685,-168.96694806741067
107,1298069,-154.52580944751543,-158.60287300120925
108,197644,-158.53827508988206,-162.61533864357588
109,2578528,-143.72642703136054,-147.80349058505433
110,229921,-169.24517834134926,-173.32224189504302
111,252816,-168.9097038840124,-172.9867674377062
112,2058114,-173.09962506827202,-177.17668862196587
113,3836845,-174.9313334410501,-179.00839699474392
114,964904,-176.75222824744355,-180.82929180113732
115,973661,-159.25353136212127,-163.33059491581506
116,937677,-171.55272058014074,-175.62978413383453
117,2015630,-175.05172992441143,-179.12879347810525
118,889703,-175.2736072387885,-179.3506707924823
119,1410706,-174.89125605487996,-178.9683196085738
120,1316923,-171.18042215777848,-175.25748571147233
121,1450156,-181.3320773561936,-185.40914090988738
122,2584028,-171.63841288660268,-175.71547644029653
123,3458504,-175.68796178845741,-179.76502534215118
124,843303,-129.86701921750765,-133.94408277120147
125,1411722,-185.50451342410332,-189.58157697779708
126,1738148,-148.52251948236344,-152.59958303605725
127,2620653,-181.95419645471318,-186.03126000840703
128,1202588,-178.63348154450844,-182.71054509820226
129,1903215,-152.3626707911311,-156.4397343448249
130,1682201,-175.70249031089006,-179.77955386458385
131,3940492,-157.65024482648278,-161.7273083801766
132,1583934,-171.36324215913504,-175.44030571282883
133,2583954,-175.11420943872346,-179.19127299241725
134,3866744,-162.9957109903665,-167.0727745440603
135,652056,-175.46437727653648,-179.54144083023033
136,1371892,-157.9700394765184,-162.04710303021224
137,3389827,-157.40755973961868,-161.48462329331252
138,2630308,-171.94822113461038,-176.02528468830414
139,648602,-154.46628803086242,-158.54335158455618
140,2524145,-155.5289382155918,-159.6060017692856
141,2035310,-171.49857647250764,-175.57564002620143
142,3951564,-164.64782735728284,-168.72489091097663
143,2205002,-150.55250724713989,-154.62957080083368
144,507945,-167.9815239169003,-172.05858747059415
145,1049275,-185.38904938894933,-189.4661129426431
146,3336478,-182.3251234246207,-186.40218697831452
147,2399497,-171.11740472565938,-175.19446827935315
148,425289,-178.57101865787845,-182.6480822115723
149,690276,-168.99127964806647,-173.06834320176026
150,754884,-149.263344760766,-153.34040831445978
151,1056475,-178.58739001807382,-182.66445357176758
152,476732,-168.16179537371485,-172.23885892740867
153,2870401,-173.23061864488974,-177.30768219858356
154,3432454,-183.9271070942051,-188.00417064789892
155,607845,-168.98220878958915,-173.05927234328294
156,1741693,-162.92995493235782,-167.0070184860516
157,1358879,-178.30132336402127,-182.37838691771512
158,2437898,-178.37014115726564,-182.44720471095943
159,3915710,-170.46736235181382,-174.5444259055076
160,1887055,-157.13271138093143,-161.20977493462522
161,2537543,-163.84760004491957,-167.92466359861336
162,3046879,-153.99818442973688,-158.0752479834307
163,2414732,-164.77125874958895,-168.84832230328277
164,2004997,-159.41412225291367,-163.4911858066075
165,3533916,-173.22883570368168,-177.3058992573755
166,3453840,-163.31235650034841,-167.38942005404218
167,761623,-178.18940513849168,-182.26646869218555
168,821844,-196.69000141829082,-200.7670649719846
169,1129305,-172.91455527794614,-176.99161883163998
170,3130179,-163.77936717303768,-167.8564307267315
171,2783542,-138.4321026580285,-142.50916621172234
172,2064672,-173.2397158810745,-177.3167794347683
173,3704898,-171.36429936618478,-175.44136291987857
174,2706264,-167.9985865011719,-172.07565005486575
175,1823902,-171.63952108566463,-175.71658463935844
176,310300,-176.85719869958518,-180.93426225327903
177,3875755,-143.57566909200185,-147.65273264569564
178,2043351,-153.80253841229998,-157.8796019659938
179,3287435,-171.74135073029655,-175.81841428399034
180,1007668,-175.15184577355458,-179.22890932724837
181,207395,-172.40247894909714,-176.479542502791
182,859671,-178.3935574011351,-182.47062095482892
183,3502905,-150.38527455457663,-154.46233810827044
184,395805,-152.1579853034431,-156.2350488571369
185,2869020,-173.1503458079588,-177.22740936165263
