sample_id,z,y
1727717,0,-61.884499857116005
3011200,0,-61.82761086754808
2712907,1,-69.48659207585807
903332,1,-69.51483748344558
472124,0,
2906675,1,
238543,1,-69.5992706950667
619667,1,-69.99315656377235
1960308,1,-63.57365057822118
814691,0,-47.74739461753608
2433793,1,
2285845,1,-69.53337835873818
1352149,0,-62.280967925382086
3900414,1,
288400,0,-61.55020800942347
3463295,1,-68.61451741522133
501930,1,
2659309,1,-69.76783649124359
1412549,0,-62.274153256489676
3322771,0,-61.6365062784901
1144824,0,-61.81135381768182
249868,1,-70.06920010086147
502747,1,-69.14479611809676
2875225,1,-68.9105654534646
3437139,0,-62.664636928638785
1500952,0,-61.508783619551835
3036847,1,-69.98968697676388
1622296,1,-69.89190395359152
2404806,0,-61.649538818251386
1761228,0,-62.18718424195871
2779932,0,-62.02452581228404
1751435,1,-69.4700976474206
240148,1,-69.5197667100704
2215269,1,-70.0550871037464
476570,1,-70.00837464934358
744198,0,-61.69122126445161
382042,0,
1749679,0,-62.33765425175715
1291497,1,
3247585,0,-60.97709369674997
920256,0,-62.38997241836963
1977691,1,-62.342399252350944
706385,0,
544381,1,-70.57417311668614
2032221,0,-61.61066675915364
1206706,1,-69.4961973933011
3497501,0,-61.827832378411266
2918972,0,-62.46170456158476
1547441,0,-62.12152072275415
925697,1,-63.29121080517265
995282,0,-63.00952212382192
2223434,0,
1033273,1,-68.6715966205428
334227,1,
1231167,1,-68.96514177577788
1212765,0,
2854266,0,-61.54388174322151
2024462,1,-69.95567331100948
3199624,1,-69.55727828872544
1840659,0,-62.17908219722327
3432911,0,-61.275359098831586
651870,1,-69.3694699865242
1207882,1,-70.08394098068571
1371257,1,-69.5106306859986
2760969,0,
1779811,1,-69.22506880973124
608313,1,
3898132,1,-70.19305166510007
3708283,0,
841247,0,-62.33841010568274
235351,1,-68.9869901747151
1956006,1,-63.678969960228066
3692731,1,-69.37347338069827
513286,0,-62.1529341011734
3914785,0,-61.81123341874474
3059631,1,-69.13168701827837
2860604,0,-61.362552266876776
392834,1,-69.3731275567422
1614397,1,-68.84587782906883
2814644,0,
2718745,0,-62.375028796432446
1254068,0,
2939610,1,-69.11284915228202
1960259,1,-63.68533068958178
3899405,0,
2476561,0,-62.3933375794027
2565210,0,-61.87929581042385
3124863,1,
2264535,0,-61.985315320097996
2756945,1,-70.11193668159927
637432,0,-62.296990035178155
926475,0,-62.154318957155944
3704907,1,-56.91347916742464
401134,1,-69.49684672412559
3801269,1,-69.60508109128033
1288333,0,-61.96168027852948
2470899,0,-62.28389288859929
3309112,1,-69.40082052908485
1339035,1,-69.76863410801104
1542935,1,-69.90507094294553
227166,0,-62.23162086071229
3773885,1,
1035700,1,
1719252,1,-62.8165409642534
377166,0,-62.089130235887026
3191273,0,
1970793,1,-63.13130344977412
2911384,1,-69.51597602000895
3693724,1,-69.24282178928817
2964050,0,-62.517349779849745
264249,1,-69.49687730491067
1162096,1,-69.43959934248184
2840860,0,-61.682368754656395
1936216,1,-62.69459201570509
716114,1,-69.23840203645779
2409029,1,-68.49456389842862
3744241,0,-62.76632534848747
3744191,1,-68.91321205915756
3269910,0,-62.06085603468785
2177135,0,-62.394255073293536
3718350,1,
3114323,1,-69.99466969630635
2144685,1,-69.53307525996875
520355,0,
813664,0,-47.893531933748385
1112430,1,
713258,0,-61.845617429210954
2547417,0,
2182936,0,-62.076806622895944
1091351,1,
2504093,0,-62.17254016890462
755086,1,-69.80386521465228
2452093,0,-61.39263778121035
3694008,1,-69.97415211832053
3724027,0,-62.14860350218663
1719502,1,-63.93177986588089
1632150,1,-69.13527935131503
1414789,0,-62.16614238367905
1414422,0,
2567526,1,-69.44550169879199
3108579,0,-62.480659271722445
1153737,0,
3011934,0,-62.025122933423404
3726896,0,-62.1240363664093
3952564,0,-62.90034325721177
1254824,0,-61.88220975427547
2776049,0,-61.844603627248
2481949,1,-69.8672340137494
2757747,1,-70.38212209488793
2486571,0,-62.05410432766428
295657,0,-60.85763666615821
1402332,1,-69.05547645988146
2477001,1,-69.36565651855913
925907,0,
3542145,1,
706057,0,-62.23290910756117
2019400,0,
2691235,1,-69.7281248802431
381559,0,-62.22390353581591
463388,0,
3887679,0,-61.86742909969642
856693,0,-61.55536324519323
559634,0,-62.596960322452595
3276132,0,
1199324,1,-70.1958830435956
342091,0,-61.88089799214666
1744349,0,-62.599477220229645
1074629,0,-62.3552448811678
3289376,1,-69.43311606447106
496754,0,
1806741,0,-61.190247413518364
3910273,0,-61.11543294810125
1120552,0,-61.47627832609936
3869356,0,-62.58100297119008
2056690,1,
1261939,0,-61.34372813998089
1676015,1,-62.93458529025103
3408779,1,-70.31835012843193
832780,0,-62.661141306229574
401827,1,-69.13325683963991
973969,1,-69.43711955779868
3016316,0,-62.39232226402739
522098,1,-69.40456058511035
429095,1,-69.34518621065257
2538029,1,-68.89354356598659
826987,1,-69.07935770070713
2721531,0,
2808919,1,-69.49408546915798
3786507,0,
3475913,1,
3737249,0,
419776,0,-61.461318283163656
1986683,0,-55.561155309805265
2238766,1,-69.23665878065289
2114195,1,-69.88135072711798
475266,0,-49.41138363244767
1840277,1,-69.45110249935512
1282598,0,
1002764,1,
3206302,0,-62.45616594693775
3745685,1,-69.22639943659279
1427145,0,-62.307403298670394
1213661,0,
2876440,0,-62.23572627517299
1683533,1,-63.16298867466682
750094,1,-70.09527380708879
3375692,1,-69.42538254758766
2409115,1,-69.44435985633696
2995394,0,-62.22069417318596
2764160,1,-69.6014952351352
3958658,0,
1383381,1,-69.6970917815021
568892,1,
3081535,0,
3054299,1,-69.87528381197338
2856077,1,-69.34120837851822
3083072,1,-69.60292220393384
2880826,1,-70.07871023618705
3395008,1,-70.18280318344291
904567,0,-61.840100475158906
926649,1,-68.5310189307158
1389648,0,-61.61328910044777
3419006,1,
1450662,1,-69.39439738827065
2706101,0,-61.70855605496324
3235198,0,-62.15165518625597
3421663,0,-61.798310264628434
2131860,0,-62.419571041002285
2645704,0,-62.270542336879785
1333157,1,
2836777,0,-62.20875063168116
2139152,0,-62.3965360854455
598752,0,
744126,0,-61.49913002865529
3233488,0,-61.195513876618456
3914719,0,-61.82411140896765
1811365,0,-61.29073882195268
490745,0,
260461,0,-60.95651715207289
540725,0,-61.64238162676177
2704912,1,
3832981,0,-61.027832547746904
404494,0,-62.22401444655693
3094357,0,-62.04393549150565
2813438,1,-69.92997499190078
1235081,0,-60.954554079655495
3259870,0,
1872860,0,
2581116,1,-69.32023602729195
1844466,1,-68.95479979449222
3230760,1,
3891808,0,-62.18352495743763
2946763,1,-69.44845869115332
3694031,0,-61.81092671111455
3667686,0,-63.05135736044363
369712,1,-69.69373980396668
1241476,0,-61.987462389570005
830339,1,-69.44339929402427
3011147,0,-61.358569975206215
3906150,0,-62.4262531714999
2285826,0,-62.99752028463433
714086,0,
3653677,1,-70.15686701133433
2393220,0,-62.04823668442208
1483961,1,-70.05803550847759
1052370,1,-69.28190047258941
2894268,1,-68.22715363981841
3167548,1,
3467586,1,
3086406,1,
755750,1,
710643,0,-61.781839856133054
363991,0,-62.07777273781353
1295358,1,-69.60479110330711
1689805,1,-63.53578949246929
980627,0,
3225769,0,-62.4614510089717
3267863,1,-69.37413615296991
1060716,0,-61.62021267615022
