,sample_id,y0,y1
0,1727717,-61.88449985711601,-69.46675671541577
1,3011200,-61.827610867548074,-69.40986772584786
2,2712907,-61.90433521755832,-69.48659207585807
3,903332,-61.932580625145796,-69.51483748344558
4,472124,-60.98555040219885,-68.56780726049863
5,2906675,-61.537859182833614,
6,238543,-62.01701383676694,-69.5992706950667
7,619667,-62.41089970547257,-69.99315656377236
8,1960308,-55.991393719921405,-63.57365057822118
9,814691,-47.74739461753608,-55.329651475835846
10,2433793,-61.5713101823173,
11,2285845,-61.9511215004384,-69.53337835873819
12,1352149,-62.28096792538209,-69.86322478368186
13,3900414,-62.08283324552423,
14,288400,-61.550208009423464,-69.13246486772324
15,3463295,-61.03226055692156,-68.61451741522133
16,501930,-60.88814492035612,
17,2659309,-62.18557963294381,-69.76783649124359
18,1412549,-62.274153256489676,-69.85641011478945
19,3322771,-61.6365062784901,-69.21876313678986
20,1144824,-61.81135381768182,-69.39361067598159
21,249868,-62.486943242561686,-70.06920010086148
22,502747,-61.562539259797,-69.14479611809676
23,2875225,-61.32830859516482,-68.9105654534646
24,3437139,-62.66463692863879,-70.24689378693856
25,1500952,-61.50878361955184,-69.0910404778516
26,3036847,-62.407430118464106,-69.98968697676389
27,1622296,-62.30964709529175,-69.89190395359152
28,2404806,-61.64953881825138,-69.23179567655116
29,1761228,-62.18718424195871,-69.76944110025849
30,2779932,-62.02452581228404,-69.60678267058381
31,1751435,-61.88784078912083,-69.4700976474206
32,240148,-61.93750985177063,-69.5197667100704
33,2215269,-62.472830245446644,-70.0550871037464
34,476570,-62.426117791043815,-70.00837464934358
35,744198,-61.691221264451606,-69.27347812275138
36,382042,-61.99565057988534,-69.57790743818512
37,1749679,-62.337654251757144,-69.91991111005693
38,1291497,-62.05118428418503,
39,3247585,-60.977093696749975,-68.55935055504975
40,920256,-62.38997241836964,-69.9722292766694
41,1977691,-54.76014239405117,-62.342399252350944
42,706385,-61.9621656661864,-69.54442252448617
43,544381,-62.99191625838636,-70.57417311668614
44,2032221,-61.610666759153645,-69.19292361745342
45,1206706,-61.91394053500132,-69.4961973933011
46,3497501,-61.82783237841127,-69.41008923671103
47,2918972,-62.46170456158476,-70.04396141988452
48,1547441,-62.12152072275414,-69.7037775810539
49,925697,-55.70895394687288,-63.29121080517265
50,995282,-63.009522123821924,-70.59177898212171
51,2223434,-61.377679484861346,-68.95993634316112
52,1033273,-61.08933976224302,-68.6715966205428
53,334227,-61.51653178767518,
54,1231167,-61.382884917478115,-68.96514177577788
55,1212765,-62.434200768942965,-70.01645762724274
56,2854266,-61.54388174322151,-69.12613860152128
57,2024462,-62.373416452709705,-69.95567331100948
58,3199624,-61.97502143042567,-69.55727828872543
59,1840659,-62.17908219722327,-69.76133905552304
60,3432911,-61.27535909883159,-68.85761595713136
61,651870,-61.78721312822442,-69.3694699865242
62,1207882,-62.50168412238594,-70.08394098068571
63,1371257,-61.928373827698834,-69.5106306859986
64,2760969,-61.973954014800576,-69.55621087310034
65,1779811,-61.64281195143146,-69.22506880973124
66,608313,-61.21626989653954,
67,3898132,-62.6107948068003,-70.19305166510007
68,3708283,-61.246886792485704,-68.82914365078547
69,841247,-62.33841010568275,-69.92066696398251
70,235351,-61.40473331641533,-68.9869901747151
71,1956006,-56.0967131019283,-63.67896996022807
72,3692731,-61.7912165223985,-69.37347338069827
73,513286,-62.1529341011734,-69.73519095947317
74,3914785,-61.81123341874475,-69.39349027704452
75,3059631,-61.54943015997859,-69.13168701827837
76,2860604,-61.36255226687678,-68.94480912517655
77,392834,-61.79087069844243,-69.3731275567422
78,1614397,-61.26362097076906,-68.84587782906883
79,2814644,-61.63810215014981,-69.22035900844958
80,2718745,-62.37502879643246,-69.95728565473222
81,1254068,-61.711339920621654,-69.29359677892144
82,2939610,-61.530592293982245,-69.11284915228202
83,1960259,-56.103073831282,-63.68533068958178
84,3899405,-61.832735120952634,-69.41499197925239
85,2476561,-62.393337579402704,-69.97559443770247
86,2565210,-61.87929581042385,-69.46155266872361
87,3124863,-61.648477843626964,
88,2264535,-61.985315320097996,-69.56757217839777
89,2756945,-62.5296798232995,-70.11193668159927
90,637432,-62.296990035178155,-69.87924689347793
91,926475,-62.15431895715594,-69.73657581545572
92,3704907,-49.331222309124854,-56.91347916742464
93,401134,-61.914589865825825,-69.49684672412559
94,3801269,-62.02282423298057,-69.60508109128033
95,1288333,-61.96168027852947,-69.54393713682924
96,2470899,-62.28389288859929,-69.86614974689907
97,3309112,-61.818563670785075,-69.40082052908485
98,1339035,-62.18637724971128,-69.76863410801104
99,1542935,-62.322814084645756,-69.90507094294553
100,227166,-62.23162086071229,-69.81387771901205
101,3773885,-61.677805149282634,
102,1035700,-62.24026121144437,
103,1719252,-55.234284105953634,-62.8165409642534
104,377166,-62.08913023588703,-69.6713870941868
105,3191273,-60.855584180699644,-68.43784103899941
106,1970793,-55.54904659147435,-63.131303449774116
107,2911384,-61.93371916170918,-69.51597602000895
108,3693724,-61.6605649309884,-69.24282178928817
109,2964050,-62.517349779849745,-70.09960663814952
110,264249,-61.9146204466109,-69.49687730491067
111,1162096,-61.85734248418207,-69.43959934248184
112,2840860,-61.6823687546564,-69.26462561295617
113,1936216,-55.11233515740532,-62.69459201570509
114,716114,-61.656145178158006,-69.23840203645779
115,2409029,-60.91230704012886,-68.49456389842862
116,3744241,-62.76632534848747,-70.34858220678724
117,3744191,-61.330955200857794,-68.91321205915756
118,3269910,-62.06085603468785,-69.64311289298762
119,2177135,-62.39425507329354,-69.97651193159331
120,3718350,-62.162549623749335,
121,3114323,-62.412412838006574,-69.99466969630635
122,2144685,-61.950818401668975,-69.53307525996875
123,520355,-62.248593296145536,-69.83085015444533
124,813664,-47.89353193374839,-55.47578879204816
125,1112430,-62.24661014293933,
126,713258,-61.84561742921096,-69.42787428751073
127,2547417,-61.44654352959959,-69.02880038789937
128,2182936,-62.07680662289594,-69.65906348119572
129,1091351,-61.069026137941506,
130,2504093,-62.17254016890462,-69.75479702720439
131,755086,-62.2216083563525,-69.80386521465228
132,2452093,-61.392637781210354,-68.97489463951011
133,3694008,-62.391895260020775,-69.97415211832053
134,3724027,-62.14860350218663,-69.7308603604864
135,1719502,-56.34952300758112,-63.93177986588089
136,1632150,-61.55302249301526,-69.13527935131503
137,1414789,-62.166142383679045,-69.74839924197883
138,1414422,-61.87317068013155,-69.45542753843132
139,2567526,-61.86324484049221,-69.44550169879199
140,3108579,-62.48065927172245,-70.06291613002222
141,1153737,-62.260997727658435,-69.8432545859582
142,3011934,-62.025122933423404,-69.60737979172318
143,3726896,-62.12403636640929,-69.70629322470907
144,3952564,-62.90034325721177,-70.48260011551154
145,1254824,-61.882209754275465,-69.46446661257525
146,2776049,-61.844603627248,-69.42686048554778
147,2481949,-62.28497715544962,-69.8672340137494
148,2757747,-62.799865236588154,-70.38212209488793
149,2486571,-62.05410432766428,-69.63636118596405
