sample_id,z,y
3504441,0,
3199774,1,
3240643,0,-90.15008949074159
1169891,0,-91.8612784247786
3354629,0,-92.11749689752267
3290579,0,-97.75884222314205
1036531,0,-110.50946875702235
1968771,0,-85.81924599208483
2469670,0,-103.20943033680803
1301166,0,-97.29942194310296
895843,0,-91.54404362575397
2837325,0,-92.17499812887057
2738618,1,
3105412,0,-78.91807654768972
3535793,0,-91.01705168770354
2720112,0,-91.85344861823597
3043603,0,-78.42319991488202
388513,0,-117.50657866130759
1039260,0,-85.31967391267179
3840233,0,-90.81567929450814
3903286,0,-106.92093147982376
1314736,0,-98.68070304517474
2691372,0,-105.26699826830793
238974,0,-84.09244685100542
3453466,0,-122.89786265563379
2121134,0,
2945895,0,
613501,0,-77.53969472860354
1244023,1,
212678,1,
600481,0,-83.55971977616936
3801940,0,-96.705024943904
1641397,0,-98.45433649770054
2600720,0,-117.75084246713729
3850672,0,
395242,0,
750019,0,-102.8118658574583
515783,0,-104.23772608099479
3173234,0,-106.2277746501623
1813096,0,-98.2130896436513
2609838,0,-130.61109995480277
217305,0,-103.2489060633847
2838859,0,-95.6083957451188
2434725,0,-97.70130041351216
3905294,0,-103.27969721850884
2435560,0,
3409782,1,
1420231,0,-70.64525882683618
195754,0,-97.88473185370229
1911176,0,-109.85218039803011
1594025,0,
287494,0,
616091,0,
239188,0,-78.39926567094285
277353,1,
3488780,0,-98.61656277498305
3723590,0,-130.3626746460912
2256260,0,-90.44803883913764
3138361,0,-96.91706416898333
643125,0,-98.10488411493795
2787511,0,-97.82094836224809
2619406,1,
3244048,1,
569495,0,-104.6733044038584
2930062,0,-77.71727178074568
3282327,0,-96.26011996720426
2507846,0,-96.39679830628141
992072,0,-97.8662945456947
3741739,0,-103.41569876384948
607593,0,-64.30114393912574
2283398,0,-105.7571050292374
655645,0,-103.83650828537944
1646252,0,-92.20243506559198
3837816,0,-95.99543611377057
1203811,0,-124.93195480052249
601531,0,-103.99422573776704
3661135,0,-128.3823755503799
2168038,0,-110.51013854900678
2980040,1,
3184202,0,-122.5363663512503
446843,0,
807380,0,
2141507,0,-97.30036609419413
1825685,0,-116.5642654381208
473390,0,-89.29601688326571
3846366,0,-84.48471823339666
2752457,1,
1956831,0,-72.93025432764392
3310338,0,-83.32768055384871
1985622,0,
3691701,0,
3780788,0,-129.36257300529064
3372243,0,-84.76970731881906
3758596,1,
3268309,0,-89.8637957853011
419744,0,-119.05297762720843
302809,0,-104.67397657679092
582478,0,-122.41896721527034
214750,0,-112.67140706867848
1217805,0,-96.02782208701157
3317563,0,-97.51570901190959
2614128,0,-85.5486886532493
3894619,0,
3199990,0,-102.65990445155762
2454536,1,
463025,1,-86.49102058739395
3946309,0,-111.33690597562175
