ufid,n_conf(yz),n_conf(cz),snr,n_conf(y),n_conf(cyz),n_conf(cy),%_censored,dgp,deg(y),n_conf(z),effect_size,deg(z),%_effect_size,tx_importance,n_conf(c),link_type,%_treated,deg(c)
7ddeadf1bc2e47679c570b3399799b47,1,1,0.827725683052,3,2,1,2.41977662036,9,2,0,1.1494654561,2,-2.32187555368,0.51389834237,2,poly,19.8208939796,1
476784608fcf4ccda016085f196fd652,3,1,0.928009901808,2,0,1,15.727044837000001,5,1,3,1.15423796548,3,10.9348844903,0.558110626551,0,poly,46.0169798877,3
3d9b216fa14f452eb323e851439b3a5c,4,4,0.994207356378,13,5,4,34.469573044499995,37,3,6,-1.06052066391,3,-2.8913475815700003,0.30692767643,14,poly,51.675270034099995,3
fd874f0db7cf47d2aea3e4f29b82b564,3,10,0.815664977213,7,1,0,26.1970400834,40,1,8,6.14546673854,3,-6.72688488727,None,21,poly,16.5825093794,1
67b89e30a9ac400bb457b399a0ec3a3f,2,3,0.8408647779520001,0,2,0,2.63765304917,1,2,0,1.4800147670800001,2,2.09601143057,0.721347520444,3,poly,56.1324376817,1
7736d35dc6f24d53902a218cb9e9ac0a,7,2,1.0,1,19,4,33.998486417399995,36,1,7,3.6452914021,1,-1.5718414699399998,None,10,poly,58.3065511641,1
1b08598fcad948c18d671c6cfd912d80,7,6,0.8365952748909999,1,0,0,0.0,17,2,3,0.73287758494,1,3.9798846227499998,0.480898346963,3,poly,64.2708847108,3
083eb59efd2d488fb715164a7efeb5c7,14,20,0.9570127643790001,24,16,2,8.36049517525,60,1,23,-3.07447535522,3,2.1779236094,None,1,poly,24.5186486098,1
5567d3f92a93432c8041d977bb77e9d3,33,13,0.856525648547,25,4,4,9.4645561018,48,1,0,-8.791089975739999,2,4.69162693955,None,21,poly,39.7346141457,2
9f54591869a3418f83465edc02bc27a2,7,1,0.940919702783,0,4,0,11.7771083876,20,2,6,4.576905282709999,1,0.9283044635400001,None,2,poly,41.0287991565,1
170e8ab28ae845cfa1db3b3bae23e4cd,0,12,0.862145484164,4,11,5,23.0008627009,33,2,10,0.6383835160119999,1,5.56891568266,0.333808200695,8,poly,70.1132976792,2
0b3676e2530b4427965e0c612bf41b08,6,5,0.9515476320299999,3,2,3,26.118218420199998,21,2,0,-1.3742942087799999,3,11.7508136319,0.37892318169,1,poly,38.4590716256,1
33cce0e4773e49fd8299eb66206cd30f,7,2,0.9814311163860001,1,19,4,26.8748562777,36,1,7,-2.59129044105,1,-1.10301726185,None,10,poly,58.9003324477,2
b902cc756a5b45ebb48c1f4270328ee9,3,25,0.969464372291,3,11,0,5.99329578013,45,2,3,0.905315493448,3,5.65860710287,0.352956123865,5,poly,23.231736681199997,1
a13b3076894741c986af688df52d7d4a,4,4,0.946149231612,13,5,4,18.6542542221,37,3,6,1.4265520631,2,-7.5917779136800005,0.30692767643,14,poly,40.792530975,3
