sample_id,z,y
1439835,0,-152.28662229594016
1446781,0,-123.96318779128386
3250714,0,-92.1136739690024
3011919,0,-136.03283955418883
2847352,0,-152.53067558821525
1468371,0,-36.1542046098812
2418389,0,-152.556104344117
2543961,0,-165.23745799377812
3682295,0,-136.15154718957945
434869,0,-105.00152168189298
2260262,0,-105.00984977192243
3753135,0,-129.38702613969457
1244244,1,-104.69469589675106
1893333,0,-36.1193038060892
2269296,1,-104.14331670369026
974683,0,-104.99346579128895
2232071,0,-60.32255395241842
969788,0,-104.70621444136303
1431182,0,-115.82865888641872
440434,1,-104.32372619367182
2883762,1,-135.37628290601106
1571459,0,-105.38952975419858
3240799,1,-88.61997763156526
2800013,0,-105.33333472762179
2703615,0,-104.79823372114673
2801487,0,-104.6722447769637
241327,0,-104.72425072195574
2872715,1,-164.49735131614474
3955173,1,-103.75583042090923
2034807,0,-47.386311026187144
222249,0,-165.4066087740727
638061,0,-177.171333148774
2725865,1,-104.97485806984574
1741504,0,-91.90269508186002
1677529,0,-28.589625995072232
283341,1,-164.3861230759776
341436,0,-92.15095746984558
2011262,0,-123.49853681487761
1206986,0,-104.88463244217591
2996286,0,-104.56994817538119
585219,1,-117.37219510254073
2945598,0,-92.2270388885227
3377544,1,-104.92073488477388
2023175,0,-92.06000162995743
1918583,0,-115.68248573515635
2692101,0,-28.754656307930016
3787812,0,-152.1482272048509
2925097,0,-105.57732841953724
2743637,0,-105.1482259786153
1724925,1,-104.43618922483364
1375894,0,-92.28620780527324
2201876,0,-135.77383979818657
3291571,0,-104.61496256497676
224914,0,-164.91138655165926
2727532,0,-105.01094757529823
2194579,0,-4.971824311747488
3484122,0,-105.09567301601471
1276164,0,-105.19649165608584
2505453,0,-165.43401040616257
993791,0,-60.47104827987976
2887684,0,-28.501489713901076
3410317,1,-165.08452093770063
2256558,0,-91.67519148323757
3866860,0,-91.82576848156182
876348,0,-152.21150445990122
1554677,0,-92.55686587621169
1819337,0,-123.71801950794791
3733186,0,-105.08457858220554
2659069,0,-47.654654058215904
3677050,0,-71.85588177778567
345255,1,-104.79432209965606
2447258,0,-105.03650337714991
857796,1,-164.96273720816993
3911619,0,-129.6047500328474
278399,0,-104.91758640235325
1625745,1,-164.43803420605002
3122828,0,-105.07343816477827
424380,1,-104.02601718237558
2925935,0,-16.189001310542242
2445500,0,-189.88804923734062
735683,0,-104.95369197648566
1948178,0,-176.67645770844206
2798544,1,-104.61756283488391
1951897,0,-91.47464836539763
293624,1,-104.61232685843768
2721061,0,-105.11565422304153
1219018,0,-116.82602540896649
942598,0,-135.87258128668387
314160,1,-104.40345194110905
2809121,0,-116.94421160224432
1492038,0,-116.5052912256944
467466,0,-104.75342823550564
1767376,0,-92.17677240414089
2779865,0,-165.51350785094527
1261693,1,-104.48845097190215
1486340,0,-136.10689470037732
3250842,0,-91.87989795640182
3959195,0,-91.89079806407518
3306044,0,-117.01364507591494
3660517,0,-152.47938303556617
732112,1,-4.226485133190211
3834745,0,-104.88881686597904
543068,0,-104.6878179459688
1721362,0,-92.09979213700481
1737449,0,-104.78109467649396
2927433,0,-104.80624382157148
1097195,0,-105.37948033685687
2244953,0,-104.9077233095353
3546902,1,-104.15871230207527
2651587,0,-152.05451234312298
542794,0,-123.46418142081448
1024449,0,-123.38185551695133
3116333,1,-135.45065916467627
3218944,0,-105.04648738176238
2991493,0,-104.77035621476861
3517392,0,-16.195425037316866
3308138,1,-104.54381495981697
3064630,0,-104.84372227861647
3130949,1,-135.5468792266079
1748506,1,-104.14731324506866
638690,0,-148.1056531818837
3912342,0,-60.46022868398698
1857623,0,-105.30225056527576
2772537,1,-117.25646057402135
2717952,1,-104.28301621886293
1475323,1,-116.74954792093042
3280998,0,-104.969378073241
1660239,0,-92.25497795761918
3789487,0,-105.11280466429245
2597767,0,-105.04516906515848
469464,0,-92.03420984563223
3083713,1,-135.7047309811521
3021830,0,-105.23175804082572
1434448,1,-104.2737698811247
1214480,0,-15.974289135968611
223823,1,-117.42466044726264
1897072,1,-104.01481527896168
2463237,1,-104.23780452983144
1152800,0,-136.7508906723747
281949,0,-104.91690166554133
729257,0,-104.41272844294078
3782878,1,-104.50534930918235
260093,0,-92.0795850993418
3027855,0,-104.97760430036529
2010508,0,-105.11367482299913
2121608,1,-135.7958405469631
1586948,0,-165.3998046724998
1438614,1,-103.97239642875998
3197351,0,-104.99677883703542
986927,0,-105.09200389600993
815335,0,-152.50602972211524
1576711,1,-116.8015999807792
909285,0,-92.05148764871313
3947824,0,-164.85452417592145
3467309,0,-92.42465729858966
2783573,0,-129.65414148920317
1975351,0,-213.84370692054304
732710,0,-136.05249567072178
408217,0,-104.71494969177307
713514,0,-165.14437160536022
2885832,0,-136.40847023668312
2565001,1,-104.46537779667712
586794,0,-91.80449336904017
1021574,1,-136.03655134285674
998696,0,-92.16291928615867
2828103,0,-105.023585659515
3832464,0,-104.99225025429803
1154797,0,-136.02457984792835
1541796,0,-122.85597684833536
1692902,0,-117.00645054192114
1436393,0,-104.77123616883472
3178744,0,-92.13426321710092
3439580,0,-105.53633489807338
3269803,1,-104.11184409378777
829185,0,-104.84707978300982
2771151,1,-104.59194456376905
3954869,0,-104.49993603457685
2709333,0,-47.00399406289556
1750154,0,-104.96786325233785
1314823,0,-92.17163399340855
3292392,1,-104.51381473345663
2987722,0,-104.37464321818317
3783784,1,-104.16867406345327
1280777,0,-92.00995749112359
1277405,0,-105.0309934298892
485881,0,-47.57200127535227
1127146,0,-104.682291248066
3193691,0,-91.9971144802381
1416056,0,-123.04174595990006
704614,0,-105.13392226922434
3237191,0,-105.34854848345086
3944296,0,-104.8627782953791
2663588,0,-103.45809969271289
2803371,0,-85.00673781683622
2199773,0,-136.45396340374572
3145148,1,-104.23845824349871
429643,0,-104.99176367762584
3833930,1,-117.03109451972962
3465418,0,-104.59476908903368
1533836,0,-92.0299009446402
399125,0,-152.47472658540846
969422,0,-123.54240692421101
1835448,0,-105.01807855435149
2543371,0,-104.82586839173945
445385,1,-104.3761847719659
1643289,0,-104.88607408346867
1755775,0,-104.89235192712133
3239699,0,-165.19144230007436
2648596,0,-104.99937409635339
1555886,0,-91.86679941087502
2639753,0,-148.46596984052087
1316220,0,-16.382098102192142
1493948,0,-115.5435159292138
1303865,0,-105.20939249058684
3951299,0,-92.35451473564258
619445,0,-92.28228210017751
1587556,0,-104.99678867962518
3091286,0,-104.74305917146577
3747767,0,-136.1083247628134
2703067,0,-176.7246574543937
308244,0,-129.12082843714902
3025824,0,-28.670766227077696
2980608,0,-92.16090272850512
2016836,0,-105.37891435305109
2612235,0,-148.1857216889359
1327256,0,-105.17403689031843
1693593,0,-91.97325122015816
255421,0,-104.64043391510025
900229,0,-104.733912834909
2157068,0,-152.87232144029898
654690,0,-100.91901782888911
3125755,1,-104.38447542680427
3508375,0,-92.16250663381888
1283633,0,-104.87692605519028
1032212,0,-104.75221820929883
3681380,0,-92.62810685077359
