sample_id,z,y
2182570,0,-522.5035783284794
3166798,0,-514.0026263042929
2922904,1,-7.493046717725499
718016,0,-20.237645863678484
362461,1,-14.839805934399038
800598,0,-21.376552611639806
1890996,1,37.09908092947194
1123508,1,29.56819206595904
3105329,0,-7.233316550594475
1664697,0,-28.345738810453742
3499639,1,-8.38296079388764
1472000,1,-18.00469789156466
3164021,0,-6.875305975837472
3485642,1,-8.182780639896203
2474162,0,-12.518186472385281
2623523,1,0.11982218546851514
584735,1,-17.769502477624968
2806845,1,-14.780148357883531
3011224,0,-5.37151002747237
1748716,1,-18.731021173588708
1612066,0,-30.548167235329576
3215449,1,-10.94450345279051
1981552,1,-17.833099319506086
1570141,0,-506.6077366795885
1674153,0,-53.98993714805867
2007205,1,3.981587872143958
760546,1,-25.813305438457462
842825,0,-457.3488172372478
2740212,0,0.047356059850353294
976137,0,-519.4199275234205
1942573,1,-27.59362016723017
3079635,0,-513.1075365208751
1810651,1,35.82336716083766
3355583,1,0.18906439896919947
2569567,1,-20.994878004811316
397952,1,-5.640332229278574
2395547,1,-19.418172654134157
2217520,1,-18.549416953434594
3114118,0,-3.007762370234577
753282,0,-0.31422385044459833
3303051,1,-10.706306409911843
2626452,1,-15.210433262405596
1096040,1,-480.66163319478966
2231248,1,59.35655216205623
2284361,1,-51.37285184724755
3929424,1,-8.864621978803164
3434249,1,-6.406585862614953
482788,0,-39.085998099627716
1546501,0,-14.218044702133737
2692353,1,-3.180679265588343
2845744,0,-3.8804244286959957
1663852,0,-537.5646725873617
2813264,1,-5.0166583307419375
1552009,0,-502.31648534852195
893391,0,-511.80536989363384
2487163,1,-5.814355372086547
3684186,1,39.25593723897143
1984701,1,-24.23401566722752
2921672,1,-0.02215080439736733
3245644,0,-512.570288657281
3541162,1,-15.965988310251698
929183,1,-18.249365965013595
3099181,0,-20.86342935433785
2904602,1,-10.81620359730531
2990878,1,-12.295645126095117
421330,0,-8.317761193071792
1398453,0,-16.164283537309867
1614279,1,-9.523376860302054
565876,0,-488.3743790193422
1163342,1,19.74037904488587
2763848,1,-11.064352741862313
1055528,1,31.435885799446652
3430840,0,-0.9444747138951921
1886151,1,35.994310019248054
3380271,0,-519.0744572645704
3232402,0,-13.061656269023262
1583683,1,4.713933597840162
494881,1,-4.53978832227146
2628035,1,-6.929299167421965
663927,1,-15.593799366937333
2630990,0,-504.2439576892921
420233,1,-52.72156297460868
280454,0,-16.877424310896533
3507042,0,-26.77787617187593
2520797,1,-18.086673182914883
1066862,1,-469.32106031983153
970805,0,-524.7951923665886
608417,0,-515.595576103701
2221988,1,-15.908675623375744
2698643,1,-17.316588750558903
1888850,1,31.44101496651218
485959,1,-8.718965503794301
2892400,1,-4.318771748839679
562551,0,-15.76223884183582
1825411,1,41.88348520311533
2010972,1,-5.248795583056467
2540705,0,-508.54012522561214
2758378,1,-11.534261451597208
292883,1,-12.679428536815564
1136005,1,-480.33407688997335
1621316,1,-11.647740198766483
3316196,1,-7.831550203353323
3809937,0,-519.544958634721
2063857,1,-7.3236512245719485
3882321,0,-522.0373494124063
3731423,0,-4.175603147244388
2228962,1,-9.826849641254853
572515,1,-19.488323037778784
1618399,0,-19.338351895864324
1108722,1,23.48275165894457
2786497,1,-8.815216145562268
813680,0,-6.905149722235871
3954992,1,8.867801005622823
888767,1,-14.513782121658235
3116123,1,-11.45298240609548
2457869,0,-16.552214790417786
3776624,1,-6.651907364551254
2140697,1,-13.697324392787042
1620316,1,-13.93174263064375
3704790,1,-15.7268833294816
2241799,0,-16.012193968367797
3914563,0,-506.5351402792347
2191295,0,-511.1628824063781
945988,0,-17.37057145682964
2019438,1,-14.483050503401753
3132603,0,-9.630688402719228
3708654,0,-506.34741659109534
1977677,1,-29.392034876818258
2683853,1,-5.972383188370875
1416174,0,-520.2593581487583
2815614,1,-8.139225964190397
1385758,1,-10.504969080138824
2973094,0,-13.827690145030276
3857009,0,-0.7076701698151476
3130648,0,-516.4715144871102
1525304,1,-20.35194819225678
2504771,1,-4.135118865864728
3504990,0,-19.95118058911484
3364361,1,-4.036601786332007
1700194,0,-23.463684657551553
1371346,0,-5.9586313289060975
1996144,1,-4.621650169330904
572492,0,-13.139581423131773
802706,0,-512.5182964095775
1042650,1,10.051700057518273
1819970,1,-460.5862268153038
3855781,1,-36.212427536691614
1896339,1,-1.7784196051817276
665288,0,-35.51787075653326
3230217,0,-56.206035748243956
839454,0,-519.6005824418119
3843434,0,-514.9097221797067
2156056,1,-11.589481739524524
830931,1,1.4711391965283105
3183253,1,-13.030189114571648
3031959,1,-9.499721008189976
2783272,1,-16.972455445466725
2682901,0,-6.6246266921220665
496489,0,-14.657593650193112
1008311,0,-43.438053435034654
3377501,0,-515.9383899443083
2768528,1,-24.569349462213534
1498833,1,6.430742666566226
313665,0,-33.015370774037514
3947348,0,-3.8056245663129635
2179857,1,-7.537965342296928
