sample_id,z,y
2887235,0,13.510472804500846
584769,0,13.81300954105242
614765,0,13.7596217659613
3423498,1,15.229900507323972
338718,1,14.517307444332257
3295040,0,12.91411006222554
3938997,0,12.930113269164734
993103,1,14.8403368936517
452323,0,13.845173368042106
960650,1,15.015155334638443
605839,1,14.91872105390657
2217951,0,13.115247935310833
1571782,0,12.868403105527374
1401564,0,13.142083841292894
2176813,0,13.279119029191238
2133737,0,13.194654887726127
2284715,0,13.539708789635666
2877500,0,12.58106403577486
988898,1,15.744580424741555
1752032,1,14.777666312634487
461795,1,14.9591085536323
1562236,0,13.399024614518106
1166090,0,14.457195715510903
2175395,1,14.585806947884654
1036981,0,13.162634537276585
2032422,1,14.906085451170675
713357,1,14.934520500073885
3506466,1,14.716599936780986
2456433,0,12.932214174209328
2703817,1,15.18370414834301
315218,1,15.052043983993306
3257014,1,14.918478217558876
3210031,1,14.880790905634978
1202780,0,13.114228281972196
1882173,0,12.9669145283343
2839270,0,13.225102451351473
511898,0,13.125080956176559
3777590,1,15.048159123884691
1639430,1,14.715839657705526
3003609,1,14.754131706498994
626313,1,14.997966925725171
1238961,0,13.376417771766137
1990507,1,14.860897819432275
2205225,1,14.681436950948285
2262481,1,14.994178542044033
1093427,0,13.014379174170314
1630944,1,14.725070285889181
2609591,1,15.023946409115522
986496,1,14.60698996634565
2273936,1,14.802619397662873
1863917,0,13.168735486774535
1935866,0,12.936598541882145
2862309,0,14.168178330294845
1638434,1,15.11693992184243
2209994,0,13.343767856584023
2463032,1,15.23840503800084
1339707,1,14.73422369092485
1913290,0,13.096444782769629
3658857,0,13.002877557284897
3474969,1,14.982291096035105
464820,1,15.208879079335523
257545,1,15.178595236397605
418807,0,13.586378189396596
700457,1,14.79096954984452
316931,1,15.163754439871383
3497448,0,13.555748161650726
3884628,1,16.199399372523505
826532,0,13.095543774049288
2420111,1,15.121046922425812
722037,0,13.432756824672094
1984129,0,13.250417105824392
3490017,1,16.429360003479303
2686059,1,14.052545875909676
2113670,1,14.74696257996793
1338541,1,14.457577145105285
2910675,0,12.917266466089735
