sample_id,z,y
3678890,0,-0.7365231370807002
711292,1,-1.8064388335874875
1760329,0,-0.586159673788011
300125,0,-2.459786973629339
817532,1,-1.9241927102976701
3296108,0,-2.5746624120372155
3207076,0,-1.8060246588740951
368038,1,-2.1591148914112073
2152664,1,-2.907393324436112
1962412,0,-2.159967138315482
1567572,0,-2.4613880941115807
1572136,0,-0.4747710853225191
2570026,0,-0.5515084823910746
456867,1,-1.3537659047122312
1848472,0,-2.560683140474155
297940,1,-2.3472525665677932
2183533,0,-2.174949287891072
926093,1,-1.846076430881121
258615,1,-2.178604109090671
3545357,1,-2.027760823089699
711726,1,-2.6450820624445024
1912639,0,-0.7334833434858126
412065,0,-2.3186682133006946
2738235,1,-2.7333975638984365
1271941,0,-3.2335365781256815
1239253,1,-3.088455520988536
2522859,0,-3.3176544449058323
2486560,1,-2.726658567359573
3804333,1,-2.3849707645058875
1703000,0,-1.7214901507640201
1302443,0,-2.067091269952187
832510,0,-2.052774751164969
354682,0,-3.064432667246403
2855939,0,-1.457294082867685
2641749,1,-2.922172959780615
3334223,1,-2.567791286157787
2676221,1,-1.8412914849584745
3010103,1,-2.0696224440368334
920277,0,-2.7581751649757913
1341279,0,-3.6578558200238285
3231508,1,-2.3768893158249544
1087495,0,-1.5240796990723535
3806715,1,-1.8442164309204085
2112664,1,-2.473710241453043
3944940,0,-2.155853623967248
2480346,1,-2.1538409247938817
1307807,1,-2.543801543405541
3240899,1,-2.9160150150148523
1639499,0,-2.4776581616927023
3945955,0,-1.4415285018516288
232610,0,-1.544926537021984
3341541,1,-0.7410929770045172
736031,0,-2.610736288641432
962032,0,-1.7751984635915021
1419766,1,-1.9535894315717715
3309988,1,-2.9983256402717697
2412555,0,-2.202039777582698
3141462,1,-2.5300019713490447
1145561,0,-1.4993915974838212
657097,0,-2.8200970182507477
882914,1,-2.275942296121767
3392555,0,-3.2059753956437467
2043636,1,-2.0763410995404388
3455868,0,-0.712250975520477
3755780,0,-0.11644601716477626
2895303,1,-1.004736557864053
2526171,0,-0.7281623145929567
1981552,0,-2.618294989939042
362876,1,-2.7335983485783935
712616,1,-0.23540587854781914
2509750,0,-1.0978289921379805
383749,0,-1.78403434128484
389192,0,-2.9246379978367445
2157775,0,-2.228472812366221
1828434,1,-2.634318045954934
3056838,1,-1.1212574871465
1780938,1,-0.7138240260477038
229857,1,-3.2862235416023906
1472792,0,-2.0810127246502303
3782433,1,-0.5118626026235139
2597816,1,-0.6087881297086314
310068,1,-0.93525665111974
2923994,0,-2.6304619103828353
2023668,0,-1.9255941526671048
3274163,1,-2.711833702499414
3137484,1,-1.5831185163428307
923733,1,-2.882907102610147
2199908,0,-2.4833369098511002
544176,1,-2.6095496160900367
510303,1,-2.175078415303625
1726320,0,-0.6694584880095276
364389,0,-3.188605221815582
1828805,0,-1.5518167495182051
2415632,1,-2.3714433685188516
1550461,1,-1.5702025098158148
546127,0,-0.43287235244102007
1251106,1,-1.970830929891229
2113644,0,-3.5975020813164718
1146209,1,-1.5501811109905326
347482,0,-1.441203662735533
2438781,0,-1.4304519820025283
2810231,1,-2.52981477023005
436392,1,-1.122682284389541
1965447,0,-2.8998865806582144
3035984,0,-2.501158629354391
1480463,1,-2.442479291683301
899339,1,-2.5774624325080437
905277,0,-0.5168090086405305
722731,1,-2.96339775855785
1660083,1,-1.8451033680958164
2001856,1,-2.374474257514159
2122404,1,-1.8840332846329155
2904723,0,-2.89518674362706
3672483,0,-1.2879524312672999
2938951,0,-2.277432940598236
1239000,0,-2.3825361558333418
567003,0,-2.5190903193450196
825988,0,-1.6104504639178057
201564,0,-1.9301271665088149
581605,1,-1.7577184184255266
1226801,0,-2.1574199603323883
2593063,1,-0.6905686810191447
2172901,1,-2.504298962622267
539334,0,-2.567158184236587
971645,1,-2.1865760166525727
2929011,0,-3.2036481161548047
971141,0,-3.265602364185958
3102715,1,-2.911524987327849
872448,0,-0.6574833698975451
3665529,0,-2.526093720861358
843232,0,-1.5106571242441178
700288,0,-1.3031725451673069
726515,1,-1.7865695691082224
1612940,1,-2.8550867721067017
3412329,1,-2.7819858636977957
654630,0,-2.5291188091907504
1209992,0,-2.0535906041356196
2117571,0,-2.357949021941197
3941303,1,-1.6064396148286453
1087995,0,-1.7320496223632915
1906023,1,-1.61003856460266
