sample_id,z,y
1628319,0,-27.002022021075458
2707590,0,-26.112582823485408
1841077,1,-37.702923814607935
2805473,0,-24.372986309198865
826612,0,-24.66800724029118
880450,0,-24.32536605400756
1557953,0,-25.388520318778568
2597807,0,-25.564357205045454
1026018,0,-24.655698678426315
3722832,0,-24.148804566685758
3201382,0,-25.55066411515195
1981984,0,-24.526805687238106
3240428,0,-25.58987900073662
2966576,0,-24.938280925805195
3893013,1,-25.25263516127522
1143105,0,-66.33715267885272
2224724,0,-26.734356533925496
3244934,0,-25.440935537614315
698619,0,-24.426583574340473
1290058,1,-16.925750818567707
1342572,1,-17.312540784399193
2204400,1,-25.01008287321257
2571287,0,-25.639563292436637
857626,1,-25.130358645940177
992605,0,-45.15443697727684
2021134,0,-23.88094532873808
736042,0,-24.905856563515893
1866940,1,-37.93212016423911
3677987,0,-25.720776194207648
2945209,0,-17.036869170917956
3457846,0,-15.807793378061254
1774341,1,-16.208862413326127
700417,0,-25.536969422524045
2488381,0,-24.315977555295106
1899415,0,-35.693461524255895
3726074,0,-25.18180470795061
1467124,1,-24.824810821082615
1290958,0,-25.377577697886007
3949051,0,-24.265109774621546
2518273,0,-25.19354983894289
3299048,1,-15.65685246053953
1445046,0,-26.189535772177972
3177286,1,-16.94914938932651
3080582,0,-25.70308666240967
971349,0,-24.5836382913467
1261909,0,-25.07986858804117
1061786,1,-37.2771493008987
1216287,0,-25.137405999088262
317128,0,-25.980570241157498
2822883,1,-54.36301334887914
676981,0,-24.123731169285605
3862835,1,-17.099472167981656
1154447,0,-36.75989868775645
998691,0,-26.22963090784286
1041064,1,-36.21785907696744
3788957,0,-24.35746223845195
2585343,1,-25.421199414919656
1137948,0,-41.16875931666115
541087,0,-24.8548581680107
990487,0,-25.65068833619839
1716059,0,-54.03306785215373
513339,0,-23.901873332767323
3241044,0,-25.074090093091954
3531573,0,-24.75318308214578
3270982,0,-25.06809832844929
657911,0,-16.785353045930336
871428,0,-25.431133047825348
2696729,0,-23.693652471100986
695072,0,-16.83885789043451
2778005,0,-25.620615515132762
3698168,0,-24.255370352967894
374046,0,-26.028240384036568
647881,0,-25.189578404740757
1602146,0,-30.781433013302344
1426047,0,-25.565199652288324
1417545,1,-15.686256429327281
693349,0,-25.653228075648684
3868509,1,-25.54494224677043
3355092,0,-25.572776058983866
466901,1,-23.214019273563636
1758735,0,-25.885945450397656
1073785,1,-37.37828785819389
956111,0,-17.240702991001967
713118,0,-25.063455760911197
1727027,1,-17.683503932555404
496761,0,-24.828969612939765
690741,0,-24.93526784140725
2521120,0,-24.904633918607296
910602,0,-25.209748206430838
3495252,0,-16.3609117455815
2656267,0,-24.86480369842904
3326558,1,-16.189037399615525
1714432,0,-26.18625388355762
2213560,0,-24.34840834934486
1735806,0,-24.883079399187665
3794162,0,-26.28936789452446
1682175,1,-16.845311705550884
889321,1,-16.913153958723672
712654,0,-26.402919340828532
2736638,0,-24.25663119005431
675041,0,-23.702389726256683
981699,0,-23.29796741958523
878948,0,-24.701296040466033
1290296,0,-28.296936004946208
1101130,1,-29.127503063989124
1143811,0,-28.714019156499948
3502222,0,-25.67418553799132
884140,0,-24.902366981535586
423656,0,-26.004827849396193
1279507,0,-26.13014925813225
2885996,1,-27.046645235854854
1446552,0,-25.3310013773638
2014086,0,-24.868298015032128
264923,0,-26.178373457106044
483678,0,-24.792231817058894
634159,0,-25.692647978747203
3379661,0,-25.306552061173093
2488572,1,-15.990703483890366
1504589,1,-16.422529469926527
3548348,0,-23.148788933692813
2601120,0,-24.661416449455718
300911,0,-54.98631751227659
1941116,0,-25.102822005830525
2120493,1,-25.93578569036399
3112264,0,-25.622534903914268
290634,0,-27.02073659135633
2531866,1,-17.00626467897587
1324025,0,-25.51890334914882
1605689,0,-24.84691022440357
2714322,1,-24.39271097204764
1049578,0,-66.471275516727
2835816,0,-26.045144274656842
3282176,0,-24.458585010882135
