sample_id,z,y
1936689,0,-1.4512297737246613
3003609,1,-0.6323437834004497
2540705,1,0.38419141936720824
3337481,1,-2.2296726296224616
3058048,1,-1.6706554361809998
2202368,1,-1.7029421114479004
439145,1,-1.2587108622800214
3943219,1,-1.7717680391682147
3334707,0,-1.5993292213678831
3928773,1,-0.9913499062089471
816420,0,-1.5428115176979962
3409049,1,-1.0601904070190462
629447,0,-0.9904830478986484
365032,1,-1.8413569301221913
2185567,0,-1.6507736068968861
3060401,0,-1.2443353960732593
303405,0,-1.4235366199230568
1160832,1,-1.0319949653369322
3284786,1,-0.6061136864354099
1197510,0,-1.4260515428969773
3121999,1,-1.7074104243824202
898813,1,-0.47430939623342705
1342108,1,-1.776973107365611
909779,0,-0.3890780222514606
1408821,0,-1.1216881198169921
2938500,1,-0.9786681053685573
371057,1,-1.3721884890917597
3332805,0,-0.9479075078326393
372646,1,-1.0178866993975588
975198,0,-1.3665199921259894
3306270,1,-1.2499920495601984
3364503,1,-0.9906919292134884
2221030,0,-1.3894520078733534
2469066,1,-0.5873944678190794
2225484,1,-1.1199026373138605
3527280,0,-0.8837574039040965
681193,1,-0.8768398374100841
994002,0,-1.4138063341085312
1374864,1,-1.0259453878208582
918952,0,-1.1162515713659353
2286659,1,-1.1030397373049445
3224823,0,-1.6395289902171901
2732626,0,-1.3784606692105554
1982424,1,-0.7457889908853068
577233,0,-0.6979299910724714
1638838,1,-1.5966540507806775
3653426,0,-1.3295071951683735
2791785,1,-1.373270494357997
1539701,1,-0.9720681289151273
2831659,0,-1.6560049874342324
493603,0,-1.232462761777089
2128001,0,-1.2895184204894121
1468426,1,-1.3976501607491496
1362250,1,-1.389926788820802
1019320,0,-1.6939172229485673
300554,0,-2.0228607072198517
2177960,0,-1.6474525850558568
270126,1,-1.584459986969294
3332651,1,-1.3388104206779987
3041849,1,-1.6393395158799469
1908384,1,-0.6755119062457718
1871829,0,-1.023145087909852
3163079,1,-1.0240627398225506
3879850,0,-1.8439266804533694
856741,0,-0.6493871982189059
2887936,1,-1.0049863362265286
1869764,1,-0.8269640858935666
1815126,1,-1.3306061879713553
3732150,0,-1.1426652840130884
