sample_id,z,y
2602154,0,-2.532876744935443
3719155,1,-2.9802761689910415
911679,1,-3.6578988492256688
3014519,0,-2.356214824896958
1553917,1,-2.627069519801711
3431486,1,-3.0654028904919564
2459087,0,-2.58699381673353
1197474,1,-2.377990061500205
1638434,0,-3.3250423051190374
1547218,1,-5.301876703237329
1640549,0,-3.6427676672584477
3429829,0,-2.205443758733823
1288419,0,-2.913201404955646
2487531,0,-2.5538730664925477
1998805,1,-1.8848794112473772
1388243,1,-3.2602041216145357
1980681,1,-3.0756132067338497
1465092,1,-2.406857516582325
2481198,1,-1.8299538295298208
3242224,1,-3.523310091132087
3308396,1,-2.82093949616257
483717,1,-2.528039641978659
3143475,1,-3.3726651330765205
1811976,1,-3.9136347861465874
3304372,0,-3.083637660777952
1641881,0,-2.307051695859144
2283340,0,-2.5273855742697293
3266187,0,-3.085180906551455
1663702,1,-2.9507631381074004
2563262,1,-5.047575787183086
2586873,1,-3.640863352341697
2144841,0,-2.339687732134711
1472202,0,-2.895464587513088
3412052,0,-2.0270568934295996
3341813,0,-2.0720509512254215
3540218,1,-2.019781299188284
3388585,1,-4.161819401081461
2933875,1,-4.8377070162628035
533965,1,-2.4079741218469706
351304,0,-3.705472265676359
2181194,1,-3.1817715038152903
3011015,1,-3.0246944479861044
308040,0,-2.9491644312582617
262706,1,-2.2633124928190824
298193,0,-2.334763636263924
3257812,0,-3.068653861131993
1637540,0,-2.7987125008494362
2207504,0,-1.519657289281159
1074377,0,-2.424586971464602
1162152,0,-4.3123100558201655
1999201,0,-2.586360479640909
3170018,1,-3.1617739069116233
2197278,0,-3.7400313054775687
3959591,0,-2.065768159477063
1239397,0,-2.766218882035995
1905445,0,-3.813889999248667
1030184,1,-1.9731117297767635
1408685,0,-2.2095270223314487
2524221,1,-3.4552468111822203
1600912,1,-3.2271976591661193
580949,0,-2.8856427304189864
2423986,0,-2.2110102998927164
2214706,1,-5.665577217340055
3102125,1,-4.110573096174136
3943440,0,-2.60721629564195
1458381,0,-2.433590481384002
2220587,1,-3.7286485434055403
3413945,0,-2.7382212286808327
2420000,1,-2.9876183944176207
2575559,0,-3.975572879992544
3454966,1,-2.7779093133613224
3315818,1,-3.9441634838730164
2029661,0,-2.3255743308259205
2472820,0,-2.595528020687132
3278287,1,-3.1894456694577613
1613093,0,-3.263803963793455
832845,1,-3.0419656842368505
2526084,0,-3.729556992770062
1678317,1,-2.134225636635934
1129635,1,-4.041796390007048
3362241,0,-3.288558458753024
732307,1,-3.1126382396715213
3502392,1,-2.808510739059068
915854,0,-3.9019218629766605
2822938,1,-2.1061633671743785
3947339,0,-2.0948163436563036
979328,1,-3.3123466830928385
501988,0,-4.819678814373638
2457500,0,-1.7544234422337186
1083900,0,-2.468413549898348
470650,1,-2.1950438402330814
2631213,0,-2.608320405230563
1092127,0,-3.9399785736813593
1578324,0,-2.334092956107696
614698,1,-2.58222717050724
3340420,0,-2.893331592588636
317510,1,-2.473442953464146
3184372,0,-2.821687085500725
232749,0,-2.7147818454304113
3363414,1,-2.741412321750077
1873926,0,-3.4927363238200932
2190793,0,-2.3307327906712407
817763,1,-2.9580657285157
1767943,0,-2.5567663081756637
3893969,1,-3.2864878804467996
707212,0,-3.1610642852152684
298474,0,-2.9417208352758104
1315822,1,-2.3160910884343457
509635,1,-2.996770895967648
335911,1,-3.4268684921453048
1970793,0,-2.2261087227613747
1431539,0,-3.0675707429744876
3286159,0,-3.5400738602667046
2134595,0,-2.5479414538240843
1037416,1,-2.5775973447529874
339802,1,-3.378140689741756
579535,1,-2.888793543208175
1940542,0,-2.41346415508774
2909973,0,-1.8950975928743907
948400,0,-3.147333497731088
1530363,0,-2.296376947214865
599029,1,-3.3985837201205213
2211659,1,-2.1986138063602496
838205,1,-2.3970531865735367
1166597,0,-3.864325691735048
3058404,0,-1.9856972062545954
1501928,1,-2.3698105992603975
2440960,0,-1.9900956929204687
2638608,0,-2.3541804466864815
2281154,1,-2.1640512643007277
2572454,0,-3.9373361174388752
726154,1,-3.3680799651794584
2171322,0,-2.4875407972059973
3655715,0,-2.920155193525308
3727457,0,-2.0879225295758075
3150627,0,-3.2279730071299215
1224775,1,-2.766248608523047
525963,0,-2.6780266840727953
2201852,1,-2.5890349424953594
1104198,0,-2.1256558462809862
2658153,0,-3.1863117787315396
3262281,0,-2.4009591551946707
3111045,0,-3.558851657162734
3892128,0,-2.37085332191598
3151729,1,-2.497578381869161
1315049,0,-1.8913822451819011
3531560,1,-2.7334646435317094
514951,0,-2.657150560731034
1078188,0,-3.2790301809356364
280692,1,-4.724827925687141
2929011,1,-3.093461820669339
3525043,0,-3.250415495085284
1707264,0,-3.3510405111722776
850540,0,-1.9253783501910227
744155,1,-1.815074771982147
897244,1,-2.3523872651443467
1039893,0,-4.468074272031394
952359,0,-2.4867646409234965
2607075,0,-2.906972492595045
2826673,0,-3.1614637672398778
1667643,1,-3.4683097975583195
464642,1,-2.2503756634690215
1854156,0,-2.58747992269151
348552,0,-2.5917420444431474
2392222,1,-2.5819905208752707
512020,1,-2.628668357787048
3667764,1,-3.1530202949411716
903975,1,-2.293206748415714
3052637,1,-3.464135979269582
3024943,0,-3.113097861874808
3953047,0,-2.277918245441779
998691,0,-2.258071218135756
2490060,1,-2.3974371265299137
3863824,1,-2.7683474589170403
2621831,0,-2.9705707764052387
1383967,0,-1.706180897142253
2531823,0,-3.4243180313107366
3427013,0,-3.173253753759946
1424478,0,-3.9583240748763573
3497210,0,-2.155491142109506
