sample_id,z,y
966245,0,-389.04581017686536
3245886,1,-128.80266763151607
2884846,0,-232.20894346693728
2740321,1,-161.2495285849006
627352,1,-230.40017478207514
1314657,1,-138.4483470264465
1891466,1,-160.7238410298943
3517710,0,-661.6901149146962
468039,0,-628.1457064762218
1278094,1,-89.30082283163853
3443894,0,-662.7087132348812
201803,0,-670.2271584868442
2812891,1,-175.17226445774176
3129433,0,-662.1235243807253
3127777,1,-125.39620254877126
1910157,0,-663.6782016587813
2041136,1,-172.80600013050838
1736008,1,-110.65750588672319
3789072,0,-657.8705772753506
3250030,0,-653.011216014596
3939316,1,-162.48333881156918
275979,1,-200.46256471509324
1262530,1,-111.46453780078205
246393,1,-220.47438918819685
1978064,1,-140.3707382445404
1712229,0,-597.263265820426
274220,1,-209.79616360308646
2518262,1,-107.94307975330287
723909,1,-99.02153800053502
2806619,1,-145.50661056327337
671172,1,-98.79750253458727
3475903,1,-105.20107667360061
3839773,1,-163.77513913032197
2805285,1,-132.619023933448
3035330,1,-237.94227270602343
2229884,1,-211.28726812338365
2701171,1,-216.03091591672438
2173014,0,-221.68338200405216
2708656,1,-136.7814473271675
1890302,1,-186.58148413787603
3944126,1,-127.78389359748486
2855891,1,-125.21462839027883
2917004,0,-142.1754482123801
915252,0,-295.3614663193008
3327087,1,-173.79435375571867
1660436,1,-159.3294863492802
2593702,1,-255.1327936268096
3546274,1,-168.72719753715143
2697517,1,-127.86641479980157
2805161,1,-109.77172774725737
1096299,0,-615.9187599249701
1393633,1,-161.38843774155154
1975264,1,-254.55392537526254
334426,1,-127.34425176475096
2252419,0,-177.11146591245233
3179246,1,-171.97775468342465
2761152,1,-170.56806383863886
3450368,0,-659.0398906347567
2257562,1,-210.41457313709117
3341788,0,-665.7496171790699
2938204,0,-765.2961314093184
2584308,1,-115.96414482159314
3922602,0,-228.12356619829214
3174552,1,-164.65169739022772
3686845,1,-220.4367565889786
3948099,1,-176.52196092330436
3187956,0,-651.845708843797
