sample_id,z,y
1742755,0,-23.14738201309764
3370476,0,-23.498890616733576
2563497,0,-1181.6603280423442
2991219,0,-23.09034199327683
666293,0,-22.90904134353318
3759077,1,-21.377523812867143
242633,0,-23.05568034444751
463601,0,-23.13753646182772
502949,0,-23.112175239576686
2762938,1,-21.306003464915474
2420349,0,-22.878182230518533
2135192,0,-23.492185408357056
3775741,0,-22.649880470543863
3029939,0,-1181.8217276829741
2607798,0,-13.053704079476026
609627,0,-23.05925281233383
1316224,0,-23.232218278267407
3225843,0,-23.22865724977427
258963,0,-23.49856510345937
3883455,0,-23.06591914335824
988101,0,-23.34100115799357
2027258,0,-22.90921006493602
1385990,0,-22.964485868561205
297028,0,-23.191797598857498
2504511,0,-20.42705255034179
2765843,0,-22.70995173326538
2440959,0,-23.15231172060167
1678275,0,-23.082318939868077
2552479,0,-23.007552109392815
2817353,0,-23.214286734999458
1202097,0,-23.084062154178756
416991,0,-23.001648256855113
1782005,1,-21.343068342052188
1636621,0,-22.94808135199913
751561,1,-21.287932446538097
263321,0,-23.851172780379105
877202,0,-22.90860489323816
818896,0,-23.825505047004192
3087392,0,-21.498867165292914
637607,0,-22.676404654578057
3236887,0,-23.029151257593238
3454966,0,-22.998788291895032
1048228,0,338.1321052674904
3164084,0,-23.238608937252966
1057082,0,338.2302464133704
1362951,0,-23.021656152855765
3836845,0,-22.23718976598085
666943,0,-22.754136086899432
2014492,1,-20.96930307297719
1460791,0,-22.881052756111025
2752977,0,-22.785370479236633
622920,0,-22.9291662482355
3807581,0,-23.633774764475202
1139685,0,338.19253023816674
3890682,0,-23.003049337595847
1934076,1,-21.509477273325817
2921642,0,337.85145323160816
1717890,0,-22.77790958294042
1221688,0,-23.16738813232623
3054038,0,-22.9884626533321
711726,0,-23.306428824625524
1612636,0,-22.823448236044744
3005624,0,-23.279904947397032
446582,0,-23.167750142121125
2650947,0,-22.95056533399811
1347569,0,-22.59112629641808
362336,0,-22.935027056602234
582992,0,-23.060826239933917
717880,1,-21.589793845446177
3508050,0,-22.790739587403404
