sample_id,z,y
3035903,1,-39.46701231599776
3108325,1,-39.285747173822976
2746170,1,-40.4440833491044
1775890,1,-40.22036047810696
275875,1,-39.22979736575472
599089,1,-39.482204729647286
3287897,0,-39.56212935913109
642599,1,-39.56625136567134
533680,0,-39.84246534031092
1945810,0,-40.3514149379488
2476957,0,-39.38728104695435
1478559,0,-39.227844232765925
1741738,1,-40.17833784972743
1944976,0,-40.16348385707163
2698198,1,-39.839005783457274
3850613,0,-39.63517013921229
1594475,0,-39.573816284516845
1350777,1,-79.83941560745507
1057739,1,-79.6565137924563
1354909,1,-40.2493918731005
2395173,1,-40.828984827333436
684523,1,-38.93378268302126
2229365,0,-39.33884603049447
3423886,0,-40.63743168524282
3954312,1,-39.00266003863266
3011132,0,-39.51051323825147
1702976,0,-81.36038809642723
3765057,0,-39.63080254746845
2450195,1,-39.641546358597736
1933760,1,-40.42910893555485
2907387,0,-40.46615249949053
2669352,0,-39.160499227451666
1441372,1,-40.634225737042605
2132082,0,-39.28919574117059
3505179,0,-39.092604448034
436016,0,-39.92017242111044
2123461,1,-39.382511745577936
1433757,1,-40.11776555254309
655333,0,-38.98968355089986
3262715,1,-39.83274290427299
556112,0,-40.325207151717535
1338693,1,-40.12558258710207
531410,1,-40.69367730475291
3470090,1,-39.67652653427946
3733507,1,-39.79175633400104
3351116,0,-40.560474339638844
3120014,1,-39.972461698091614
3135107,0,-38.973476969953246
610130,1,-40.01124853090683
2497159,0,-79.67123394451795
3884669,1,-40.17542225802003
3538607,0,-38.92511265110905
3739116,0,-39.40111613697098
3684186,0,-39.99845783327652
3124049,0,-39.497641230125666
3676075,0,-39.70529436908516
415491,0,-39.7279771505576
1545151,1,-39.50111177150229
3144518,1,-39.76458136335632
939659,1,-80.11294026949362
490810,1,-40.644242109199546
2271268,1,-39.68379034835578
3501017,0,-39.65901592318699
1977793,0,-39.16933617611657
2929026,0,-38.851232816875374
2396325,0,-39.38153800785849
3765675,1,-39.48389727922133
3486947,1,-39.596449877168574
437153,0,-39.446142112846154
1601572,0,-39.29300355683285
2544651,1,-40.90133507107565
2520979,1,-40.299755826752936
1284833,1,-39.947853569603566
2013088,0,-39.55287371514884
197117,0,-39.430028435158086
2425540,1,-39.52364692072777
2467742,0,-39.12417724741375
1024760,0,-39.885618785275106
537765,0,-40.20267835906091
2039914,1,-39.82602935427303
3061332,0,-39.42912680799709
3232579,0,-39.563060284532575
376596,0,-40.37191501040211
1047771,0,-39.15644484820942
581018,1,-39.30692775892191
1642687,1,-39.53940210861056
2887235,1,-40.07482213517559
1002647,1,-39.564553409295165
2853146,1,-39.87213537555392
982616,0,-40.49195160017665
2162611,0,-39.64516547707693
3418683,1,-38.9941589920912
1731420,1,-39.90118135417319
1290617,0,-40.06608363154728
2787977,0,-39.984733391706
1737097,0,-39.92533075553374
1531055,0,-39.244917035170154
2530064,0,-40.45843332665374
2982525,1,-39.699714447187446
666583,1,-39.81463381024015
1540776,0,-79.42621891415504
1454008,1,-39.56348928432397
2487531,0,-40.128741453580034
2159600,0,-39.77373305735698
3216754,0,-39.48194417693527
1338526,0,-39.567933224314366
3344540,0,-40.30811436277799
1137460,0,-40.25253399575297
3351628,0,-40.37262491946208
2671110,1,-40.36171194487208
3198430,0,-39.35397336058983
483450,1,-40.04239095424571
2056692,0,-79.45122126766886
3281762,0,-39.47252752187034
2039029,0,-39.31525102001831
733114,0,-39.843718613013095
1697122,0,-41.439625926417634
2478472,0,-38.57779163470741
2668329,0,-40.30246414424067
3103503,0,-79.22338278636502
3481025,0,-39.01324674411591
2672231,1,-40.31588627289038
3051188,1,-39.91036253227128
2120323,1,-79.9402331622091
2212868,1,-39.80132611019458
2601111,1,-40.13869530191689
2522462,1,-40.16777373432742
2623796,1,-79.5251300593288
870194,0,-39.02209556892391
2833134,0,-39.46307104095722
877509,0,-79.16038932960362
3696961,1,-40.47882904066108
2748671,1,-80.18284560196986
820646,1,-41.12892363432886
3203348,1,-40.04907976418995
205425,1,-39.609377653697116
2476561,0,-39.41601294816861
2889168,0,-40.09868126373343
2474517,1,-39.689582749155505
2711356,0,-39.081597717404904
2633027,0,-39.522052208540096
3245011,0,-40.6740244595208
599991,1,-41.13385988275912
3272044,0,-39.376311289816236
657888,0,-38.808509606135246
1937325,1,-40.5887598988752
3903316,1,-41.552605999902894
835294,1,-39.77886618029034
2224345,0,-39.247920537161654
3652823,1,-39.911157241767114
1663666,1,-40.072945939440295
2273269,0,-79.61669502312559
896048,1,-39.53901718948487
2663174,0,-39.92241286674669
2223392,0,-39.50038311033605
3889065,0,-39.55180453980075
2112057,0,-39.76306359755408
2753837,0,-39.19192902999753
2921717,1,-39.31618327718666
676177,1,-39.4460922123633
584604,0,-39.02175384453842
2817305,0,-79.90403954812848
1118820,1,-80.30523325577268
1300881,1,-39.91155971025301
2551179,0,-39.998526418263374
1361811,1,-40.863957507546345
593938,0,-38.474710903286486
891601,0,-39.719209427405616
1727615,0,-79.86509416993586
1822264,0,-39.190671841198075
1027961,0,-39.85896065517425
1486193,1,-39.269819522145106
396891,0,-39.68353919318946
3173346,0,-38.96703146196488
2410289,1,-40.06616626242312
2638608,1,-40.33525517469923
236802,0,-39.03193939832558
3194485,1,-40.058921010191774
2407083,1,-41.59191697448938
2641781,0,-39.797019578933316
1205675,1,-39.974178167904036
945871,0,-40.2499180217966
206941,1,-39.40196853893794
2869307,0,-39.517283121547806
2167397,1,-40.6299055814029
1335854,1,-39.85824422320206
1145135,0,-39.27060105558065
3398680,0,-38.7802913615012
1943414,1,-40.90467657896346
997594,0,-38.850749358515465
3161287,1,-39.29743090254604
2964783,0,-39.20461968078281
1133682,1,-79.76165750344204
1675094,1,-40.799916575741214
1336586,0,-79.4457452887973
1992812,0,-39.44580749221243
2806882,0,-39.133137935056894
1445064,1,-39.79123688865591
896426,1,-80.31281192168068
1727964,0,-79.58748705188626
2756221,1,-79.78263870677657
3054120,1,-40.11493618684504
3003075,1,-39.43249253181058
1413237,0,-38.40229510145082
2902461,0,-40.143877535386714
2221987,1,-39.17436526401272
604366,0,-39.32913901243511
482993,1,-40.36455506684665
3884414,0,-39.09564639168265
2787480,1,-79.69753531015199
1099242,1,-40.43012600382098
2927433,0,-38.92115399377497
2648295,1,-40.03119941241615
1681840,1,-42.35080484453302
211258,1,-39.41467519647892
2842693,1,-40.056109754467
2414416,0,-39.18952917973622
1321100,0,-39.50259133879592
2863429,1,-40.13638274394084
1247289,1,-40.408724883552715
494599,1,-40.70684302844329
2849784,1,-40.1528156788818
3949491,1,-39.53854266707895
1740131,1,-80.15886872141799
392725,1,-39.64666261814533
3432322,0,-39.0540074000554
839741,0,-79.85159055413074
1483444,0,-39.0961957458268
822040,0,-41.191785129907245
3326917,1,-39.86901944460383
2819229,0,-39.11882814580406
2516695,1,-40.975521197399786
2776282,1,-40.102964865345456
2282908,0,-40.40485359222738
2005624,0,-39.399777212394525
2822176,1,-79.91444853695258
3502469,1,-39.74933157373977
739479,0,-40.00094190503875
2171322,0,-39.979163716677256
2732755,0,-39.578702694633705
617057,1,-39.03220945366383
2812451,0,-79.93501990726274
3427291,0,-38.62303607625362
476799,0,-39.81436941410832
523076,0,-40.47259245735017
408263,0,-39.83176491977443
2439243,0,-40.880626354683216
3144968,1,-39.74938006990257
3070725,1,-39.73515505288875
619630,1,-39.332804158908914
3838913,1,-41.87979369611835
995363,0,-39.27687648191377
685627,1,-39.154353932944645
3862596,0,-39.3586690913792
1402883,1,-39.5161798852046
3285546,0,-40.154736386023345
3340119,1,-40.57967726574639
1212799,0,-39.917522315225945
859249,0,-39.436088659765005
503935,0,-39.75340036672935
2866811,1,-39.902589205551514
2675237,0,-40.15998111065246
2172110,1,-40.48874684192076
501988,0,-39.69154793741474
206153,0,-39.03085513230741
361647,0,-39.95226540430188
585652,0,-38.40221854597438
2698355,0,-38.924900725269765
3321325,0,-40.05642497283222
585936,0,-38.66476435331665
487320,1,-40.276792809000625
494789,0,-40.13216921146333
3114243,1,-39.88484859522194
1967847,1,-40.891564055270734
3936346,1,-41.96232743294081
2732537,1,-39.54389817230553
1935866,0,-39.83257558117377
3908327,1,-40.60992385605953
1506979,0,-39.296309647507556
2456999,0,-39.05467743284637
2849602,0,-39.446776043293326
1316872,0,-40.24763091039127
1734741,0,-39.27097358570809
3544339,1,-39.33092166312413
1442282,0,-39.51496038147491
