sample_id,z,y
2703313,0,-30.485391247443623
2844341,0,-30.788760958948302
2233069,0,-2.8250407347406297
1960545,0,-1.9819460455522613
2597816,0,-30.84062457282143
2883727,0,-2.1227210541782653
855448,0,-30.886818301928148
1956093,1,-2.0809399105904243
3422008,0,-30.628629182451363
2911904,0,-2.4215157109072254
577468,1,-3.336216924443982
945814,0,-30.346980060343107
732086,0,-2.9980891700849583
2848981,1,-3.9311778646176365
1867589,1,-3.0782042972079013
2939299,1,-4.0993155267148405
1167970,0,-30.62401871645913
1434226,0,-30.64074292185361
3655437,1,-3.5084977462859395
449610,1,-3.6583189398036637
556731,0,-2.76166151672396
2673695,0,-26.88141752494361
2491917,0,-30.354785905918252
2029595,0,-30.98400397599766
372310,1,-2.345511330162799
2609191,0,-2.8767356188319155
2922916,0,-0.5272760331006389
460039,0,-2.697934706057448
3885088,0,-2.3317631882541394
2283242,0,-2.5872741169040596
256982,0,-1.3149009844518158
1536888,1,-3.5280747080376504
3176418,0,-2.8863502896326994
231849,0,-2.8934363203211744
2445399,0,-27.668810349144252
1880316,0,-3.135506800947379
1087970,0,-26.008632840119034
1028218,0,-1.9774542251233875
3765623,0,-2.2193925667416305
1394369,0,-2.110749583740531
3322549,1,-3.058565043962665
2270847,1,-3.679260910391311
396447,1,-2.9486969730350983
942596,0,-3.080781508934036
1296866,0,-30.504112274131142
1718767,0,-2.4935594338988136
531336,0,1.6396850029037302
1908061,0,-30.63747691989114
382747,1,-2.61407173731811
403418,0,-2.8734633768030258
282864,1,-2.9704220535547448
2666210,0,-2.9123594784871516
3539294,0,-30.422797496470675
2252140,0,-2.078777762351871
1506237,0,-3.1065297544913544
1661357,0,-2.792714127279697
1405235,1,-3.1071874207802668
1239366,0,-1.0358370600282603
2702821,0,-1.3741946530976672
913032,1,-2.967550947731432
2112678,0,-2.7281020165525054
2767205,0,-2.9994548504789975
289348,0,-2.435875384816655
2994734,0,-2.250271173462717
3854669,1,-3.486177355791382
3353856,0,-2.6224314846661083
3757967,0,0.3997475071225496
2391047,0,-30.684660960375762
3724163,0,-31.027352008140348
3438092,1,-3.01194579801867
3883531,1,-3.4633891479717946
459550,0,-30.74809497856307
3867227,0,-1.3552223506509078
1067900,0,0.2668924881302879
871244,0,-30.259013991544947
3026779,0,-3.5396331610413423
2615505,1,-2.9615914450404413
2213735,1,-3.031650070347756
3713153,0,-29.988032669515956
1733516,1,-3.7671078274842875
1740406,0,-1.6609897679183492
