sample_id,z,y
1775694,0,-41.63967596252727
2857124,0,-36.016633876033644
2761412,0,-40.731048782302636
1023208,0,-20.236469102032814
3152391,0,-64.77196797326164
2018484,0,-22.1313364239413
2980254,0,-37.45699369829346
1056307,0,-6.342286003982352
1496148,0,-47.224708420086365
3208763,0,-21.148556285520293
3219792,0,-38.957074493975085
2136511,0,-47.923814683223526
2119374,0,-12.61313861126108
1838965,0,-26.37464048743756
2887096,0,-39.57122925073454
390081,0,-21.09367791585129
2808454,0,-36.41791462470191
1567937,0,-49.959074821547176
722730,0,-41.015083573603874
3241044,0,-32.01073476865977
1372043,1,-47.84169495059952
2767205,0,-39.048169669976765
1050125,1,-49.85864600614183
2683508,0,-49.81220555307888
2024502,0,-35.33577014294198
3245011,0,-49.20041083393981
3100489,0,-36.284408536446605
3928127,0,-34.82441843111524
960242,1,-72.14466993709277
2128345,0,-46.56412962931629
3037480,0,-38.31498464717928
3734115,0,-36.718462886637106
1251106,0,-34.5211489269786
611038,0,-41.917350428271384
404796,0,-20.97653087449327
1638904,0,-46.08832687912859
485286,0,-21.405719640641653
3090048,0,-42.69543903973326
2534885,0,-43.9265661418752
1975110,0,-44.24526863246131
852827,0,-46.88193571068462
2968820,0,-46.89521090874961
3074658,0,-43.902590004499245
1028383,1,-41.56914877220546
2908327,0,-36.24566464926049
1257119,0,-52.52402022959272
306644,0,-43.88181617499294
1707657,0,-20.54910163361755
2966237,0,-18.777839428417977
430178,0,-42.92511816404923
1976701,0,-48.68259592551169
3784254,0,-48.65201653448708
3409311,1,-47.64648662766908
1228066,0,-49.30410685980534
3506957,0,-12.712791391908464
2977579,1,-63.11922447908405
3271236,0,-40.93505884975419
2458793,0,-35.51365153697375
1146093,1,-71.45525275946623
2831191,0,-29.437406409693132
3472982,1,-47.43688142025537
977934,0,-53.08559272603412
2802326,0,-40.00673769425207
3805215,0,-58.89789231599306
3073876,0,-14.002646299560956
2687478,0,-41.55454887073898
2893322,0,-42.22381466727315
586285,1,-46.27973665654653
3149873,1,-72.57428985728299
2182597,0,-33.606277172759306
3529275,0,-43.51934763012246
2884092,0,-59.02839201372759
1148081,0,-18.81645494485551
3701661,0,-38.097222790536534
276946,0,-23.891629611512357
457921,0,-35.83610785887093
2575670,0,-39.300589445288765
3179961,0,-15.248863524777642
368314,0,-44.424977128381364
1326183,0,-35.13699297026747
1740778,1,-72.48574230586316
2647654,0,-39.58291357682504
3248736,0,-17.502008636684465
1350504,0,-39.239901082140115
2879550,0,-40.999841216892754
1827531,0,-41.64904915740884
1553780,0,-40.51512338126092
2128051,0,-40.83726523186563
1463829,0,-41.72689148079414
3879820,0,-40.35643092520671
1093352,1,-53.508215713560766
1083459,1,-41.99021294223082
2910279,1,-26.263313336965126
2884581,0,-32.838348109128695
1377600,1,-49.4648080940111
1335854,0,-33.89274568709668
1246563,0,-38.81518196519576
3027933,0,-44.52594760782094
2461987,0,-35.95448269210462
966704,0,-46.08196797198471
3872891,1,-50.62078576489901
1753869,0,-52.17638977848989
3849080,0,-37.077975270594344
3536621,0,-41.062626674705555
1295200,0,-70.76419305315963
1383322,0,-48.56877865539371
850038,0,-43.289977023586836
882437,1,-43.380722263115636
2755742,0,-43.09920130072874
644143,1,-71.61583613364068
756361,0,-59.605856644157214
3506318,0,-39.008312277183045
220166,0,-27.25689679026857
2575481,0,-39.51184236845719
441381,0,-41.67838976477391
2216287,1,-72.62861783627642
2465382,0,-41.74290608596741
750856,0,-44.376575532783505
1562813,0,-12.325090772351649
3315179,0,-29.292741253485193
729240,0,-41.21993108752017
3460690,0,-38.73203731210713
1956836,0,-38.502169339973555
2834156,0,-48.22647410384094
1120552,0,-40.678786266646526
3761631,1,-47.90907800142014
2572149,1,-69.8947309556028
2806201,0,-54.702208354292615
3251908,0,-43.7108881652981
1325693,0,-48.39224638637448
748182,0,-39.859810979979244
3875821,0,-15.89552607065316
847820,0,-45.32547514248861
3213714,0,-19.044776044413645
2529141,0,-34.247132828622476
802522,0,-49.81036151139955
3150627,1,-72.63305235086767
873634,0,-33.666546266447675
1536078,0,-32.979526427405645
2797280,0,-44.38636156210726
3077329,0,-38.398873278016964
2817601,0,-42.898476827290196
3749301,1,-58.503633550270166
1491148,0,-42.60550759629884
815381,0,-33.583883103074356
264066,0,-41.58397279034582
3128506,0,-47.09276740056894
1911538,0,-52.98761387184869
862729,0,-27.538549483015167
1619393,0,-44.89580702591568
2875574,0,-41.37822747298162
2535546,0,-50.091363148185465
3700096,1,-52.427833396006605
3508655,1,-55.619551993873195
2703273,0,-42.824707021882006
1026210,1,-72.37074469634288
3729660,1,-47.777852243815026
2444743,0,-41.496258904831244
1254469,1,-71.83282977101415
1540127,0,-62.2157636505474
1844555,0,-35.456864057907126
297058,0,-20.878028323621614
1912435,0,-32.35582359930266
3017788,0,-41.430857061082214
437592,1,-67.03954670921522
2985881,0,-41.64321705625673
2247716,0,-52.066195069214054
569933,1,-65.96654864537966
713242,0,-46.49789161627433
3855236,0,-20.85871079805777
3101175,0,-36.83366249939018
2022471,0,-46.64160887957517
1302324,0,-60.181015647099024
2932110,0,-33.814323544003884
3718777,0,-32.03698771967565
273742,0,-49.413260734568055
593917,1,-59.98311002305833
1385075,0,-26.719033386857458
2681222,0,-41.16724941339286
695988,0,-50.093812199343574
