sample_id,z,y
704730,1,-30.254861719215302
2254800,1,-30.224831605192005
2025414,0,-27.535080138081366
3190087,1,-30.054737879421985
3410120,0,-27.69555363042083
536139,1,-30.3247221591707
3756661,0,-27.760810104883106
1524303,0,-27.761159511537404
1145911,0,-28.879356664889475
1788697,0,-28.59130647818627
449431,0,-27.40739590276012
2621703,0,-28.68638959719974
1641510,0,-28.51380513339019
1319579,1,-31.377274525294055
1709570,0,-28.103848092645045
742708,1,-30.370826172034562
809072,1,-30.36325001318118
1894271,1,-30.187081096888377
3102933,0,-27.676720880818415
2827070,1,-30.433187286177954
3054328,0,-27.623604808325346
1155519,0,-28.59662961697788
336113,1,-30.047688376055607
2850176,1,-30.19473081218988
2933943,0,-27.634497804588037
2547861,0,-27.577182907945765
842040,0,-27.822871264696026
1231649,0,-27.594588161844207
977726,1,-30.361256185558084
912161,0,-27.50368580970342
3151418,1,-30.15472943898673
2654851,1,-31.221845901595767
2163484,0,-27.557756998485512
2833698,0,-27.611561206168506
3418673,0,-27.953061065929575
2598482,0,-28.779081839577863
900789,0,-27.80162579820841
203684,1,-30.292797582414302
3690028,1,-29.752886459611705
502949,0,-27.938596980350884
3148833,0,-27.639500212525423
3788002,1,-29.92326723560115
597522,0,-27.652620272161155
3341656,1,-30.15483857788446
2401516,1,-30.402412858893864
733064,1,-30.330947160333587
3517028,1,-30.12093125915918
3473031,0,-27.567068032918428
1264796,1,-31.329577519573746
1054761,0,-28.616494428801246
1815045,1,-30.336208850076158
3176870,1,-30.21164282705642
293364,1,-29.712371624732693
3376394,1,-30.286398687970582
2840145,1,-30.48900955210961
872652,0,-27.871609711452468
2877995,0,-27.443370010856718
2545715,0,-27.75196596234579
1355301,1,-31.456997473338504
925561,0,-27.948346780751805
1722762,0,-28.282939127130735
3948135,0,-27.81399838779021
486718,0,-28.071337522583004
396280,1,-30.054449475823482
1424581,1,-30.430528115836218
1262738,1,-31.180395976792674
3948196,0,-27.94629474611396
1768295,1,-31.163115535258058
2675248,1,-31.167945373589642
711430,0,-27.82711035527442
2934944,0,-27.98201890818374
1666837,1,-30.519248017393185
3425817,0,-27.632203475390863
892794,0,-27.44510553531839
3118892,1,-30.127845381502333
925955,0,-27.519737552756045
3101621,0,-27.613763708851778
2692303,0,-28.644489456164003
2434835,0,-27.706735312804728
2134261,1,-30.077479723835985
1909665,0,-27.401126236943476
3408454,0,-27.774450044215804
3178513,1,-30.07592315493628
2602473,1,-31.550458128272897
1905954,0,-27.542723683167605
3663872,1,-30.123641986042827
3733507,0,-27.85358392541605
255572,1,-30.38462171499361
1611037,1,-31.199593887581
2139152,0,-27.61001121078667
294352,1,-29.90102004058117
3303492,1,-29.85838250906892
1872860,1,-29.94641141151408
2978942,0,-27.53596536014286
1197510,1,-30.094033283727807
582056,1,-29.736731932018632
2618374,0,-28.890600825043933
473152,0,-27.704437229811916
3157664,1,-30.23904397421655
737894,1,-29.948554059726483
1715395,0,-27.671895274672632
1429658,0,-27.52777348594961
3013194,0,-27.832497580207942
1561509,1,-29.87455995756222
1061043,1,-31.584126500672223
3479466,0,-27.128959426513084
3181101,1,-30.070382917727358
1720479,0,-28.026369853133843
1198487,1,-30.39079615272778
1745255,1,-31.173244191590893
2197595,1,-30.26366263031221
1613825,1,-31.024192754204662
488268,1,-30.420873773929568
3334567,1,-30.043964275143036
2737700,0,-27.38085152390036
2572353,1,-30.979751271379097
3186671,1,-30.331115203087354
2419910,1,-30.239469567129525
2622558,1,-31.2932612885884
3716775,0,-27.94567061307524
3693473,1,-30.132768125593078
3913014,0,-27.575004336598983
3299093,1,-30.52955052684364
810252,1,-31.395881621112302
3392128,1,-29.821741425921473
227765,1,-30.240567460105943
1879018,1,-30.319818495991587
3898326,1,-30.16864912992085
2512471,1,-30.008715298747354
3415626,0,-27.87028384647547
2220037,0,-27.605762541545243
605767,0,-27.597203141551358
2646109,1,-31.311318815336254
623275,0,-27.2740902254774
1728128,1,-31.096251262239175
