sample_id,z,y
629263,1,-38.2884819863436
1074124,1,-434.83806191144043
2026104,1,-37.88578741491456
1170452,1,-440.21075891338774
2213036,0,-47.111816743404866
1430047,0,-38.242637059167315
2480990,1,-34.36590232453709
582992,1,-43.322660909372345
745498,0,-32.5793439719997
3541337,0,-34.16686486745316
895193,1,-29.154084785050387
1136873,1,-423.1814146367349
1407886,1,-446.69250811608276
1523960,1,-85.75573060881044
3008660,1,-29.75127383528766
2403158,0,-31.014542644937052
865322,0,-22.150791414933913
3431380,0,-45.40680499174879
3128904,0,-33.892649204752146
1300294,0,-35.59086624705184
1746205,0,-36.26225071509916
2817695,1,-23.06269044505864
2533678,1,-33.51796084822067
2984960,1,-26.678603081506324
2472978,0,-36.509023161488855
701640,1,-29.409321745656225
3414089,1,-36.3398801848254
2963242,0,-19.37698522219069
3244223,1,-21.63673152959231
3656068,1,-35.119353974822005
1082621,1,-442.8495350556166
3070748,0,-18.508313767252968
2874008,1,-40.83484813474922
3167333,1,-46.601774739548674
3929528,0,-28.01375305931573
1807002,1,-424.7727563948915
3212524,1,-34.41918835169347
471706,1,-41.741781182637844
1094412,1,-447.2944936584884
1861115,1,-444.44024208579344
3167501,1,-70.53696103207952
3327413,0,-42.86520589621376
1839072,1,-441.11609691562455
560875,0,-46.2254708116608
3160207,1,-27.49189165676236
2917567,1,-46.32016887374462
1205760,1,-36.46212448266018
1702793,1,-13.34042782542136
2617339,0,-23.319986470049987
1213614,1,-33.411296079824595
2039625,0,-52.178755472542036
1695265,1,-48.781553418138934
1541774,1,-24.54937037768004
513048,1,-33.1451388928046
3270555,1,-30.134853989389622
486520,1,-40.7819932451541
3156554,1,-33.26045224031722
3187202,0,-26.622968757803907
3433202,1,-44.90315775920308
2742690,0,-65.31581186939883
1332595,1,-25.682336659630213
1620316,1,-36.269180263709174
1482027,1,-65.47138752548096
1701074,1,-29.136326261802765
1322080,1,-24.10716749496126
1525699,1,-36.250062244548694
2687612,1,-26.825567186432842
2625353,0,-33.59967404678428
361375,0,-39.33884380605707
3491507,1,-34.42555173307463
3370310,0,-40.581371144045754
3936959,1,-46.95834051803175
2916187,1,-46.21603062000949
258984,0,-39.428447273470326
3928784,1,-43.579951745229366
646752,1,-34.77303860859523
3089031,1,-33.083472645348046
2516455,1,-30.436043621839282
1823265,1,-437.6548293707036
501097,1,-449.3773642674725
3740622,1,-42.785104258534616
1222287,0,-34.4754928066953
1612350,1,-23.23291619654918
3131847,1,-23.367290918291392
1285220,1,-20.61555110574467
2639737,1,-24.077433264440504
2932253,0,-38.08904011081932
1305935,1,-23.00002363713936
1713462,0,-27.180253824016376
297625,1,-21.848906866646526
833332,1,-23.500325077541785
344080,1,-46.86590896945163
1462280,1,-36.741313469722705
2012149,0,-74.16732955457658
2831521,0,-39.03529158658232
1628319,1,-32.72652720683385
2733575,1,-450.49067291468043
3159760,1,-21.941276878680043
1910678,1,-426.4750903637351
2557180,1,-33.222143610791534
620057,1,-34.93770387615744
524876,0,-45.67634891443903
2238112,1,-33.05942431814852
1124866,1,-429.04166954168426
2857998,1,-41.54188062142888
3178937,0,-32.27385452291785
1442282,0,-41.08899811425571
2941916,0,-61.15100275978403
1666484,0,-6.891257515715674
1904690,1,-443.8982417934055
258990,1,-35.311425183284726
296773,1,-26.74404014468688
2063774,1,-39.379816350195995
727928,1,-41.69644046744336
893123,0,-38.09938297765302
2571878,0,-28.4042653612934
3495168,1,-21.815466100444755
682981,0,-46.769168408338324
2933365,1,-36.55746423025818
615391,1,-30.712508661964435
996318,1,-36.13518413725216
3132396,0,-19.90463760520043
431697,1,-39.04348258227568
1573204,1,-34.99087545704938
1060003,1,-433.7850322118127
3533916,1,-34.85514704794976
3679507,0,-54.63476783013838
2422491,1,-42.13595145169201
2688532,0,-29.943505254874747
857682,1,-39.80077988856269
1530135,1,-44.9605207660125
3438744,0,-49.38618766093816
1499353,0,-51.746464830063374
2976894,1,-32.75146702307701
1098903,1,-440.696081897356
3147686,0,-34.98885732690403
1331125,1,-29.332276387442075
2820683,1,-33.54645761138744
2622924,1,-35.066108741949755
1263841,1,-28.26610507410924
3309400,0,-39.75588758126434
1661654,0,-14.800015639855339
425444,1,-29.541126281005745
914435,1,-26.899518929759797
3956111,0,-45.903372833744875
3915090,1,-13.176754775958836
1958174,0,-42.403259365074334
1411002,1,-23.370880552024644
1766684,0,-41.26340688343477
3010940,1,-48.27898606208719
3959062,1,-27.35522819738147
1309195,1,-52.37545442635243
537361,1,-32.2575426906144
1513207,1,-40.30430193356736
3741444,1,-57.20544123680695
3539557,0,-47.093055671243356
2620800,1,-46.91328691787246
291254,0,-26.227293550515622
2655781,1,-41.55918514447403
1544734,0,-22.190105221558355
864194,1,-26.161715227528006
2394913,1,-26.8205964643049
3856030,0,-25.21194073159364
2474338,1,-105.37209995373591
1879432,1,-426.94564284560477
1232910,1,-24.445919362605864
834985,0,-33.30710464741236
731148,0,-42.475650618680774
3230269,1,-29.770156217420094
1749633,1,-10.893678337712004
1423491,1,-34.51039782091532
1639919,0,-74.14965711815933
680190,1,-46.11223673425934
3687056,1,-29.156446803573193
756366,1,-49.71445357283114
3747445,0,-33.73719685570053
3951003,0,-49.87881991102195
3441824,1,-44.655580082428486
726636,0,-42.262318351777715
3791756,1,-35.85942817590892
3471622,1,-39.59551693724347
2700456,1,-89.28078578434027
2851371,1,-68.25992989719263
325664,0,-27.62122343336645
3286901,1,-48.63161244343012
1292255,0,-32.456550348159695
1705781,0,-25.57635140508794
2938951,0,-35.56580517012357
1231105,1,-34.19490529898434
389043,1,-30.963234066493833
2505115,1,-40.117706213217076
2535803,1,-30.953931744722986
2160741,0,-39.593126909686305
294294,1,-37.45393029862154
219732,1,-22.406406504439747
237838,0,-53.874888359702105
231624,1,-37.26321185111151
1113874,1,-439.2154018941844
2845474,1,-15.613682830849674
2533618,1,-31.06526780549233
1297157,0,-22.010355537272858
1772166,1,-36.23873712162389
1955994,1,-10.782438829290156
212236,1,-23.634027205942434
541777,0,-28.10193359042575
1095264,1,-440.0265441280024
1498616,1,-25.595002613974067
2799227,0,-47.22962348395641
294733,1,-21.869118161823653
379241,0,-37.30476683792227
1260051,0,-15.829505106194205
1859900,1,-432.1687370746584
2180290,0,-29.907556087505622
1108329,1,-430.3578697405544
3894893,1,-40.9898349627122
1995843,1,-29.47654032637838
3389007,1,-41.768536394451516
719176,1,-44.50951516575583
1832362,1,-426.4562810421104
1989629,1,-47.51744950658303
1520428,0,-32.188622950055816
1856645,1,-443.71242404835374
2169375,0,-41.050417500290266
2166861,1,-30.64436270835816
3279678,1,-27.562846081014484
467034,1,-41.59235703491206
1479849,0,-33.62151208929665
1163733,1,-449.8255134985315
1646541,1,-33.50291312388459
1579078,0,-59.195667184147815
3330774,1,-50.140516434390506
955358,1,-33.78179428928956
3142183,0,-32.195245287812156
1488567,0,-55.60191560129479
3879865,0,-40.29542680593468
2518603,0,-46.770179962009756
646665,1,-47.424273069588715
2215805,0,-46.681255215161926
2866670,1,-45.47994546883159
834774,1,-74.0254099639438
814139,1,-21.95770655550103
1011406,1,-33.28130468134222
380040,1,-33.48525616065518
1343038,0,-21.98193055453197
936061,1,-55.89407214981201
2170790,1,-45.90791206115419
2807630,1,-33.33883473699603
694053,1,-27.79269497831024
1602645,1,-21.58289986240288
1074491,1,-409.18686168380486
1572144,1,-125.8512853047036
2586078,1,-21.442097263293864
3651679,0,-36.56997956883404
298338,1,-18.56839360060725
3017775,0,-23.9274757195528
2920424,1,-37.02327730470394
1556426,0,-41.56052150180923
3936157,1,-36.88188220419456
1104609,1,-406.4502940324333
1155637,1,-424.6268948298158
1414404,1,-32.87614051790122
2785277,0,-62.63422482684673
1914673,1,-453.0465758722985
2536423,1,-36.71694795494775
2108926,0,-26.295731417041065
3013806,0,-48.00205297808037
2507010,0,-26.423507091125963
424396,1,-37.370108128620416
1370743,0,-40.642921023178744
1917324,1,-438.95028783541215
314826,1,-18.227671727681642
2875596,1,-32.06598403812198
1768102,1,-40.086621823583464
2668747,1,-39.33146222731227
936866,1,-42.30593661707485
3740366,1,-48.95557265432423
3054016,1,-191.07339951949382
3928993,0,-46.023640079074276
526220,1,-44.57667627009799
3081660,1,-48.72691334514105
2742776,1,-43.19744115634267
1255849,0,-29.73220220720155
3155240,0,-35.434063857093676
3098919,1,-129.0375064416215
3314297,1,-29.193627298601406
3901127,1,-33.48212589864067
2280634,1,-33.449138031231854
1205966,1,-32.10026449963894
375161,1,-29.331691624099644
3866499,0,-26.950353746410514
308447,0,-33.812943566038726
250775,1,-17.206596378186994
2872926,1,-45.530378074349336
2701015,0,-42.091259719923066
361859,0,-39.87845615684698
1826208,1,-438.09959336903773
2712372,0,-33.56384768427915
2405544,1,-48.528504266180924
3928493,0,-42.7813781444578
1827724,1,-427.59735725899264
2883960,0,-27.688596780423566
2016924,1,-30.458316792868988
2671980,1,-44.596685878485026
3542269,1,-11.371081981455113
2790359,1,-43.27778950485266
1154417,1,-403.0277889973849
1550983,1,-52.093837642003855
2681026,0,-37.909001442162975
3833930,1,-35.89702979208512
1297063,1,-51.05012818098164
2975879,0,-28.62402734544476
3707446,0,-29.449494165773913
2855677,1,-38.824772465632954
3934617,1,-34.20998493136916
2525801,1,-29.092691695766874
3237449,1,-25.253239287326807
3110393,1,-39.49222311273792
3138411,1,-20.199486593446576
655674,1,-44.64417723201974
3444012,0,-48.67436978346148
3096534,1,-36.75822459001183
1731355,0,-14.310341868865768
3888602,1,-30.826254714523117
1915183,1,-441.1615251389963
921742,1,-38.83797646579854
195026,1,-30.003022531561466
2893505,0,-30.193053485161887
1105831,1,-441.90001360289966
1369266,0,-39.97790981508245
1319597,1,-23.917001214271387
232440,1,-30.15074223210883
2110348,0,-28.20028659033555
3283655,0,-37.914682072138646
3532518,0,-44.16746288895099
496529,0,-41.23601014202707
325847,0,-34.91087115101424
1758985,1,-21.643792510687774
928950,0,-31.99901664874789
3870708,1,-11.17153592294068
3386240,1,-39.189027668051416
1391033,1,-31.713264428697972
3538083,0,-46.95749946278997
1433894,1,-25.778826874609102
2804123,1,-49.137459468171436
1311447,1,-29.5213063777041
954559,0,-34.75480418691991
1917431,1,-438.2445032132313
1859758,1,-422.7955127414481
3685152,1,-25.46184223290019
320384,0,-36.32778518868155
347863,1,-29.676264579600424
1440604,1,-17.453578360541258
2926504,0,-46.71340367972134
1584009,1,-34.56738816522887
1463829,0,-29.59547908841446
3075585,1,-43.54295298563767
1028777,1,-49.931694014857975
1620837,1,-49.930041295999494
1437727,1,-28.664608704692473
309067,1,-26.40495172880189
581562,1,-35.34945659669471
3380348,0,-44.47127724373693
866974,0,-118.1879242408943
3703847,0,-43.75068213792264
2669785,1,-5.34657790425261
864565,1,-16.69982610507317
3956994,1,-54.471052603185235
2503606,1,-31.1783736789745
1946440,1,-13.27346215948209
1108290,1,-430.13507188864713
3043202,1,-29.16028886892013
562540,1,-41.779696998816306
2058283,1,-37.590345310830806
1437831,0,-26.136861490092265
1980257,1,-18.04906672423996
2889741,1,-40.841812450169606
1633051,1,-14.149630244507476
2438842,1,-29.016420243386197
2226687,0,-37.40665712051151
888094,1,-45.703211548611485
3061028,1,-18.03705476856105
3899935,1,-43.09381608238127
212614,1,-437.82836478463435
3771400,1,-25.731261464822243
289617,1,-38.11490021177709
3711967,1,-43.32638234939585
2553088,0,-47.9390926795404
2905794,0,-45.74405604693202
3234361,0,-15.107763527464245
3304192,1,-61.351181671513025
2110020,0,-50.35640205919778
616261,1,-37.89069468725706
597233,1,-56.84987035539189
1904374,1,-451.3457985589268
470456,1,-24.42555546682693
2562294,1,-54.51579198407844
1641432,0,-42.91104613629782
3164095,0,-32.228876699725646
2704485,1,-42.848578149929224
3695321,1,-23.323912429719638
3470120,1,-39.20189989308956
2278055,1,-22.646206365835926
1385950,1,-31.659992168670485
2881058,1,-447.3648875968839
1912556,1,-428.42025292175657
1440889,1,-28.88121761196539
1463510,0,-44.212996460052
1510663,1,-40.106801339416116
628792,1,-35.747310718386835
2830619,1,-41.4075942260798
3750080,1,-34.40798913467321
707986,1,-38.27917690221729
3887911,1,-29.01632836954038
578526,1,-36.39282992245032
3794586,1,-31.473716843615748
3507822,1,-32.86402085430052
3956090,1,-46.291565805181776
2875922,1,-29.348732333573743
2231752,0,-50.35623640438784
1970972,1,-23.509463655324357
631746,1,-47.527602896588625
1321418,0,-46.2429763526258
3308590,1,-20.95697264089023
1031640,1,-95.35943629734884
968767,1,-43.40193268447016
3190258,1,-28.59782749036317
3896492,1,-7.963617897670881
3877757,1,-29.03042658509228
3773282,0,-46.994858466249326
2803212,1,-39.35534077977449
1643525,1,-41.57245612067507
1208085,1,-15.916589308722097
1909461,1,-442.1138745613688
3094074,1,-36.28516519697964
2892268,1,-83.96776111215412
1644483,0,-43.6732934137572
1906418,1,-451.623140443012
1875146,1,-448.8455133498347
1462948,1,-31.616104329031703
3222368,1,-42.9041811641127
3285615,0,-47.49862875375752
733667,0,-43.62942801741955
204531,0,-30.74241717412339
3793269,1,-44.61405255924081
1278480,1,-29.584976708515697
2210943,0,-43.714035517627444
1980065,0,-28.392679308223286
1820244,1,-439.30173812364484
679658,1,-48.70041348886398
2020117,0,-30.930974409174098
2392091,1,-35.313735089677465
1619595,1,-45.49205555007109
3894774,0,-24.499076186543352
613032,0,-49.665504616367265
2674154,1,-111.34176965727804
3120266,1,-63.66483247780279
3045118,1,-5.501854894309675
638488,0,-40.23559126386036
3324537,0,-39.70638245320745
3099885,1,-31.821528109837793
679826,0,-37.54423703781329
2274391,0,-52.70483226591615
1761819,0,-36.76532377422818
2686349,1,-31.572042051170303
303392,1,-23.39602723973373
2725113,1,-40.0460324400372
2934168,0,-48.33307565986257
518953,1,-39.672334307652434
238706,1,-24.05873301294446
917017,0,-47.3472686528416
2855348,1,-40.06435780459885
1015973,1,-37.15202070609456
3023225,1,-34.91985939656452
2641297,1,-28.99560442354427
1461576,1,-82.37511377080456
1410310,0,-19.29381812220246
1154797,1,-435.8655742810806
3164782,1,-17.358948939836676
3667923,1,-52.33392107080307
1123764,1,-437.79850516553887
3416506,1,-43.46117942150807
562249,0,-48.16679241983764
2661969,0,-38.0792815078207
2815619,1,-26.4796738930938
3698380,1,-42.07405761791634
1839036,1,-417.03745775941155
1830209,1,-422.1137282511039
845049,1,-33.078132067266466
961129,1,-33.70096944610264
2176326,1,-41.598920401556974
2481416,0,-38.15790665875199
3183238,1,-18.43038253344907
1318551,1,-34.928261511600766
2940859,1,-40.07871774932962
