sample_id,z,y
2981384,0,-64.38801115711374
1203188,0,-596.7352772477776
1403431,0,-97.63266041548057
1292793,1,-593.4795645308261
2867917,1,-70.82304851848036
2875936,1,-63.59470457820257
491563,1,-56.56366627084081
1943475,1,-84.59867551350968
1781913,1,-58.917079633205965
212704,1,-73.3087986173474
2400177,1,-98.33810885482727
2420000,0,-91.41148905341548
3929860,1,-94.89254160827731
2012700,1,-109.57765769913256
3924660,0,-97.98324431005983
3650778,0,-71.24918344018914
1945906,1,-84.79107493335052
3910288,1,-593.943604862213
2918972,1,-59.072504106054495
3008824,1,-76.25489312928389
3856307,1,-78.86975782616045
292559,1,-98.67868997886029
2965827,1,-79.08668097087771
2563290,0,-596.8276222250405
3702383,1,-78.68743388127521
1698674,0,-55.04108429119864
2599293,1,-45.40618236665186
1580405,0,-51.7583824354314
1700817,1,-78.30035005136054
1508164,0,-76.23099461396653
718728,0,-87.68826396565682
1485270,1,-594.0786835928287
2185655,1,-94.71655484280126
1736008,1,-49.06456859166897
2110584,1,-84.83938017333362
3069191,0,-79.17386604843274
1014600,1,-56.5754778919115
1897828,0,-76.6868753957683
1503200,1,-593.4665648297329
2425943,1,-52.44424582069145
1764460,1,-101.67991638887756
3685904,1,-56.906849665087464
2999584,0,-55.55072133342399
533113,1,-85.10324770665807
1584289,0,-61.945653708915394
1309229,1,-42.211928099981016
1357011,1,-79.07202802222498
1435759,0,-94.2940146442091
1043009,1,-54.78698360026868
1613741,1,-47.30791528518891
2276013,0,-81.83125893459615
1221752,0,-66.43804796177643
3403842,0,-60.983612520716726
2277948,0,-66.20044478048743
3143593,0,-71.12897910227751
3721170,1,-56.737486924008195
1815165,0,-51.85967423124153
3858392,0,-78.77591004703633
3215078,1,-63.06336739966846
3837149,1,-60.665891085598794
882215,1,-76.35009619879102
1608579,1,-58.85213664504174
2031536,1,-593.6919881838311
345245,1,-71.03856093283528
2620791,0,-50.49639960557602
3904189,1,-64.09761208858586
1227690,0,-59.4636199688987
574776,0,-61.60299624430176
816983,1,-54.53581134741666
1373661,1,-73.46541442469491
3916791,1,-63.403219115115725
3177888,1,-54.70477933706578
295498,1,-98.2501959212184
3744091,0,-61.64899975813677
3750551,1,-98.26885463897317
658605,0,-68.16223024377648
349634,1,-50.87514689629118
720004,1,-109.27953469659207
1679258,1,-134.5993547210389
2674154,1,-70.76672122383518
1837207,1,-85.10318140026267
2739127,1,-76.3465346754796
465664,1,-126.05844717637467
513096,1,-63.44646523323376
1021544,1,-65.72864271196354
1457227,1,-68.29948071170529
2160220,1,-593.9626598148049
2440122,0,-100.9741702661694
2655016,1,-65.94371553779416
1884085,1,-85.6979502438744
2195774,0,-93.63406074278646
3105772,0,-63.621519096493515
1083485,1,-65.59614140308794
3938161,1,-76.31130439370786
2412630,1,-126.06517827250957
898551,1,-70.61988417123997
3247052,0,-85.10324394712228
1526377,0,-91.06066514427842
1249722,1,-98.45013098290543
1948845,1,-94.23126199422487
2648295,0,-50.14247148498685
3681135,1,-70.83649824648104
3160124,0,-90.96294056871383
