sample_id,z,y
1194044,0,-12.693743525251545
1883809,0,4.553150231902591
1024323,1,-14.088565275050213
1316485,0,-12.70777177586335
3194485,0,-12.159519667207698
399125,0,-12.429183364664944
540604,1,-12.932784378385717
965897,0,-10.503443038097716
2642282,0,-11.573738280366616
3207076,1,-13.577483375254353
517159,0,-12.275849143372625
940175,1,-13.186359665108307
2904506,1,-11.43032995074867
2214074,1,-13.3504871195534
2733807,0,-11.759730857380463
3075998,1,-13.711510745729196
308956,0,-11.80083954034102
986880,0,-11.969162567472598
3193997,0,-10.18262971831636
963591,0,-12.288082056475742
674557,0,-12.269998307088134
3486322,0,-11.384081246270785
2620104,0,-12.341102435820654
3514967,1,-13.23254562989333
2566669,0,-11.680752603598332
202560,0,-12.358624574383887
1641099,1,-13.173782498919577
3095678,1,-12.914677345470377
734095,1,-13.724673016854288
3691310,1,-13.225743941899838
926397,1,-13.49571555743295
629375,0,-13.098065938735333
2007628,0,-12.084790554326814
2027616,0,-11.878195614484346
313308,1,-14.236590708079524
2930771,1,-13.63363538272172
1633991,1,-14.256065170377266
3660494,1,-12.904187173608719
1243207,1,-14.006379023493126
1122336,1,2.9948230824162065
415562,1,-13.009617978581675
2800467,1,-13.319472787558746
1487592,0,-12.461331494071821
1313149,0,-10.170489619670466
3838163,1,-14.230410807577513
2206450,0,-12.222026379492846
2718853,1,-14.352727126487972
3044524,1,-14.002232162839684
3271769,1,-13.448066405028579
2010958,0,-12.050177636928566
1407168,1,-13.718646876677742
1044341,1,2.8045521442872947
635477,0,-13.025177959969621
2253229,1,-13.363394253681424
1093634,1,4.668933918604106
1887021,1,3.022523517000855
1554741,0,-8.713363547028347
1972450,1,-14.162391921758303
2178961,0,-12.387565316477781
840323,0,-12.513890995615562
402609,1,-13.340687191945555
2792245,1,-13.679639681226819
3347021,0,-12.365003822730001
3394703,1,-13.521234840805612
371337,1,-13.805630904864854
693689,0,-12.279054503732755
1332704,1,-11.243478825105424
1496742,1,-13.689373398246255
3175518,0,-12.008368494300829
3193623,0,-12.45776594010191
1999600,1,-13.879308444430043
3067296,1,-13.28635133991678
2904567,1,-13.357326354199095
1539032,1,-13.887642517953662
2802866,0,-12.686643134960187
1394212,1,-14.017384019409116
261155,1,-14.017295102018718
2920845,1,-13.244601058682939
1673232,1,-14.008399264910262
375938,1,-13.742701882705001
596565,0,-12.01405407727632
2663174,1,-12.849405212256533
1739159,1,-13.466196860689982
1712439,0,-12.644936631692412
3217741,0,-11.806200362393543
1291484,1,-13.565835709233832
3141773,0,-12.61843796747666
3053651,0,-12.426563117397816
1547010,1,-13.063022457920075
2824840,1,-11.511581037654263
2035823,1,-13.346245303902908
2871600,1,2.9771627130751996
221822,1,-12.962757560021045
1495984,1,-12.393968178997769
3336892,1,-13.863595488313972
3182846,0,-12.787761991208697
1640117,1,-12.396318555329216
3929860,1,-13.876641818922803
2261002,1,-13.570222895478235
3089885,0,-10.894927892276375
3499409,0,-11.996133456517791
3146219,0,-12.828448443540077
2877115,1,-12.835791722367782
421887,1,-13.563507848457869
384958,0,-12.535040877153136
3308356,1,-13.635018465559165
1661831,0,-12.135709842316105
3476453,1,-13.168014560876241
3145448,0,-12.548974976744486
2168714,0,-10.02790425192903
377818,0,-13.011365016229945
411853,1,-12.88525653617952
1678051,1,-13.006333123690537
2639300,0,-12.208750265428934
2236301,1,-13.322433029144305
3180226,0,-12.317353918384812
1644538,0,-11.192942009859623
1287069,1,-13.182223382991172
1444383,1,-13.439270938333422
480166,0,-11.86940366382505
2431562,0,-12.149468355657373
1982206,1,-13.395058014568301
199713,0,-11.921252930936804
1989930,1,-11.131749824537136
