sample_id,z,y
1743595,1,-25.730806111622275
3395110,1,-22.00748497642841
3788856,1,-25.481637909157097
3849036,1,-25.282995556733322
3419251,1,-24.951957690698592
3474470,1,-25.366249275562424
2215762,0,-26.397360822726007
3939895,1,-25.142333918184328
280497,1,-25.38783054094528
3032641,1,-25.061579592847036
1129561,0,9.663792149908785
1047558,0,11.493083678118646
517424,1,-23.954440875447407
3337475,1,-25.134619177273862
557490,0,-26.798613443566982
1237501,0,-28.706960646212885
431976,0,-26.968456570696073
2827899,1,-25.19417315391452
3099864,1,-25.27034376580102
2142765,0,-26.9272833276134
1295797,0,-29.201407318521806
3133763,1,-24.20942669694735
3795081,1,-24.72969998113411
957902,0,-26.555573255767968
409447,1,-22.33536896461556
2984479,1,-24.682232201456586
1433773,1,-25.25742023514946
516394,1,-25.331881382603772
1467169,1,-25.288626929430894
3188047,1,-22.371286071314465
893249,1,-25.434096760082205
3471757,1,-25.632223027200713
924558,1,-23.29766872811266
3080669,1,-25.267950737999183
1051252,0,10.70435906652443
513544,1,-25.15673406388482
489767,1,-25.92303692162754
2018083,1,-25.259962915867543
2162013,0,-26.58969907874143
3662146,0,-28.778956111414082
714280,1,-25.257098257722355
2851009,1,-25.364708599575167
893172,0,-26.58068150187235
2062242,1,-25.178567646961955
1062033,0,10.955309356330295
1053668,0,10.864463443166631
2786060,1,-25.58757799925244
2716532,0,-26.718230118956544
648028,0,-27.291556803685
2504404,1,-22.534467377411072
3269127,1,-24.73080911367178
1993409,0,11.48983511193135
2762974,0,-28.303876761449516
3439586,1,-25.717466486658203
2603141,1,-25.710233211157984
3789794,1,-25.17803251469404
3138177,1,-25.403332992152922
540164,1,-25.085488745472592
2846939,0,-26.95780414082421
900036,1,-24.920302328695573
3885885,1,-25.875928827879036
1455339,0,-27.0271066925125
2264256,1,-25.369155907069956
656880,0,-24.14335562951764
2716152,1,-25.1325406521486
1693489,1,-25.38779998364999
1813058,0,11.371620232747187
3048472,1,-24.73790551244819
1838965,0,11.699728602883926
2805038,1,-25.15015509003075
296054,1,-25.450763134059347
1409854,1,-24.310465898478892
2505135,1,-25.336301455941992
1525447,1,-25.171404429298697
3712797,1,-25.216839092017924
261582,0,-26.97010900874154
415746,0,-26.45202565496814
564736,0,-27.304440851989597
1664458,0,-27.94186228756932
3798503,0,-26.3392801716654
1118045,0,11.00920695433263
1502680,1,-25.49745237769137
2115406,1,-26.016239716703463
673001,0,-27.272233175514483
2461525,1,-23.09615951543455
2024120,1,-25.394187555099425
3449674,1,-22.906560763352037
2110149,1,-25.30088790924873
3686396,1,-25.61618021720385
2221864,1,-25.132666348320324
212331,0,10.051568893114977
2872536,1,-25.494825990190453
1579078,0,-26.937104737134167
1911414,0,11.980990947154739
2646299,1,-25.353141476476612
941432,1,-25.237783655148988
1274844,1,-25.162571339070528
1792027,1,-26.193637667073386
3439090,1,-25.23960922549844
3244516,1,-25.30656356051197
2515664,1,-24.89406196769084
2655093,0,-27.903428970620443
928976,1,-25.106606825527994
2819919,1,-25.124205779111307
2440563,1,-22.57191248548306
2924839,1,-24.916385761816848
2725060,1,-24.754086945276484
1444076,1,-25.474745862474062
320518,1,-25.20123442761408
1667132,0,-27.860504785341
2029693,1,-25.043924725235264
2469966,1,-25.284728001991112
1276103,1,-25.479775706882197
923896,1,-24.93280248855909
2914444,1,-25.094224869194225
3336749,0,-27.26768832216036
3391336,1,-25.272218718928297
549270,1,-24.993181048848474
904736,1,-24.505558581150297
1093159,0,11.121892462300424
3920434,1,-25.28904800736409
2498117,0,-26.399005405781896
491703,0,-26.62361467997802
2635750,1,-25.720388491890375
899432,1,-25.25422704673737
1728101,0,-27.58217546620461
2516264,0,-26.463794843096796
1666714,1,-26.360839446826848
1853554,0,11.710565241919225
2505558,0,-27.038659210386424
1220975,1,-25.158271239877312
2238043,1,-24.67792244825576
2480628,0,-27.76537451454464
1717713,1,-25.977766733403076
945419,1,-25.147762014989393
3153685,1,-24.506125928564014
1606974,1,-25.482128362910704
2017440,1,-25.176101372550086
1128017,0,10.691218469668872
469521,1,-21.619481182957163
416889,1,-25.261246763848625
298193,1,-25.596793138940395
1040195,0,11.131665301403238
338991,1,-25.491032802443364
3401189,1,-25.195977256552705
2620542,1,-25.640891176890158
1168963,0,11.221646107524307
968152,0,-27.343795972992975
2901605,1,-25.29053191602636
2747329,1,-25.166670356504543
3247613,1,-26.167641515742844
635471,1,-23.2754417841325
530965,0,-24.422662522604536
2873943,0,11.828729246312182
3310250,0,-27.158338348007128
494010,1,-26.23126931767483
3331451,0,-26.953576166681504
1583622,1,-25.12710907902438
221352,1,-24.38893231716715
365038,1,-25.17221180791737
3508398,0,-27.193691495813333
1157934,0,11.482097020441277
2898676,1,-24.878991138946816
2198366,1,-25.160042612141467
382996,1,-25.180519730802313
1872860,0,11.593193384797368
3717175,1,-24.864542226648513
3959197,1,-25.285429014277153
2258643,1,-25.280392792053302
2801029,1,-25.2636287701435
412187,1,-24.463182216505594
1667358,1,-25.88401907742747
3094431,1,-25.173061039174417
3504274,1,-25.263049372627606
3064118,0,-28.943612298958502
504705,1,-24.95020788253083
3793678,0,-26.44262582093115
3062025,1,-25.257725857461157
556112,1,-22.80198549285763
3877387,1,-25.326802233164827
3898704,1,-24.846836694155343
1832212,0,11.658025693845874
843311,1,-25.23318128859374
3431234,1,-24.908474950360304
2828358,1,-25.63442292285234
3053878,0,-33.61717358925491
3363702,1,-25.405430541923586
1031457,1,-25.381795626199693
3029971,0,-28.699148033563645
806978,1,-25.31708566035199
2206835,1,-25.550358005197225
2745109,0,-26.926746661265497
2649347,1,-24.914733157458397
2987706,0,-26.92155995248566
615255,1,-24.839079056611567
3901772,1,-25.140797453397134
391760,1,-24.849469873997183
3046610,1,-25.220463081665745
758835,1,-25.38337526971089
3547443,1,-25.278141259109606
357824,0,-27.086383420224873
2245703,1,-25.36332010332421
2926888,0,-29.794298669971
3504216,1,-25.032782538801584
595408,1,-24.967611691411932
3136992,1,-25.45190092134969
1436734,1,-24.987079528794432
539760,1,-25.312842299407343
2799765,1,-25.27815463354251
3406008,1,-25.126900707895636
2114339,0,-27.044113980880727
636872,1,-25.53229491382973
1613031,1,-25.80142946250375
3752850,1,-24.727921505290478
2241679,1,-25.1968690989799
385533,1,-24.52192109471679
1837698,0,11.700162233573847
3356328,0,-26.97697066227102
2512774,1,-25.338049494688935
3367299,0,-26.83976781450975
1915847,0,11.457960075518121
3391794,1,-25.214684619645187
333920,1,-22.13910305481274
3401961,1,-24.946825844637104
3509468,1,-25.27295013556511
3087193,1,-25.70966084273395
598890,1,-24.733421779322864
3363187,1,-24.640328898803947
1248444,0,-26.908274618670365
2932096,1,-25.487236340814572
2741432,1,-24.693743736706974
2545170,1,-26.925475163401345
452783,1,-25.18752775123693
286497,1,-24.43116187156521
3289871,1,-25.23932277500213
1299229,1,-26.145692951037443
3157563,1,-25.154336438189056
2507290,1,-25.6624893828308
2236363,1,-25.474975999237895
439055,0,-25.582406100391648
2439305,1,-24.961300689110537
688280,1,-25.750447931894335
2266233,0,-26.707337603310418
1718809,0,-28.773772891667214
2239372,1,-25.281930098700222
3425351,1,-25.60583936567706
962185,0,-26.825839293400545
2218027,1,-24.789021779425088
329722,1,-25.792431887578683
1080025,0,11.04954687551581
1250404,1,-25.14963351749546
3399001,1,-23.434818647526175
2394146,0,-25.51730379868384
2036741,0,-26.88233998351687
581059,1,-24.347484710624283
265898,1,-25.299625773133346
339246,0,-27.38965702506294
2988176,0,-26.930040867492583
246620,0,-26.810195173221004
994847,1,-25.05887306617163
810068,1,-26.081966103935912
3065685,1,-25.19373266089692
210304,1,-24.62561423163719
2222720,0,-27.258479786750534
1951503,1,-25.98779188840561
1028413,0,-26.26205071775718
3960243,1,-25.126823834199882
950045,1,-25.04245002947776
2979162,1,-24.806644647730277
1194724,1,-25.15185455716025
3293702,1,-25.146995980645578
