sample_id,z,y
1264356,0,-5.893570100678126
3015902,0,-3.394458642827429
1169279,1,-2.432560431655067
3947532,0,-4.605633647244464
1422896,0,-2.39588641345985
3149630,0,-5.621012131265456
1911157,0,-0.8537744009325541
2149634,1,-4.674737808466652
2227292,0,-0.6886544277615284
720268,1,-2.31400408743687
1735984,0,-3.3273507237815214
3725293,0,-4.70622105537693
2275077,1,-2.9255643925128774
1832869,0,-3.8539665791309203
679796,0,-5.15010744640366
3953283,1,-2.914066702743007
812010,1,-0.8871207211913431
1556697,0,-2.8391791534123865
2215805,0,-3.8409122922953696
3917801,1,-7.73597626324717
2995275,0,-3.3427235472274
2501223,0,-2.793339757884401
2486654,0,-2.937527909586225
2497406,1,-3.8974561414419027
1510226,1,-4.842607047890273
2724849,1,-4.0002768544688525
3389650,1,-2.8139552761355247
3049005,0,-5.473180905680087
2017094,1,-5.498931099471521
2003078,1,-4.12055605798578
2277506,0,-1.9198495632215984
2436768,0,-2.69278778854817
1694880,0,-2.8017524795787807
2926761,0,-0.7520656424536731
2401088,0,-3.1270604010247434
3395257,1,-3.4437652873668445
2056081,0,-3.402674052371838
908200,0,-4.10988360573287
3800861,0,-2.5461388398410145
1879058,1,-4.185735364696117
2270981,0,-6.669168367268667
3724457,0,-2.8602389521114477
3065824,1,-3.645916051703866
286344,0,-2.520434334874838
1271321,0,-5.7181169713522895
535865,0,-2.936424492220494
2510294,0,-3.330796312461713
1894907,0,-3.572007103124429
1980384,1,-3.0331901104631087
873586,0,-0.8969314206248207
3126877,1,-4.114681857581192
2727696,1,-4.466104360034952
1325689,0,-3.7395552905762077
245593,0,-3.392845096350469
1389756,0,-0.9332501872488814
3781911,1,-1.8584542646079998
1813058,0,-3.4896090141041802
1358613,0,-0.8523721270807131
1956628,0,-4.236512451693528
1377261,1,-3.2689180862262526
1965963,1,-3.428686379714801
3151153,0,-1.0688911839837232
608259,1,-2.4297696607406167
2284419,0,-3.8225442254985214
2775332,0,-3.092566378887562
729040,0,-3.1728795449696148
700659,0,-1.4686345735176765
665452,0,-1.1374100239389644
3514243,0,-3.0509315003262905
1259770,0,-3.936226613143687
1325965,0,-3.5240539826615795
1116615,0,-4.1651799063073724
1350557,0,-2.9129390575886585
1023872,0,-0.9331785975814936
252220,0,-2.3068980877250156
1142737,0,-2.929718686732967
1163952,0,-6.437805603054612
3172360,1,-3.1072845220030714
366980,1,-2.8658526011863303
2006320,0,-3.4146926341058346
3396826,0,-0.7966336937205892
484322,0,-3.862573049630662
405500,0,-2.463868308489957
593472,0,-2.8850826539283805
2730283,0,-0.7687230604505564
340876,1,-2.0457220100234235
1970448,1,-3.3026560150588855
1905038,0,-3.099574387433091
3846044,1,-3.1072334208615966
3136188,0,-2.239121975131633
2169273,1,-3.6402970573858835
2055799,1,-4.041959165061989
286071,1,-2.6586617667041113
2273153,0,-4.2599213850710385
1906732,0,-7.558184912289321
380339,1,-3.367464369875267
2545581,1,-3.655413174594614
3023342,0,-3.418859984308791
392671,1,-2.288058845701295
2178771,0,-0.7252482293125767
2987911,0,-4.135570037716142
1817524,1,-4.104865862264835
2511793,0,-2.6064396559976526
1520045,0,-5.108528631567468
1236236,1,-4.680291654093651
2732626,0,-3.1762785561238873
368376,0,-2.925817311336399
2053021,0,-3.9062619286454834
309671,1,-2.751904156515213
1146660,0,-3.6196526196165704
1981616,1,-3.6994003624921934
679222,0,-4.066455160564212
1382769,1,-2.8837477326344483
1599703,0,-3.2946963785301455
2177135,0,-4.004934385866813
2854204,0,-3.2658911405338005
3744332,1,-4.617703365920223
1779524,0,-2.708151187691585
2484006,1,-2.9728540460994446
351528,1,-5.426690684761218
2608090,1,-4.873629832730678
3328085,0,-2.8334691012656523
3090002,0,-3.437914084287329
1900946,0,-0.8212089760398263
3349432,1,-3.4372976763802594
2407127,1,-5.668384557499075
213078,0,-2.7629680535845367
689726,0,-6.149197267939783
1167397,0,-3.6538611401457475
1060769,0,-2.5104013867173056
507686,0,-2.7885064850284373
2234341,1,-3.928235284812375
1693146,0,-5.421337978427961
447500,1,-3.0746429895922773
2009144,0,-3.9876145711319047
407671,1,-3.7346335948640657
2022988,0,-2.7515237985424834
2598850,0,-0.6825909416071964
3406944,1,-3.7635201165963976
1315300,0,-3.087489666320863
210060,0,-4.242554051272744
1613259,1,-2.6521997305232285
3365677,1,-1.6390558272800582
590340,1,-4.29228490573087
322060,1,-1.9342635130895147
2637346,1,-4.145281958694988
3490763,0,-0.6114603498395065
444689,0,-3.255884356165107
1532607,0,-0.7034518084377622
3158467,0,-3.5922946279778634
683418,1,-3.9041117148418807
2611188,1,-4.518276064290212
746755,0,-0.8684801967237292
232421,0,-2.9183526258775907
1402872,0,-3.9583955947732123
948749,1,-1.9112357665044404
3283000,0,-6.844370745208876
2035128,0,-4.084095868823089
481444,0,-1.0371868626014806
1603349,1,-4.972784996940324
999390,0,-3.223815337892127
893671,0,-4.007777522059641
2053416,0,-5.702808220943841
2145506,0,-2.662580181206024
227288,0,-4.4099764973918925
281618,1,-2.699990023620669
3722104,1,-3.0482344128258103
1916629,1,-2.887284290398692
414927,1,-2.445149170774654
1354647,1,-3.3199338803515577
3952310,1,-3.585084152274898
3896123,0,-2.7274194184174716
3008885,0,-5.441813466283219
3451774,1,-6.401022840807596
293133,0,-0.8786313882670294
235557,0,-1.9540419052670608
3651424,0,-3.6841616882086616
1288227,1,-3.620540476883428
451417,0,-4.589673188664411
3877255,1,-6.033264332815101
504064,0,-3.2555499249399853
2753131,1,-3.936841540348559
1285204,0,-1.0188931109475468
3460385,1,-3.947729425627353
2572585,0,-3.724494290298912
1006543,0,-0.7670312628111247
1946798,1,-2.6243658565119206
2995174,0,-1.9523655050110924
3156856,0,-4.398376596621903
1172546,0,-3.5848548099924957
2975714,1,-2.1807595479525133
3360554,0,-2.6968055339444303
3104780,0,-3.6347411560316982
3282424,0,-3.111636063614391
3884748,1,-9.202890528247082
2260476,0,-4.004525860690157
3223980,0,-0.9010490306962783
2888033,0,-1.0179539707789602
1085690,1,-3.5178609893192494
2001815,1,-6.9938058187717695
2407540,0,-2.7513737856784797
2175395,1,-5.518087691060787
2488383,0,-3.3479091795234357
2774069,0,-5.701162579549786
3677222,1,-4.062189274546601
337283,0,-3.246012790574946
1620316,1,-4.1331617881499945
3678506,0,-1.5349129020235013
363773,1,-2.835619171432623
2981603,0,-3.7500674541834
921217,0,-0.35563986220612964
2121620,0,-4.052469398508719
1825214,1,-4.07003648219983
2664153,0,-3.013887155801956
3528334,1,-4.03817555486351
2275631,1,-1.034061027554497
1165374,1,-3.556919110090363
551223,1,-4.678830577586456
230336,0,-3.213983200946379
1673925,1,-4.68221565277431
1635463,1,-2.8439778277544976
1876181,0,-1.0405787290099935
685627,1,-3.4510469275219786
3709080,0,-5.231291720309699
950966,0,-3.917686063655695
3393368,0,-6.63260341558444
3152925,1,-0.8403103439864238
1665212,0,-5.3193637500948565
3157472,1,-0.9402413568227445
698408,0,-0.8123534427860614
3722218,1,-3.01222729721867
1888350,0,-3.5195690468502305
2395764,1,-0.8764755959786013
3853693,0,-3.6900771640681196
3152638,0,-4.750296190468064
1781839,0,-2.6668313201766947
2642438,0,-2.9540569704542756
683543,0,-4.673429988995173
1767737,0,-1.2190042972896014
2799448,1,-3.06581738444061
3004121,0,-4.307253658926067
2240977,0,-6.444338028669906
3711546,0,-2.5366045468001825
3675735,0,-2.4712949447456465
1379375,0,-3.8986976669441367
3782831,1,-2.0873289577603584
1995496,0,-5.017292662434588
730377,1,-3.9495331096541744
501134,0,-2.223856893344553
2794857,0,-2.4726460690276046
3451876,1,-4.487377483928461
197492,1,-2.6579422716371406
1266822,0,-2.2859714985451594
3930180,1,-2.0671494834908826
1962289,1,-5.9087315302032195
1660398,1,-2.7454543620542298
2430623,1,-4.807667283179609
