sample_id,z,y
3445319,1,-702.3819026936649
2525643,1,-296.8836510969044
1303525,0,-193.72591201455296
2827679,0,-182.97513145099902
2278183,1,-721.7772265323241
3043621,0,-162.51631023738952
263501,0,-224.192433581168
1417740,0,-273.85411476059176
2995394,0,-189.03864610828288
206592,0,-221.77814625473408
2192355,0,-128.98842665248588
2623735,0,-173.78530123722382
545161,0,-223.8871467350808
631321,0,-151.44114266369488
982985,1,-701.4011611736587
1351435,0,-246.68492524969403
696432,0,-179.23243674045102
1142148,0,-169.3142748239054
2782549,0,-177.0334391864413
3402239,0,-225.9209209924554
3102117,1,-319.1814967382622
3419431,0,-213.36098467012113
3912402,0,-138.01294458364137
3314102,0,-198.37240769707776
1438140,0,-141.50683911185305
241431,1,-700.6873925660466
1095360,1,-307.67112106303443
1938237,0,-189.9181356116592
411584,0,-176.63170567907866
3072569,0,-166.39911324373048
2258397,0,-173.74225189113585
3794090,1,-704.6674798298413
630324,0,-141.31866489587023
1595433,1,-703.9134027722769
2993953,1,-709.8568409755751
856156,0,-303.8915692221647
1614120,1,-701.5492018181405
3030201,0,-263.69226642334826
290361,0,-244.23104640386
655348,1,-294.73335614424093
1084583,0,-208.75674614505328
2926444,0,-144.02219721383813
3089445,1,-725.9522883625747
1481220,0,-194.55848760930712
3932334,0,-187.64033477303178
1977052,0,-274.02650470538265
1846796,0,-179.0430576645977
896777,0,-238.44909390616112
2153475,1,-715.072185476809
3383911,0,-158.69884037566524
3157483,0,-178.18812384673308
3242701,0,-168.27244896523572
3852910,0,-209.11204049859455
1238796,0,-193.9243277654516
3328085,0,-276.5498131517185
1431051,1,-287.9954738186557
419744,0,-166.49161237595533
1865109,0,-260.2473847539
542271,0,-322.8378226211176
3290288,0,-144.03103586443373
2208947,0,-172.01417444115773
3070187,0,-173.50590385106548
2752051,0,-317.3985668553267
1511029,0,-186.25334561608463
2601150,0,-216.59249008173342
3673130,0,-169.29203205045698
3768594,0,-457.5365834366013
1151939,0,-401.95040272155245
3388735,1,-697.274719678425
835956,1,-697.0029224647133
3423092,1,-374.11708523651964
392798,0,-193.3991500674425
3666452,0,-111.61921725467995
2198650,0,-313.26456540627765
3150861,1,-718.9006603566868
3875454,0,-200.69479390092093
381163,1,-714.4772782055582
689328,1,-279.2011319438332
867108,0,-143.9643324078537
544677,0,-178.99790850121548
3396768,0,-278.2380882386126
2469966,0,-163.59677606136202
2843513,1,-700.9077661553397
1502805,0,-138.44756237416541
3393556,1,-728.4172462288541
495204,0,-113.40777681480988
3266124,1,-707.7721141735319
3952932,0,-161.3009683373647
1863625,0,-101.62799710845277
3387207,0,-442.3381636899361
3546017,0,-188.87156996917994
2163929,0,-183.79778236105733
223220,0,-230.5677648866597
2476167,1,-714.1644705109412
699477,0,-158.44397065967155
348541,1,-292.11382742137835
3390954,0,-240.52679995517633
3432809,0,-254.0305426165631
3291464,0,-217.92397855088586
1142763,0,-183.15825283416007
1327927,0,-223.90003526792083
1165721,0,-232.94637504332357
2556033,1,-698.6727388867478
3456343,0,-270.1953137914219
2574585,0,-159.03351739131003
2509594,0,-192.9277837115695
1077112,0,-164.45380483815492
487853,0,-242.89215500753113
3479185,0,-98.54074552935533
982166,0,-216.7538349492161
2114491,0,-143.7567227437822
2755686,0,-194.20713525753814
2491452,0,-216.13812311425897
2549504,0,-209.04561607736758
1264839,1,-699.668667411269
596182,1,-342.7583518404864
1969759,0,-184.62314479911112
747483,0,-202.89105875601757
287377,1,-347.097141991238
3864899,0,-141.59327279161647
2140467,0,-89.1701477042938
1457493,0,-141.26131247195218
1617535,0,-183.09589740491418
3167983,0,-302.5013674453932
3086094,1,-709.2408824872556
1695042,0,-204.84828257186595
3337673,0,-193.95768981578485
655674,0,-246.16242305353873
3705156,0,-188.03981317354055
3917760,1,-703.5768176235532
560963,1,-697.3730340796543
2608365,0,-93.83247701677216
2148736,0,-228.28211510911427
3138239,0,-134.78354216253527
2590757,0,-207.98446469282308
1095439,0,-280.57970901251304
516800,0,-241.04587322500115
3472848,0,-126.77154072955874
329852,0,-214.5124368254682
531336,0,-463.67489096278564
1051390,0,-118.67238238434577
428994,0,-180.56767157060182
927942,0,-216.43051016930605
3726896,0,-216.84193491150114
1082258,0,-455.13806686683915
1096117,0,-175.69957101322206
3123706,0,-238.49494665103808
625984,0,-208.624701466748
2947699,0,-226.36357112195535
741856,0,-200.44627661343728
1664419,0,-141.60230606320212
2485960,0,-163.97404044600404
1131756,0,-143.67048179572996
813882,0,-444.1096321290814
2438065,0,-107.06567328917261
2988701,0,-259.27132448262694
255001,0,-151.01395065067064
1954154,0,-162.18375853313208
1411919,0,-175.86285285057377
867786,0,-358.7401024691808
2896055,0,-233.6765095078749
3064835,0,-179.19183531795662
3750080,0,-151.49944019011687
1840545,0,-216.66657968080784
856712,0,-179.36759375131982
421927,0,-209.20621117086492
2600158,1,-705.911176488703
2641451,0,-191.78921954845134
3364949,0,-132.94806251914923
1092882,0,-208.32869409865427
3755802,0,-231.78356361733253
2281617,1,-704.55483583679
3394157,0,-419.91708696029553
2409774,0,-156.56880292721058
828416,0,-133.8216902865372
215989,0,-126.40826599483836
1322852,0,-163.10128741627403
459863,0,-218.7898555463411
2404646,0,-154.63639655714044
1610719,0,-209.00293167894085
3072065,0,-119.36452244177968
2210189,0,-164.25196314363853
2597489,0,-198.4733370717703
3053380,0,-246.77985962225327
2524965,0,-225.76934808706758
3167399,0,-193.1176628718341
1556696,1,-719.7808443944637
3321360,0,-224.92690592950902
1365044,0,-198.8321025763281
310240,0,-241.06197932951952
1106081,0,-158.16310054824115
479608,0,-161.337253060524
3422882,0,-180.30575252611536
277353,1,-709.8067583701702
1551297,0,-149.48629168836757
2286798,0,-201.18791794488047
3858376,0,-182.79286784961025
2042545,1,-706.8127501124417
3246328,0,-165.58265229974901
1863213,0,-134.23656917987458
1410147,1,-707.852924898527
1556426,0,-169.79167890561354
1388644,1,-702.496207334588
2634343,0,-203.88419819304696
2737168,0,-166.885152173465
3950893,1,-305.5613679972782
343273,0,-148.79556746691682
2230777,0,-244.41176679911393
1423492,0,-209.4479081676705
1948569,0,-160.02259853238442
1498134,0,-231.07573097914954
2601042,1,-701.3085268742421
1949003,0,-166.48083065915537
3323568,0,-174.6084220949821
1041974,0,-210.03697626581692
3233313,1,-950.1640886971218
493237,0,-143.90991794140857
3337475,0,-231.6824506799505
2977517,0,-188.68979499224855
3934382,1,-710.2824320013849
2512663,0,-271.0005304942289
3013760,0,-141.64103361362615
2512327,0,-220.6432018159156
377729,1,-274.6991636090665
458692,0,-235.3054690759525
2704193,0,-116.22431581473803
1009015,1,-717.5337074608082
2963852,1,-701.8343209229691
3066729,1,-713.6759972512622
3327413,0,-133.74286950284127
3060854,0,-147.3679856249475
2243946,1,-710.4720057599569
1912435,0,-171.95203528946814
1252310,0,-216.61075320001572
1009014,0,-181.30608260781017
1607899,1,-298.94099892560894
1305284,0,-241.1527907210649
2158151,0,-105.98588332656357
3549528,1,-308.450014267435
3541830,0,-159.16006727959672
3463169,0,-146.8265868359226
508410,0,-194.05462078992974
2134072,0,-105.84660197902235
2594777,0,-241.1733821962951
514918,0,-224.55500286628282
265898,0,-125.36606182234851
233947,0,-131.5198344408578
1240827,0,-169.45516507630296
496772,0,-251.33226019820717
1138125,0,-164.38078080323868
3051733,0,-263.152540014454
591067,0,-154.36065428570677
1854646,0,-171.91474874772837
3850774,0,-233.7908318560192
3357608,0,-265.8674095457692
2149141,0,-266.27933789708555
2940301,0,-201.17462443657848
2880324,0,-185.1356195386131
2697741,0,-244.39368102420886
2992767,0,-136.6078474614307
3073894,0,-171.158548418788
2848404,0,-188.9297163066798
508813,0,-227.07893187609923
739912,0,-496.65393016833417
442917,0,-208.64804393101716
3287776,0,-190.09548011364095
229636,0,-231.1884743601196
1542467,0,-109.26361174026985
1456940,1,-702.3746742504649
1237091,0,-168.63172852216357
3528973,0,-310.3809202790761
711366,0,-223.8565235088619
476135,0,-186.25803539433784
1352553,0,-198.1433667596732
2725833,1,-707.4953807302635
1710579,0,-164.17780720403272
2543021,1,-702.3054058798565
1442944,1,-273.2272137981931
2617683,0,-258.24753368780347
3919687,1,-698.5389691484622
1521148,0,-184.54728539286194
1340706,0,-239.15699623066536
3186940,0,-158.60868010056592
1788985,0,-128.5852763996575
3500868,0,-203.25515516004785
1095207,0,-229.05628620386787
1028514,1,-701.8745422522643
353608,0,-158.4193258158266
2186320,0,-216.7413610528055
