sample_id,y0,y1
3445319,-704.3594856076471,-702.3819026936649
2525643,-298.86123401088673,-296.8836510969044
1303525,-193.72591201455296,-191.7483291005706
2827679,-182.97513145099902,-180.99754853701663
2278183,-723.7548094463065,-721.7772265323241
3043621,-162.51631023738952,-160.53872732340716
263501,-224.192433581168,-222.21485066718566
1417740,-273.85411476059176,-271.8765318466094
2995394,-189.03864610828288,-187.06106319430052
206592,-221.77814625473408,-219.80056334075172
2192355,-128.98842665248588,-127.01084373850351
2623735,-173.78530123722382,-171.80771832324146
545161,-223.8871467350808,-221.90956382109846
631321,-151.44114266369488,-149.46355974971252
982985,-703.378744087641,-701.4011611736587
1351435,-246.68492524969403,-244.7073423357117
696432,-179.23243674045102,-177.25485382646863
1142148,-169.3142748239054,-167.33669190992305
2782549,-177.0334391864413,-175.05585627245895
3402239,-225.9209209924554,-223.94333807847303
3102117,-321.15907965224454,-319.1814967382622
3419431,-213.36098467012113,-211.38340175613877
3912402,-138.01294458364137,-136.03536166965904
3314102,-198.37240769707776,-196.3948247830954
1438140,-141.50683911185305,-139.52925619787072
241431,-702.6649754800289,-700.6873925660466
1095360,-309.6487039770168,-307.67112106303443
1938237,-189.9181356116592,-187.94055269767682
411584,-176.63170567907866,-174.65412276509633
3072569,-166.39911324373048,-164.42153032974812
2258397,-173.74225189113585,-171.7646689771535
3794090,-706.6450627438238,-704.6674798298413
630324,-141.31866489587023,-139.34108198188784
1595433,-705.8909856862592,-703.9134027722769
2993953,-711.8344238895576,-709.8568409755751
856156,-303.8915692221647,-301.91398630818236
1614120,-703.5267847321229,-701.5492018181405
3030201,-263.69226642334826,-261.7146835093659
290361,-244.23104640386,-242.25346348987767
655348,-296.7109390582233,-294.73335614424093
1084583,-208.75674614505328,-206.77916323107092
2926444,-144.02219721383813,-142.0446142998558
3089445,-727.929871276557,-725.9522883625747
1481220,-194.55848760930712,-192.58090469532476
3932334,-187.64033477303178,-185.66275185904945
1977052,-274.02650470538265,-272.0489217914003
1846796,-179.0430576645977,-177.06547475061535
896777,-238.44909390616112,-236.47151099217876
2153475,-717.0497683907913,-715.072185476809
3383911,-158.69884037566524,-156.72125746168288
3157483,-178.18812384673308,-176.2105409327507
3242701,-168.27244896523572,-166.29486605125336
3852910,-209.11204049859455,-207.1344575846122
1238796,-193.9243277654516,-191.94674485146925
3328085,-276.5498131517185,-274.5722302377362
1431051,-289.9730567326381,-287.9954738186557
419744,-166.49161237595533,-164.51402946197297
1865109,-260.2473847539,-258.26980183991765
542271,-322.8378226211176,-320.86023970713524
3290288,-144.03103586443373,-142.05345295045137
2208947,-172.01417444115773,-170.0365915271754
3070187,-173.50590385106548,-171.52832093708312
2752051,-317.3985668553267,-315.42098394134433
1511029,-186.25334561608463,-184.27576270210227
2601150,-216.59249008173342,-214.61490716775106
3673130,-169.29203205045698,-167.31444913647462
3768594,-457.5365834366013,-455.55900052261893
1151939,-401.95040272155245,-399.9728198075701
3388735,-699.2523025924074,-697.274719678425
835956,-698.9805053786956,-697.0029224647133
3423092,-376.094668150502,-374.11708523651964
392798,-193.3991500674425,-191.4215671534601
3666452,-111.61921725467995,-109.64163434069759
2198650,-313.26456540627765,-311.28698249229535
3150861,-720.8782432706691,-718.9006603566868
