sample_id,z,y
1276759,0,-15.61938720551565
397099,1,-16.278231478608
1847585,0,-15.503841510379106
2538985,1,-16.130244025325432
1405235,1,-16.17987672357334
2226101,1,-15.88727989254408
1136064,0,-15.700649107455444
246516,0,-15.373942060473878
354212,0,-15.906332798502472
1591463,1,-15.910216452473348
3757249,0,-15.875113657991905
2056974,0,-16.123938414781346
2691452,1,-16.287620907025698
688434,1,-16.341265312202065
3378667,0,-16.078797220817382
3925331,0,-15.361370628810581
3690010,0,-15.666490002639723
827986,0,-15.771853410613126
3404158,1,-16.120294560784636
2171281,1,-16.18391348789859
1043269,0,-15.671730528040369
1303069,0,-15.860394926836358
3658068,0,-15.498989773910434
2470899,0,-15.083501007752295
1597755,1,-16.23535224411764
679222,1,-16.094956169927126
2784110,1,-16.37608056388941
3008422,1,-16.28779573756252
1940974,0,-5.629547501030667
1965361,0,-9.735420510985698
1962013,0,-9.65803207664162
2207826,1,-12.076810747482241
1917975,1,-16.327197548667296
2731824,1,-16.028873253333945
1320639,1,-16.02049407608941
2391039,0,-15.618919866118604
212957,1,-15.75152159477898
2047700,1,-15.998858758817882
227052,1,-15.788373471793719
1620470,1,-16.419455646298253
2552344,1,-15.911247590006347
248905,0,-15.550232232251766
3078090,0,-15.873921765291763
2819841,0,-15.459870584568513
2697741,1,-15.844790392967681
3364404,1,-16.23401433334405
3302469,0,-15.65282113718899
514836,0,-15.764542039984594
449495,1,-15.970230955240579
2107414,0,-15.619435575400782
2664060,0,-15.396277178908617
3378151,1,-16.24124917276077
2493378,0,-15.68775172992039
2441971,0,-15.659619449699758
2902461,0,-15.332831554453401
1637883,1,-15.782939396908418
3659623,1,-16.231573938338958
3930920,1,-16.149369781533675
2155897,0,-15.97033991932086
1510191,0,-15.917224145312812
1778483,1,-16.138207654951014
2714491,0,-15.694633710151436
856741,0,-11.975714190827027
2808919,0,-15.85015035497466
2906765,1,-16.124327636733508
320518,0,-15.899476816850532
979681,0,-15.750040490364938
3719672,0,-15.361996146139058
2613752,0,-15.55861169784905
1309610,0,-15.703831757013065
1959793,1,-10.096115368272994
858800,0,-15.332828946487673
451417,1,-16.189725955010445
311038,0,-15.797319939075074
670478,1,-16.09370416993356
1462715,0,-15.555249701315603
1052242,0,-15.80417076617042
638072,1,-15.93808505566836
1986832,1,-10.348619210915304
1406270,1,-16.235106840576293
504056,0,-15.845501746872214
380847,1,-16.287911758767375
2431268,1,-16.329860248762113
1880018,1,-16.4961700204609
2610570,1,-16.368517232079636
883214,0,-15.979473254117435
1543467,0,-15.526638335376553
1194598,0,-15.24738486009714
635963,1,-16.23869263653441
2212885,1,-16.637876367630636
522622,0,-15.697729542132068
3942242,1,-16.095419959564943
3172646,0,-15.560500231346865
1499624,0,-15.768917506987359
3764408,0,-15.492652420331394
825771,1,-57.97155149286144
2510574,1,-16.286576040799908
2435560,0,-16.11568633475323
294044,1,-16.18995327908665
1634806,1,-15.912374538935946
215299,0,-15.660271260803864
597504,1,-16.089181404998513
3229547,0,-15.669845715471588
555038,0,-16.153881962787512
238634,1,-12.1264352719096
3079158,0,-15.777261275994611
2453662,0,-15.508668992019592
3148662,0,-15.534520771917023
2749124,0,-15.665560788627781
3493937,1,-15.91907629809769
198050,0,-15.247860522157419
713738,0,-15.587455480531673
1292460,0,-15.572698101453653
2574613,0,-15.741398741363694
3397220,1,-16.544525713784626
3744002,1,-16.1041990317989
3153818,1,-16.430151755123823
3856223,0,-15.664462129735758
1198552,0,-11.657181523180176
3305298,1,-15.92981758514307
2519943,0,-15.870936086486553
1021477,1,-16.1505461333576
3477720,1,-16.197892885041504
2548487,1,-11.953952791703898
2572264,0,-15.569667433926536
310199,0,-15.328881099991575
3659583,1,-15.985038708843282
1721231,1,-10.229172315725611
2984756,0,-15.715313135255856
331954,0,-15.708221604486033
1528044,1,-15.731352263314333
2061246,1,-16.257189767441748
1631482,1,-16.367805175553226
576910,0,-15.74671329622485
2410965,0,-15.664281550476739
3220053,1,-15.890199248093092
239915,0,-15.718394933978518
1960483,0,-9.752891996406998
1960310,0,-9.929005422642158
2251339,0,-15.303949216275246
2624328,0,-15.411445371797074
2745101,1,-16.268565084646532
2514267,1,-16.11248562864393
2040233,0,-15.674382985433237
1212916,0,-15.838063745392118
3452304,1,-16.313760834843112
1835083,0,-15.838899158979924
634293,1,-16.30926990706552
1527862,1,-16.365926360629988
2776161,1,-16.293139558538908
2980007,0,-15.766975947431165
3743040,1,-16.388240404317923
2755686,1,-15.934623763023598
1906680,1,-16.436550748289218
890777,0,-16.010566786886944
3336069,0,-11.89132685231338
2437726,0,-15.566286201452048
1279891,0,-15.888719640276117
1699135,0,-418.88167674995674
3277729,0,-15.832095040467868
2913342,1,-15.88801600390903
2453576,1,-16.363473910224656
3455540,1,-16.191603736119134
1220006,0,-15.770676146512765
1696451,0,-9.543825052938377
623535,1,-16.245754365166068
3836060,0,-15.64877503367485
801091,0,-16.06624080676356
2433126,0,-15.412764368439362
3487144,1,-16.211129458672694
3462538,1,-15.93496756656679
200855,0,-16.235780290065907
2105756,0,-15.772628752747888
1160261,1,-16.150725461600743
