sample_id,z,y
2508550,1,-20.83752323798062
2260831,1,-21.305555623414616
644996,1,-21.233403678273742
287519,0,-19.597019023565924
1104328,1,-20.212331089057287
2885174,0,-20.252867100117903
1682063,0,-18.946217414457564
732067,0,-19.80796443022134
3291289,0,-19.75510320879104
3210083,1,-19.984193894537757
1934914,0,-18.873260728738362
669215,1,-20.45356267631749
1465624,0,-20.331684578765337
2024462,1,-20.890582203539747
1493344,0,-19.148756459416845
3251165,1,-20.173724811158703
3807084,0,-19.895372724207643
2175723,1,-20.54107628601503
1046614,1,-20.780880468779205
2689991,0,-19.723495389734467
1764425,0,-19.501550922193125
3342016,0,-20.23724593348259
3507556,1,-20.35307982261633
2971893,1,-20.643313836490325
2021330,1,-20.80135321152325
1271880,1,-20.59412156464279
2126817,0,-19.829620823035164
2861934,0,-19.883791979492216
2565784,0,-19.7781605292652
3192394,0,-19.832599551331956
2999986,0,-20.49300891641514
430726,0,-19.96320163774385
1970149,0,-19.74532505942375
1851422,0,-20.52859954761505
1075113,0,-20.00228872096616
953948,1,-20.696500813862954
1417986,0,-19.571356485705916
1785911,1,-21.012554090169527
2462141,1,-20.634453354873852
3524960,0,-20.140611452324755
634217,0,-19.537225383784463
2215692,0,-19.812708812288147
3248398,0,-20.210445415542782
915496,0,-19.691709063778724
1327047,1,-20.419019405181906
3401954,0,-19.904885085576804
2554239,0,-19.243962036137848
2638807,0,-19.799040200010616
2621687,0,-19.531707146491303
2723293,0,-19.602344190545484
585723,0,-19.8187249251837
888266,0,-20.12700318607132
2012268,1,-20.55113774424714
403473,1,-20.806896478343763
3051958,0,-20.262854841748783
1647881,1,-20.562666764249997
3932042,1,-21.164504753524113
1206050,1,-20.683396803203145
1820719,0,-20.42967236812916
258436,1,-20.94575914825024
978547,0,-19.908141712951178
705295,1,-20.683872552889657
3062503,1,-21.020258729287
3651777,0,-19.486110147281256
1237683,1,-20.990295373847122
524880,0,-20.00877249431293
3090860,1,-19.648413344077277
1620514,0,-19.388546992962425
2118766,1,-20.912504502196704
3043468,1,-20.732839369347854
2395814,0,-18.822167307721987
658610,0,-20.249340374084678
3908164,0,-20.489855143854722
3393223,0,-19.588036094133276
3379425,0,-19.566248137163956
3733126,0,-20.485647248356653
260998,0,-20.23359830471736
443213,0,-19.868262414599062
2182978,1,-20.99279501508473
2905872,0,-19.93406652139108
728750,0,-19.959669811612024
