sample_id,z,y
2649487,1,-34.28265339073238
3948166,1,-33.209031340968494
1116215,0,-29.68011935223538
3739653,0,-28.380977608536906
3120355,0,-30.257427918866902
818687,0,-29.498580930999672
2658153,1,-33.983791558937895
1452931,0,-29.537691062368527
1097519,0,-29.621616569835687
1432661,0,-30.055739922578667
1313233,0,-29.818757378422152
2636185,0,-30.188333674182633
480324,1,-34.263847248703165
2905997,0,-29.209989097793986
2157198,0,-29.935463309321502
666647,0,-28.631963872714483
1837724,0,-29.854204700985118
3391536,0,-29.320588370866897
1490085,0,-28.57059134259967
3735623,0,-28.636289056060733
1986676,1,-32.8299487305507
3678636,1,-34.38990830854629
1343222,0,-29.582489748149502
962089,1,-34.09752949828868
3724722,1,-33.619118962072164
3505418,0,-30.28834761284184
1236460,1,-34.467795152601276
3922922,0,-29.322340849461014
530718,0,-29.319163734462197
2059492,1,-33.769365529309226
3796596,1,-33.47962960548458
948536,0,-29.525089198909633
3503365,0,-30.613422798326084
2286769,1,-33.23897480463909
3470002,0,-28.91798855888071
552163,0,-29.32465242974568
3146549,0,-30.41589129046644
2197261,0,-29.19125285509858
1609687,0,-29.608410030307887
1304184,1,-34.50259481039774
1163070,1,-33.347279214348006
1015341,0,-28.574170998559246
1498810,1,-34.9851635765825
3919126,0,-29.625150932941875
2175395,0,-29.91324291875385
641046,1,-32.9672059666086
1438495,0,-30.162485335738754
1011406,0,-28.859795056878237
1106552,0,-30.006432058415342
3074745,0,-29.525552186095098
3193327,1,-35.094463376429324
3527280,1,-34.13740044310561
1894443,1,-33.18510260302165
1588754,0,-30.465580208596325
1886734,0,-29.296818841072866
875578,0,-30.005986799558013
3111618,0,-28.33123849209409
396698,0,-29.78163856621233
3841389,0,-30.795770397484528
989232,0,-28.817473156955927
1495142,1,-34.91983402150231
599598,0,-28.832726313456625
3663532,0,-30.222726577409347
2913607,1,-34.02623127259631
2945176,1,-32.87045074436072
1531610,1,-33.044130320566865
915867,0,-29.480492492967635
3026161,1,-33.26416900271359
1106655,1,-34.381913661048564
