sample_id,z,y
2866145,1,-49.5487816227978
2538057,0,-50.01911052436008
3319773,0,-49.91625065123277
722139,0,-49.84929085256284
1727882,0,-49.60637324330749
1703608,0,-49.93180547295343
1223326,0,-50.02903512086113
2196246,0,-55.6827777660033
2806201,0,-56.596742442850434
417011,1,-49.73931052984358
3024049,0,-56.418804198491515
1957343,0,-49.87315608922624
2457945,0,-50.35410307405253
1204364,0,-49.62408678516966
1342288,0,-50.25667432313592
532896,0,-50.33560653456109
2442648,0,-49.56594487270715
1963345,0,-50.54547683481107
999089,0,-50.13333094881917
1130978,0,-69.41536455273277
1381136,1,-49.64360450177137
1816055,0,-69.79747506617659
2275571,0,-50.61684226196146
353648,0,-55.43550959358836
3352767,0,-49.646784268942994
3084492,0,-55.65161372386671
817284,0,-56.096041778682206
945242,0,-55.577388558068
3103669,1,-56.64890652237736
2570888,0,-50.07828846409974
1790811,0,-56.58870452618893
679658,1,-49.119802693424376
1598348,0,-50.00161345321531
3878455,0,-50.06002592219051
601072,1,-49.29751474723907
1125884,1,-70.94673138402466
1133541,0,-64.41088962184426
2704198,0,-50.1277691720194
1685632,0,-49.47765671624189
2646426,1,-49.584821770485505
2591703,0,-49.67590907651291
1626009,0,-50.49183536824269
426822,0,-49.71129994489002
379408,0,-50.003896468349645
2238201,0,-49.95313696703845
2787161,0,-49.59451973534263
2716173,0,-50.26546086860153
2243987,0,-49.88992614676719
630359,1,-49.162463673424234
3479839,0,-55.50175231432415
3395656,0,-55.45866982591761
1164190,0,-64.26652622734903
2034413,0,-49.57979274331847
3530332,0,-55.072837199084844
3272050,0,-49.75786978539141
2850642,0,-50.21802172837022
2821363,0,-49.890938120376575
3381680,1,-49.119271322756035
1362869,1,-49.36962550557703
1003551,1,-49.63770539113867
1672830,0,-49.90164360855332
524649,1,-48.669160826763935
936866,0,-50.413537732327114
1193569,0,-49.95792450186817
2225629,1,-49.523896679200675
594937,0,-49.3272948904712
1354642,1,-49.69147177180892
1214479,0,-49.9573731653046
3360625,1,-48.61204111674843
1956559,0,-49.69594175514547
1220408,1,-49.458299769533625
3751940,0,-49.91315740810721
2824861,0,-49.89627916378569
918952,0,-56.11593340946618
1057082,0,-69.92699172584045
888305,0,-50.29384662771414
2606895,0,-49.910128769746045
646473,0,-55.94671651629793
664060,0,-49.989765523766316
2267102,0,-50.126142053244465
3196003,0,-50.090729564386955
2265212,0,-50.7183004413091
742391,0,-56.017772871346764
885353,0,-62.76349535300542
2694288,0,-50.363171359946975
3798572,0,-55.742083523135875
333266,0,-50.435586037002935
3507590,0,-49.876360780103106
1074997,0,-69.77411582973747
3528334,1,-49.245465646819234
1735806,0,-49.94770500831377
1199324,1,-50.022526212798205
2847370,0,-49.8672073877006
3460436,1,-49.38985108787438
817441,0,-49.82671001319558
1516392,0,-55.56635455490628
1448363,0,-50.50458786850876
1914835,0,-64.75292284348849
1841077,0,-63.82003318788643
3225483,0,-49.57506405381991
841393,1,-49.2881711665364
942528,0,-50.22457239486941
3180775,0,-49.872169601205705
437204,1,-48.901167596929035
1588428,0,-55.41877377697359
2795276,0,-55.31795753558814
2000548,1,-56.32235617874503
2800639,1,-49.066089997372025
3480956,1,-49.164832445707894
3855654,0,-50.67302842971255
657755,1,-49.19178662870845
998042,0,-50.184628374529474
317318,1,-48.60887080655386
2466776,0,-50.11314013123547
1442887,0,-49.3455819180285
348003,0,-50.05815193084222
2053978,1,-49.61709909768136
1529122,1,-49.32945193970726
246516,0,-49.310557876129685
465030,0,-56.16477847866716
1939370,0,-49.63417320986941
3938051,0,-55.79610020256272
3429400,0,-49.96392078796511
2978942,0,-56.866504677660586
2172165,0,-49.87027300283627
3019617,0,-49.650435345609615
1909820,0,-69.81881596297954
717785,0,-49.98787481819191
596145,1,-49.61361959854819
3217130,0,-49.83790740832994
1953778,0,-49.34129692295626
3131324,0,-54.83630178034811
3864227,0,-49.8316753549603
603924,0,-50.41088952838565
820285,0,-55.67053476846436
3943987,1,-49.55528527476764
1780045,0,-50.13353722166392
1365807,1,-49.32417074157071
1738881,0,-56.33889588130628
390009,0,-49.708772460945646
1561058,0,-55.84881882979446
1645564,0,-50.980503806539716
3863767,0,-49.78446381028638
2564552,0,-50.28262405006302
2404025,1,-62.589926794910156
2926264,0,-57.13600987399688
195358,0,-49.24124786111083
670478,0,-49.96962233481859
2146526,0,-56.10160620055716
394308,1,-50.03945672083172
1467802,0,-49.924692456076436
542673,1,-49.37371556977795
1276274,0,-49.958972248934906
3407853,0,-50.056274349555636
480639,0,-50.085274741493606
3297602,1,-48.611708060123256
3838333,0,-50.08578412450737
3206066,0,-50.13409591771711
3844947,0,-50.18887055324254
1807017,0,-63.585063850296976
3219551,0,-49.996625815691395
740092,0,-50.075966335179565
3337105,0,-50.29510880967187
487347,1,-48.65851646450862
1348973,0,-49.91574818398161
3750375,0,-50.40557882740584
3548311,1,-48.85892829965883
258755,0,-49.70320155951226
2806619,1,-48.823547989209864
3428095,0,-54.986323548817865
3030501,1,-58.25590642663994
2743438,1,-49.36687258648909
2754763,0,-51.10477084397136
3031633,0,-51.48385221328937
353730,0,-49.27981385495262
846103,0,-49.93601472539956
2018850,0,-49.72105642870947
524662,0,-50.27962225868028
3381662,1,-50.21390613820761
504957,0,-49.211416494134575
2016790,1,-56.30982970917865
2547578,0,-50.068068522892624
3289040,0,-50.47721971777651
325298,0,-50.64655870774881
692474,0,-49.763435842203705
2911568,0,-49.6987679011428
2686587,1,-49.195703493878234
1253294,0,-50.71394915471069
427762,0,-50.444971982617716
2160781,0,-50.19353075092103
243664,1,-48.61665836294954
1990704,0,-50.02865108466782
225377,0,-55.86284062748358
1345183,1,-49.12606980181684
3189665,1,-49.237273546252894
3405171,0,-50.01059087366027
1193525,0,-50.0588336914879
218716,0,-49.70229741928635
313600,0,-54.81656941810265
223741,1,-48.46546084741602
1199528,1,-49.06996602069877
1336635,1,-49.55252665493406
3799380,1,-49.55846851545105
330140,0,-49.487507960902526
865096,0,-49.61445830173075
3173040,0,-54.87638388095867
1255830,0,-50.79886507838562
2677084,0,-50.054053909898734
479356,0,-55.87878525426778
713234,0,-49.856493725456815
2430237,0,-49.783552150432534
1644256,1,-49.53425319278311
2491197,0,-50.79197859805101
1309444,1,-49.23583769903984
2627074,0,-50.093144608423195
2816522,0,-49.91930916300609
2656582,0,-56.366246761929006
874297,1,-49.53099911006058
3293566,0,-49.94939122201849
3443993,1,-49.21834041310786
331159,0,-49.5131844190679
1856435,0,-63.708832187790755
2725025,0,-50.0023462532005
447363,0,-49.58587047296492
3886410,0,-50.30277065068755
1349895,1,-49.00579080460893
281283,0,-49.58442728761409
1516857,0,-55.67223346935999
2413900,1,-49.31979449779572
1113716,1,-70.05504903583804
302068,0,-62.70394874844466
1861115,0,-63.84051832314682
1848437,1,-63.38982686080599
1588997,0,-56.05455743740565
3752894,0,-50.28301896479889
388123,0,-49.45762766348601
372178,0,-50.297498010703315
1230146,1,-49.30503129484729
3219963,0,-55.7884586564377
2881252,0,-50.25136177320602
1685046,1,-49.1696431537927
3678439,0,-50.054008595248405
1485908,1,-49.84989428230116
3726930,1,-49.082633427809796
2201844,1,-49.51892044289155
3439402,0,-49.82998298664841
2123251,0,-56.24270738663828
3884748,1,-49.99606986028814
3688058,0,-55.91886558066483
3855503,0,-50.03073955158084
398477,1,-56.621038873672774
2927496,0,-64.0903673570567
2737415,0,-50.1382844365599
628792,1,-49.53283566334012
874075,1,-49.396517126883786
1131972,0,-64.770199227227
3340267,0,-50.118358873948324
3144954,0,-55.22624319778893
567779,1,-48.75499235898929
1394183,0,-50.210276200702
3722082,0,-49.94016978064306
953012,0,-50.176527158396674
1456258,0,-50.95013613781214
3201618,0,-49.20169944446771
2750615,0,-57.033175442967725
876677,1,-49.176452836550105
2643937,0,-56.00147241218971
3953295,1,-49.38503389404778
681325,1,-49.35678770098627
1479733,0,-51.26151542070974
2625439,0,-50.179112626813776
546987,0,-50.31489826994328
2000617,0,-49.916391680346486
3777590,1,-49.70304719148077
3673732,0,-49.92501595506242
3765442,0,-50.12895715905076
2449112,0,-50.523066390436
1224227,1,-50.41553987631381
2019036,0,-57.92316305081948
2165173,0,-56.04517570499152
1493355,1,-49.11118063456911
1547894,0,-56.587718755234334
3428498,1,-49.480834986460366
2945780,0,-49.927430558929956
2046521,0,-49.57502326441928
1912754,0,-64.35921980694765
1288346,0,-49.821391714500876
1833139,0,-69.79896771396679
1865816,0,-63.70761328979631
223023,0,-49.89363698349176
3057412,0,-50.27597855230885
1961042,0,-56.475896846200975
3212808,0,-48.980212784094746
2572453,0,-49.865385382660605
3793547,1,-49.71137346383701
988101,1,-49.18842264908157
2768010,0,-49.661030669251616
1335156,1,-49.12952688233309
344239,0,-50.125494455081466
2923100,0,-50.46921292900949
1314114,0,-50.20543744120734
2418688,0,-62.264614317614274
2708803,1,-56.968561073261014
3300480,0,-50.119801416112644
893496,0,-55.931755804302206
2774477,0,-50.07652377499118
2488152,0,-55.40714154789539
979617,0,-55.93424651367958
616785,0,-49.54557540968796
585832,0,-49.53216818431009
412065,0,-49.65634262488296
2120003,0,-49.94471053789991
3164078,0,-49.8867149900138
3296108,1,-49.18817606327501
3005222,0,-56.08518578342496
1340712,1,-49.414063630567945
2113793,0,-49.957506926811966
2517271,0,-55.075527262581105
263280,0,-50.440778741456135
1040489,1,-70.09392265638523
2179661,1,-49.32739571566931
2192945,0,-56.02397709752003
3019319,0,-49.90446910902321
3049738,1,-49.627733916673925
3931504,0,-55.098113334507694
3481095,0,-55.985174343656276
2781684,1,-49.142437916501564
2577078,0,-50.486015472808745
254821,0,-49.21771544213771
2598443,0,-50.188322658143136
2984664,0,-49.86841510339593
879693,0,-56.10978292223038
1680328,0,-49.1562660298081
1390201,0,-55.075509417202184
915065,0,-50.579135199091205
2734855,0,-49.81219964918851
369076,0,-56.3255695363485
1418012,0,-49.65038601851101
1059597,0,-63.872002547232235
3937602,0,-50.11084000140228
3675410,0,-49.90098985757575
587249,0,-50.04379628067151
542004,1,-48.94535789005618
802193,1,-54.93459412810634
1244883,1,-49.34366870594517
1386359,0,-50.40706975717449
1669936,0,-50.24002113058959
567404,0,-55.80540948491154
2248882,0,-49.77094514997434
1553904,0,-55.660443258087625
2764762,0,-49.90128096100135
1737570,0,-50.01276346109602
3687774,0,-56.72073018417223
2643137,0,-49.407570163550886
1360197,1,-49.47211613626735
3738999,0,-50.165684470799505
3698957,0,-49.89586880533527
3770012,0,-50.28552383469684
1842513,0,-70.03242004912043
1579692,0,-56.078848052458966
3896671,0,-50.32410698830793
3701864,0,-49.99839869967118
2932774,0,-56.158135282955065
3494508,1,-49.726729887599056
2133597,0,-50.204270389267776
724118,0,-50.271213063236324
3125618,0,-49.699942899644746
2181880,0,-56.09277041297674
2278533,0,-50.17862063646817
3077441,0,-50.562803823958
1767624,1,-49.63921192639104
635813,0,-55.964843476199356
2864862,0,-50.456133409358564
2913607,0,-55.846941846215216
3736610,0,-50.17039507048206
1578027,1,-49.35030783410928
3767940,1,-56.63619276741956
3686838,1,-49.24602387012407
2276055,1,-49.27471227837704
1117071,0,-64.04276563147653
3289830,0,-50.40994740333192
3932950,0,-55.052617835551516
1548960,0,-50.206244821295286
1053669,0,-63.80442424985113
536358,1,-49.55106201861053
3842085,0,-50.22773956369105
2797678,0,-49.82205954970209
347863,0,-49.80097353373705
3141230,1,-48.72866701036064
2817070,0,-51.07537071670456
1811374,0,-69.90128948923035
469854,0,-49.37634290639647
947977,0,-49.55435319264487
1210405,1,-48.99067967752724
1951603,0,-50.062269694733494
815778,0,-50.918101351710916
2211831,0,-49.712511539618944
755838,1,-49.51460069269648
2559981,1,-49.13943990246677
1434715,0,-50.18707379098123
2717141,0,-49.828065348286984
2030816,0,-56.23424904210383
1295760,0,-49.93164763809815
3070237,0,-55.91222409283174
2736459,0,-49.981645030956976
2759488,1,-49.74204140266529
3660181,0,-49.803187942604616
3162347,0,-50.05006342049044
542548,0,-49.77857896815048
2858937,0,-55.93520234372666
2948496,0,-49.907440297326346
3130956,0,-50.116451760965745
1147938,1,-63.19744385589355
679993,0,-49.46364501778859
3333228,1,-49.48825395622283
2761358,0,-56.5332172297896
1356503,0,-50.02729896878773
1936716,0,-54.851056515000536
1706707,1,-49.03489127495708
576975,0,-55.75419024243825
2730246,1,-49.34601069484152
1522366,1,-49.426544824055
1235747,0,-50.03325926173011
2672562,0,-55.92152352803008
3422629,0,-49.89307815578804
1268366,0,-55.92365451281935
1449856,0,-55.967607920047946
303969,1,-49.306305346675835
2738565,0,-50.34250381436416
1047859,0,-64.05040210445185
1603755,0,-50.09276648671845
3105290,0,-55.07418146987265
926722,0,-55.868163107726176
868262,0,-49.38809278653959
3138505,0,-50.19774998961692
2578528,0,-49.959389831296384
1308998,1,-49.46914026318437
1615182,0,-54.78230805762261
359009,1,-49.35615342695292
3665055,1,-56.27516871899242
3869834,1,-49.85270536463653
2398761,0,-56.283873632155434
1609381,0,-55.72658587268876
1242850,0,-50.20255774044658
2452422,0,-49.699129565088555
3081551,0,-50.59208018277257
2144685,1,-49.374528785049755
2861941,0,-49.93448665845151
740427,0,-49.50737035997403
3854824,0,-50.23560910000159
1677428,0,-49.945472680810354
555992,0,-55.552106325015046
3314265,1,-49.42024567870115
460154,1,-49.42844334573607
3947896,1,-49.336265463102116
2921903,0,-49.635969618314135
2977996,0,-56.45484039850422
672918,1,-49.70294868612711
