sample_id,z,y
685125,0,2239.125067497933
1404820,0,-530.497525104401
690508,1,-711.8139519962875
474328,0,-300.25686048644826
2631266,0,2003.569414851107
3071490,0,2421.805457281293
1858139,0,-683.2451593253138
1232111,0,1882.2356977135132
1256323,0,-404.3274125357577
691946,0,-866.1687747028326
1510191,1,-894.9276167949491
478624,0,-499.2263564185272
2283946,1,-580.7852786163144
2458032,0,-233.7806163781838
2774191,0,-233.80183954818594
463561,1,-1059.4974942166946
2796551,0,-223.49592102975225
1385238,0,-416.3248675963121
1250404,0,-147.43507548041575
3361074,0,-288.1463123287012
3428498,1,-651.1602882767091
2273613,0,-681.7836422315214
3846095,0,2278.968857189778
1354018,1,-398.17372488452963
1198546,0,-300.3481859256813
921350,0,-135.3424883544041
3531266,0,-331.41587452681665
1358459,1,-580.4725913989076
244874,1,-311.6730442740154
3761807,0,-499.29801176543924
611207,0,-1661.2755031242782
728747,0,-202.43559151735744
2106925,0,-467.71761602977494
1250618,1,-1568.7713386477362
446727,1,-681.1502067767856
3488615,0,-263.462695605372
2819184,0,-233.94878501606573
1663062,0,-496.59226968810947
582337,0,-974.1175078506908
908176,1,-117.41923432550895
2828909,0,-416.57256101001207
3198014,0,-681.7401276613376
3926675,0,-416.23706923420485
429161,0,-10.477283207491153
401774,0,-80.77094918685391
1075353,0,2425.725321459287
2816785,0,2453.024895912649
1598943,0,-192.6124851481407
465127,1,1921.983566404101
3492986,0,-687.8055860684741
2523903,1,-397.8293475281585
1642297,1,2104.589870695066
2702356,1,-1044.4602537302876
952437,1,-1076.070653571609
269218,0,-202.6357214694342
1342173,0,2003.3544543128924
313308,1,-366.5013816494848
2675885,0,-233.85049507887345
2945138,1,-241.36313250276396
1039622,1,2074.902801930372
3393445,1,-397.8592918817737
1006345,0,-300.20084288740924
2752977,1,-1160.6055337728324
3360981,0,-1926.2670648818553
352769,0,-263.42327856828007
1422257,0,-713.2969842609558
3690890,0,-795.8691997781985
2216762,0,-233.72578179263164
2651497,0,-39.425159673088515
1490237,1,-1254.3896141873417
1885818,0,2268.039753371502
452250,0,-300.2893399790125
2970687,0,-565.7523544928462
1074274,1,2075.048230273825
2568673,0,1626.6400565569215
2624670,0,-80.7337297598968
435765,0,-1648.8442575755034
2392816,0,-907.4085228077546
640233,0,-1661.009717132309
2466215,0,-300.1406659798645
1544261,0,-300.52805987030126
2817429,0,-2334.827044628858
1247712,0,-300.2519852784683
2669187,1,-357.2439479425984
2866810,0,-499.3250760125057
874827,1,-934.3330494296398
2662033,0,2202.4652088300945
1772406,0,2268.8819496580154
1134564,0,-530.5885860687957
1919712,0,-203.82195118931563
282576,0,-202.6501076254869
2688015,0,-202.45641872834554
962065,0,-221.41737907781572
3181551,1,-668.8646566767039
903466,1,-846.0438885763422
3874313,0,-1659.4346338653952
1756811,0,2202.5067875772174
3085603,0,2003.3774575037205
2659963,1,-1071.8297242469505
3227966,0,-907.6424622653731
3188448,0,-68.8212557891934
715515,1,-1440.627767576502
