sample_id,y0,y1
685125,2239.125067497933,2243.1468059720064
1404820,-530.497525104401,-526.4757866303277
690508,-715.8356904703609,-711.8139519962875
474328,-300.25686048644826,-296.2351220123749
2631266,2003.569414851107,2007.5911533251801
3071490,2421.805457281293,2425.8271957553666
1858139,-683.2451593253138,-679.2234208512405
1232111,1882.2356977135132,1886.2574361875863
1256323,-404.3274125357577,-400.30567406168433
691946,-866.1687747028326,-862.1470362287592
1510191,-898.9493552690225,-894.9276167949491
478624,-499.2263564185272,-495.20461794445384
2283946,-584.8070170903877,-580.7852786163144
2458032,-233.7806163781838,-229.75887790411045
2774191,-233.80183954818594,-229.7801010741126
463561,-1063.5192326907677,-1059.4974942166946
2796551,-223.49592102975225,-219.4741825556789
1385238,-416.3248675963121,-412.3031291222387
1250404,-147.43507548041575,-143.4133370063424
3361074,-288.1463123287012,-284.1245738546278
3428498,-655.1820267507825,-651.1602882767091
2273613,-681.7836422315214,-677.7619037574481
3846095,2278.968857189778,2282.9905956638513
1354018,-402.19546335860304,-398.17372488452963
1198546,-300.3481859256813,-296.326447451608
921350,-135.3424883544041,-131.3207498803308
3531266,-331.41587452681665,-327.3941360527433
1358459,-584.494329872981,-580.4725913989076
244874,-315.69478274808876,-311.6730442740154
3761807,-499.29801176543924,-495.2762732913659
611207,-1661.2755031242782,-1657.253764650205
728747,-202.43559151735744,-198.41385304328412
2106925,-467.71761602977494,-463.6958775557016
1250618,-1572.7930771218093,-1568.7713386477362
446727,-685.1719452508589,-681.1502067767856
3488615,-263.462695605372,-259.4409571312986
2819184,-233.94878501606573,-229.92704654199238
1663062,-496.59226968810947,-492.5705312140361
582337,-974.1175078506908,-970.0957693766175
908176,-121.44097279958227,-117.41923432550895
2828909,-416.57256101001207,-412.55082253593866
3198014,-681.7401276613376,-677.7183891872643
3926675,-416.23706923420485,-412.21533076013145
429161,-10.477283207491153,-6.455544733417833
401774,-80.77094918685391,-76.74921071278058
1075353,2425.725321459287,2429.7470599333606
2816785,2453.024895912649,2457.0466343867224
1598943,-192.6124851481407,-188.59074667406742
465127,1917.961827930028,1921.983566404101
3492986,-687.8055860684741,-683.7838475944008
2523903,-401.8510860022319,-397.8293475281585
1642297,2100.568132220993,2104.589870695066
2702356,-1048.4819922043607,-1044.4602537302876
952437,-1080.0923920456821,-1076.070653571609
269218,-202.6357214694342,-198.61398299536089
1342173,2003.3544543128924,2007.3761927869655
313308,-370.5231201235582,-366.5013816494848
2675885,-233.85049507887345,-229.8287566048001
2945138,-245.3848709768373,-241.36313250276396
1039622,2070.8810634562988,2074.902801930372
3393445,-401.8810303558471,-397.8592918817737
1006345,-300.20084288740924,-296.1791044133359
