sample_id,z,y
3954869,1,-13.960946283956352
2791828,0,-11.806993788504883
1521692,0,-11.753107549138939
2200484,0,-11.499920554075228
892926,0,-11.423604829798638
3067975,0,-11.786707136575265
2205102,0,-11.742461510744691
1683308,0,-11.319591906104888
1293089,0,-11.502244321144758
3026396,1,-13.59625681851723
530474,0,-11.62016830922969
263321,0,-11.652845457894486
229498,0,-11.4888835198808
3052907,0,-11.329870002726134
515783,0,-11.747375785605243
2833933,0,-11.587498973410941
2049251,0,-11.67926442829004
3413356,1,-13.782987174246315
1355306,0,-11.759499905493596
987732,0,-11.840744234420477
800608,0,-11.613342833001504
2610843,0,-11.439723443579659
3746969,1,-13.556235922740747
1508375,0,-11.576000516128907
593818,1,-13.794114365522326
3095204,1,-13.818822695849809
1997156,0,-11.739726160806029
2644309,0,-11.73716191863072
2450398,1,-13.90776807899303
1981686,1,-13.510184268848855
1460689,0,-11.94341149622384
3196673,0,-11.292846222968683
2278936,0,-11.407997533014045
2624737,0,-19.66014267228535
3266422,0,-11.421599362942764
1170413,1,-13.71625114676551
375132,0,-11.480541209097229
2639518,0,-11.633595710482759
2981474,0,-11.768810038759431
531887,0,-11.711784637646682
2894485,0,-11.497244690049756
2828846,1,-13.737315291111216
3841152,0,-11.664613610087029
501134,0,-11.688027216074062
1939219,0,-21.68166489103553
3339992,0,-11.575813173152879
1914274,1,-13.909185234408218
640553,0,-11.330978920370866
668839,1,-13.98997008755417
3150627,0,-11.552967782391164
3736608,0,-11.591307008553308
279968,0,-11.698594327631174
2701068,0,-11.939300693446574
2666858,0,-11.819490803600797
2125394,0,-11.95326420336788
3515294,0,-11.670398107079908
865322,0,-11.856408142140253
353466,0,-11.964026539368863
465050,0,-11.657963533992296
3454042,0,-11.977322333341764
459700,0,-11.284654657591167
3522448,0,-11.637779571759818
1735295,0,-11.757896836375844
1842341,0,-11.751842894836175
231623,0,-12.000930247437134
2658347,0,-11.7847636820743
609385,1,-13.530886501368359
3262044,0,-11.724777074922882
551207,0,-11.681379950441704
1521896,0,-21.88612120506192
1372802,0,-11.872347691088082
1408374,0,-21.752552887867907
2022501,0,-11.45494354685602
1028514,1,-14.040524244495636
3669023,0,-11.9451092840782
3305775,0,-11.682006072633815
269491,0,-11.68820637951293
1592411,0,-11.54818413090884
824390,0,-11.808498469060126
2594090,1,-20.915731832010607
1282399,0,-11.709969269285002
297542,0,-11.416561295530977
883569,0,-11.991718809787306
3751083,0,-11.719236013817772
3666507,0,-11.870480645348714
808140,0,-11.538869722587297
1792865,1,-13.469199875902206
2554984,1,-14.146007548038908
2503246,0,-11.967462504350067
677367,1,-13.644073185200723
835780,0,-11.957297095074575
1430429,0,-11.836128590472969
3760169,0,-11.416156183968836
1192624,0,-11.685380117096798
602758,1,-13.95645265778356
3857055,0,-11.773746606142089
3203912,0,-11.991682699736659
1701584,0,-11.549757752234843
2140619,0,-11.79430616520697
1318126,0,-12.15797526821794
3531070,0,-11.844853075648498
2273806,1,-13.845605330378705
2806674,1,-13.963417504429112
2598482,0,-11.711798034762142
3104400,1,-13.59120925612208
3397550,0,-11.930161565787738
375976,0,-11.757053695284801
890876,0,-11.730565191045587
2397182,0,-11.639681898965637
1826359,0,-11.5899390311517
2043163,1,-13.894142970408028
289017,0,-11.728190364651711
3685408,1,-13.818794012103535
1721002,0,-11.72910738547864
1787287,1,-13.778234805682802
329980,0,-11.326332094434939
1099900,0,-11.411598531289346
1351587,0,-11.632218535636984
1358110,0,-11.844495757777935
1007294,0,-11.656579390049231
3310245,0,-11.83504051661542
1882684,0,-11.816807174220989
3904246,0,-11.355353334580553
3469697,0,-11.886346138248543
2182876,0,-11.682279500682444
2423317,0,-12.038426567623404
3335170,0,-11.805833021239648
3384546,0,-11.874198546636572
1407102,0,-11.340678621885
1644593,0,-11.636235610022995
1705091,0,-21.338801254642476
231618,0,-11.816058189708768
1453565,0,-11.444656468468736
2604982,0,-11.727302547958155
1237684,0,-11.834416289597604
2738691,0,-12.02111400143415
1351420,0,-11.678206833943266
502409,0,-11.511889288154105
232521,0,-12.184798106161725
1266222,0,-11.754420631072538
3224667,0,-11.814632948921702
2758286,1,-14.000568524385796
3086332,0,-11.875330183407382
349731,0,-11.575162644494128
2657930,0,-11.962483011504638
1146580,1,-13.503908144727713
1713142,1,-13.974421449881303
2006892,0,-11.424897339322332
600759,1,-13.989925576881214
382611,0,-11.55466234753736
461272,0,-1.6389979612144816
219944,0,-11.94589842336622
