sample_id,z,y
683528,0,-42.561751522608
262313,1,-41.90447623371319
965209,1,-40.569125997672494
1955544,1,-40.21517763619807
2918771,0,-35.5828475242333
3240808,0,-34.70790394379987
3772611,1,-40.95740700472475
450367,1,-26.834506776538998
1320305,1,-57.87202163401707
2801340,1,-48.02190235492231
286585,1,-42.366776547248016
1710145,0,-34.20289608441008
1236350,0,-39.12760197717357
1152535,0,-40.70940590596888
3749495,0,-41.60550762927492
723619,0,-40.116094226550224
2826906,1,-42.97102296710755
3031640,0,-37.90062627991147
3390756,1,-42.544376818749456
1552349,1,-44.70072584869829
320204,1,-48.38246835658051
2695085,1,-37.92844973153292
2703200,0,-37.01013648596271
1541764,0,-32.54574575173501
832845,0,-33.875277391671275
1566050,1,-60.083259621987914
3206279,0,-35.35399746799068
317547,0,-37.045531764653205
1702704,1,-43.71849652208103
494058,1,-50.56136248226799
443213,0,-47.722283447336544
825701,1,-39.044253792672954
1901400,1,-45.39597181164936
368937,0,-46.01019402362498
1844982,0,-35.97989584827704
2872715,0,-57.002115601988415
211606,0,-55.95675132269608
263067,0,-42.669273776115446
1490168,0,-34.1322968033432
348969,0,-40.00718942068293
3054038,0,-37.93096420701827
1237538,0,-34.16634274856124
1568403,1,-45.796254737499446
1468320,1,-43.58481075416281
435620,1,-41.97963577782064
3846095,0,-54.289459529967516
1004349,0,-45.168976370382325
2714279,0,-37.25093093075394
988101,1,-38.37618115155621
2142173,0,-35.26314693734069
3147261,0,-32.46517088610292
1605194,1,-46.56218713532447
2056820,1,-26.960986552499243
2864592,1,-44.59334125324964
1142189,1,-41.96183809167357
975469,1,-41.05261362042698
904913,0,-34.17944747032305
2792234,0,-31.819467265540045
3054957,0,-40.916984609430486
3661098,1,-46.401417541874785
2254260,0,-37.14394384791159
2716311,1,-45.5517537928353
3309908,1,-39.986062472728314
1575334,1,-50.60723321969855
1424581,1,-58.924776994127086
2416927,0,-38.39659909781349
3889280,0,-37.282464937310195
3755737,0,-37.35980719404151
1545465,0,-56.74038318897467
1999029,0,-25.001744772568955
1409092,0,-40.028568657350554
3883563,0,-33.54175328031599
2167323,0,-40.10444708744571
3110111,1,-42.428407815799766
1919103,0,-39.98169069597785
1786021,0,-56.929406979762696
2143090,1,-48.12874857175632
856426,0,-34.62839453919621
3486637,0,-57.235593693871984
3912826,1,-29.098484756358243
2784530,1,-46.427955060283345
463047,1,-44.094421461973354
1837708,1,-42.798646355096494
2822025,0,-57.30417889061599
1263093,1,-44.57301490926325
1683245,1,-17.484304151382894
1287036,0,-56.12726354464441
2453567,1,-43.065195332947816
895605,0,-35.48052745922765
1507335,0,-56.783850810538155
2780748,1,-42.72949934156453
3464799,0,-57.11457912678549
2992424,0,-38.37708450375983
1116487,0,-34.44126621396069
1683045,1,-44.56436608075894
3755395,0,-38.89492929445132
1350926,1,-37.40588766705855
1624940,1,-40.6105911449463
819167,1,-62.9184968052439
3798344,1,-39.001625225202105
1635651,0,-32.87234383943304
312960,0,-34.227394541264985
645147,0,-33.65788093659237
2533171,0,-34.502734112597494
326966,0,-34.23687748303354
647022,0,-38.24045810556865
1159078,1,-47.20176490648246
498774,1,-39.77908490085624
1436847,0,-36.85570168150812
1958916,0,-37.38326250636576
935909,0,-38.000786721466234
2137763,0,-34.999426161612575
509362,1,-45.39624300015095
2680937,0,-37.80502427151951
3461238,0,-32.887525038484696
1551258,0,-37.037881048198884
1379375,0,-37.31991368970261
2665796,1,-45.82387201799388
1246019,0,-35.55112062460787
2465579,1,-48.35697149500359
3379865,1,-41.323845085158425
2997870,1,-42.84210355129569
952095,1,-40.03838120134476
3846150,1,-51.862800575065556
204613,0,-42.84778097211843
1546696,1,-42.814121746715266
1734525,0,-40.6274680203122
743058,1,-40.010256576665064
1959362,0,-38.02605518860256
1547087,1,-40.88600698503253
3064603,1,-43.44737908572736
3055263,0,-34.56498037057978
1956692,1,-40.74077000766977
1490414,0,-48.03649104733526
3165731,0,-56.78325729664227
1016700,0,-36.8861802842966
2450126,0,-39.70865208954337
1446448,1,-41.932340809405716
2589097,0,-37.1661847409826
604238,0,-36.94731141437226
3242938,0,-30.743751402428863
2206525,1,-42.890284737218934
241068,0,-33.27109726723584
1467741,1,-40.004120495801075
3548483,0,-40.14338073236319
2879373,1,-42.8753844159261
1450736,1,-45.28151440028145
1193912,0,-35.26861869781791
2230799,1,-59.90436229313687
701714,0,-39.76189008903988
2615705,0,-40.98374390054148
966607,1,-48.256674591755065
206191,0,-39.54902581806425
2258286,0,-36.41841264703787
1398017,0,-57.20655306795522
3049658,1,-40.157111030616846
510023,1,-39.781358071631516
3472227,0,-32.690025263327335
558976,0,-45.17602047772014
625661,0,-38.12914822655168
1340895,1,-57.783837841491874
933414,1,-41.87307230222287
560293,1,-48.167412432049076
2808592,0,-31.822180762952094
3476740,0,-39.84951472488287
2782029,1,-45.604223373747224
2708650,0,-42.662028623121735
594617,1,-44.57500570926207
1836149,0,-57.04478474419484
3868075,1,-48.26521786516681
3876919,1,-42.923302472109384
1916482,0,-42.663073283255756
703735,0,-36.63304817016355
2228810,1,-45.397298126456896
3008063,0,-56.57675594516724
2670830,1,-37.04535977577478
1372656,0,-45.52585542129198
1616171,0,-32.473830843678215
1436012,1,-39.1581433272725
579130,0,-55.83231175172719
810163,1,-37.92207952651535
2916071,1,-40.81474796927831
1346407,1,-44.17302969152553
2621687,1,-44.558448029100795
734668,1,-39.155879261612164
1088389,1,-36.20174430295323
2196063,1,-45.38086928152893
463324,1,-43.74414860390821
3367076,1,-37.474390560119474
3487532,0,-56.90648825377188
2001250,0,-39.69492430382189
3259598,1,-40.36637014905661
2415796,0,-37.42650530578191
615695,0,-34.57889727588607
922474,0,-35.34309531228385
243787,0,-36.93599892112765
3251618,0,-37.01612814089677
3425351,0,-37.47271576588055
985664,0,-56.98868415483397
2592955,0,-39.69785420429508
2808769,0,-37.244669429861915
1829286,0,-38.13353913745945
2843620,1,-42.86955300335233
1980371,0,-45.44317954364715
1679837,1,-33.57808772553373
1336675,1,-45.044186487015594
1966977,1,-45.5397683949055
1246517,1,-41.770706810154614
1236214,1,-48.21360818934693
1516563,1,-40.630184161197626
561430,1,-42.4908188242754
1618095,1,-39.15701120417764
2005305,1,-42.91505544509741
1745879,0,-39.762224481555016
869791,1,-48.958231106494715
3348665,1,-43.19715293146067
538573,1,-42.63667902905883
1454648,1,-48.97325805483744
2480757,0,-36.95522830848133
373612,1,-50.20874961045297
2997345,1,-47.50077961914116
555774,0,-38.35088177795899
248413,0,-36.05542160303966
901180,0,-56.94050835925502
2975411,0,-37.59095898958505
821214,1,-61.73819171095668
3849334,0,-29.534800503533113
1003695,1,-43.00208514138263
1849032,0,-37.34866974002669
989651,0,-34.11396038263745
2602538,1,-48.4734457603037
476376,0,-55.78538306917311
1017748,0,-38.10177628594584
2672302,1,-43.030972398107075
620231,0,-39.264618554779126
3890206,1,-44.039770188496654
3941631,1,-48.235523769936215
3265338,1,-48.13411626485517
3785103,1,-42.46740094379332
2916932,1,-47.46157777990009
489338,1,-44.47968100145688
1025190,0,-38.89025052193144
2279194,0,-36.49382699200766
2869735,0,-33.73788725439509
3740874,0,-32.32266957973034
3222280,0,-57.04676369822316
2063077,0,-32.54402280421313
1950770,1,-45.34924111925208
1736726,0,-38.03426619468748
1463412,1,-40.11074449396375
3088042,1,-55.302335617343594
2905296,1,-46.30233628485127
1239232,1,-60.078105869152466
1698485,1,-39.22012365857582
1976666,0,-38.7869497267142
3545295,0,-42.50867644753201
2722980,0,-31.751496678316883
2783540,1,-36.88253671213738
3544337,0,-39.96078539005564
454607,1,-43.4513063291058
2741241,1,-58.63869551126887
3717168,1,-45.53366275922621
1747437,1,-38.128899106168404
1664781,1,-44.436783182936594
3684602,0,-39.23183776997518
1601572,1,-45.697200956257625
2511641,1,-38.16782912535805
1964953,1,-43.63463523630573
3729660,0,-32.83108162233906
1040195,1,-37.9905312887492
252456,0,-33.67985656184441
2854907,1,-58.47712639697907
2818740,0,-33.513743252730926
390187,1,-58.690368959616215
3479936,0,-37.04915824351015
436574,0,-35.46215885217721
963103,1,-37.98218398193878
1809914,0,-35.21451291050624
345623,0,-24.66011019379138
2993871,1,-42.276175043090156
2434869,0,-56.12952181490438
847852,0,-43.54720760531363
2400560,0,-32.19702513264058
3064436,0,-37.172439157859884
1668183,0,-39.75868816190227
994300,0,-40.69052469995717
1002571,0,-40.23244042319273
1709436,1,-32.18873778777967
2810346,0,-34.35591176769322
2839992,0,-35.06342505921745
3224143,0,-40.124133789734465
287442,1,-45.3690425239234
3943725,0,-39.876095200196026
969707,1,-35.690467079109645
3102325,0,-57.42263047800775
2264961,1,-37.47073529755698
409545,1,-45.315942231111755
2544964,1,-42.59605636217545
2878051,1,-36.96040824529362
2107969,1,-41.5697233558797
2262644,0,-37.084952015564674
3130925,0,-38.12432395346728
3110696,1,-37.85481981072242
2154776,0,-40.22366567741759
3103408,0,-56.91295152472297
1888431,1,-22.068272540833686
2395136,0,-34.4288872097127
758714,0,-39.957565656601545
572017,0,-42.4941755215891
263912,1,-45.458958633874154
1555989,1,-44.60125693837524
1610986,0,-39.84271086259327
3665257,0,-36.87518728682658
1233739,0,-34.32769497722127
457971,1,-44.572974490845226
338982,1,-45.4506358020179
3393484,1,-49.284636464688866
1896413,0,-37.4745632120565
2520272,1,-42.74575115825827
439822,1,-41.68718296990567
1887976,1,-60.02715206930736
927566,1,-42.71849071054829
2762721,0,-45.455774959750215
340003,1,-48.02875574355246
3742453,1,-40.187333737436056
2471780,1,-47.97233336044326
2258231,0,-37.14937116835418
593963,0,-37.99027460829887
2264362,1,-39.9915085268117
809831,0,-45.342164470161
1792549,0,-37.384900899123934
1627199,0,-35.23786778646341
1760841,0,-56.98893842658595
671033,0,-55.84181856164096
2566174,1,-48.00256324715502
268484,0,-45.101974241900805
1598200,0,-35.138640136875125
3952642,1,-50.70476486702047
646292,1,-37.191794183943756
2863565,1,-58.52253616143965
1480551,0,-37.13012688153833
1373340,0,-57.116897808796466
2161269,1,-43.07746731032064
567618,1,-41.00781179925052
1637346,1,-38.18127594393656
3501571,0,-35.230803252082296
3463169,1,-37.534525199611764
1008292,0,-39.96503682704641
2617518,1,-48.17842992445318
3855959,1,-60.15890160281729
2835284,1,-41.91196495822242
3190150,0,-39.70046769519264
350560,1,-58.66371012821849
1527785,1,-59.76843268329334
2120879,0,-39.933497140005905
3078117,1,-43.120151514702826
2231840,0,-56.77496989562615
2554400,0,-36.17015114404209
3748446,1,-40.78077309570644
2606984,1,-41.45384148622761
389043,0,-36.575040483492394
2986945,1,-42.6605929935975
3310251,0,-37.74118527961775
3305432,0,-35.554223520934855
3505308,0,-30.381367909093797
3038725,0,-37.523976358735915
1665416,0,-35.39793563931628
2248824,0,-39.97172023793956
418632,1,-42.82096496659678
2747433,1,-39.9773865232235
1214412,1,-33.778402771341675
850914,1,-58.86863259820724
1086656,1,-45.43977673803897
1780575,0,-38.970222513131915
1324314,1,-45.216730169801515
3227310,0,-45.135698216684936
1357874,1,-39.34165999689747
3158255,0,-32.771903226754915
2611179,0,-36.97714043841046
1369559,1,-39.17159148747013
3038262,0,-34.7456252571512
3084250,1,-40.67644444082977
1858542,0,-55.812765119560005
3078343,1,-45.37299401661204
1435446,1,-43.48398601006957
2269323,0,-40.02734743059232
2977139,0,-56.421413511813476
1533436,0,-37.133769785532785
1416814,0,-40.234074859428574
672917,0,-38.94836935071163
987152,1,-37.75366251203528
3520719,0,-37.44612643544144
1539032,0,-40.15142014825184
3934403,1,-45.365784831933304
195370,1,-59.78231407946195
1463035,1,-40.16607905617855
1628021,1,-43.21699074060745
3447407,0,-36.10874132117772
2452546,1,-45.03340649025554
2704156,0,-34.37167366442167
2574797,0,-36.05010764001696
2283872,1,-38.7479382674434
600719,1,-48.19070596527193
992757,0,-42.99591807791954
2555301,1,-39.12801475403227
3854342,1,-35.4686168858981
3145397,0,-33.95874878894606
3226353,0,-37.83281711238868
3258454,0,-37.134726262964385
306542,1,-47.899739795248045
3443055,0,-35.623239443279374
2133597,1,-42.653653468164855
2493721,1,-42.854130205871996
2032221,0,-36.86835524427007
406734,0,-32.63606348430959
280361,0,-38.096136392216955
1857819,0,-57.046142372754474
2802866,0,-37.11953235720202
2688646,0,-38.02545388343345
2480210,0,-40.711109581171506
699154,1,-48.43288293730734
2212757,0,-36.03388038002365
3245844,0,-55.971676624783704
3533918,1,-53.6375479471687
3016651,0,-42.59844694523195
1484240,0,-47.859195152793774
1808014,1,-42.03961972424887
3939553,0,-36.989372450850816
3143122,0,-42.534133516096894
481026,1,-40.73604417542939
1367722,1,-42.83523509465624
3873532,1,-46.135791333879766
3051511,0,-40.90268343179099
2478311,1,-47.95920808070185
898668,0,-34.8562964012983
349325,1,-29.528068399723818
3938709,1,-53.498235683610964
3251310,0,-46.3429923901831
3161244,1,-27.920911573037394
2413921,0,-39.965117698721414
1373652,0,-35.27372588765263
2854835,1,-58.93288581944478
3726696,0,-40.197601138678635
2204754,0,-56.285751846594074
1692723,1,-37.11223306030797
3268067,0,-35.1245279672494
1281996,1,-48.1710093177292
2133823,0,-55.93052341919884
2976036,1,-58.71515874083491
2654126,1,-59.910119437655766
2935629,0,-38.10571604829097
754069,0,-36.175380801082504
3349362,0,-34.83543177856638
2149311,1,-45.88823993969231
3278679,0,-39.79761574106305
750398,1,-49.931485965342084
1431528,0,-39.92134358327236
3143527,0,-51.38074120183024
3008541,0,-36.98737229723641
2122002,0,-36.81300545012026
824773,1,-48.479076254046255
2487534,0,-37.12592380776501
1830290,0,-36.94718764436717
800164,0,-39.652911190181996
745835,1,-42.586583268335374
1353943,1,-39.77375868203921
2205002,1,-38.190968324262805
1627854,1,-39.885194827344606
1460889,1,-40.16729908804018
1378873,0,-39.58438553294442
2264511,1,-58.733054151091096
1416310,0,-36.460889940650254
2542740,0,-40.58414109396734
2409598,0,-38.24362607702274
1825036,0,-40.96788525990451
1064354,0,-55.92902514417573
1539745,1,-58.832812395719095
2466068,0,-41.23474364615064
3036912,0,-37.21731965072777
353457,1,-43.065931269034536
1940009,0,-30.311108895411696
503981,1,-42.88757008211727
2841254,0,-37.2865286589113
2167405,1,-45.47195746541827
3876691,1,-49.07228630817215
841252,0,-39.79311065435146
1022872,1,-48.43318779861531
1370010,0,-34.91895784901556
3667686,0,-39.873053346340036
3397585,1,-43.109246094981515
3796269,1,-44.52601092620594
3201849,0,-35.28879975829611
3318368,1,-44.59792522271416
2930488,0,-37.501293911364144
254927,1,-58.35302825113039
3849793,0,-42.61488430668648
1335422,1,-39.35994961138321
972366,1,-59.39063898277938
3342883,1,-43.60010099396439
2058623,1,-53.89624237454075
1126780,1,-45.84985461187786
836734,0,-38.80178287474954
622589,0,-38.17668649477659
2869231,1,-42.80220469619429
3439543,0,-50.662594445649326
3331113,0,-40.02349517852714
2420061,1,-48.98823756846511
